; Candidate 6175
; ADRP+ADD at VM 0xfffffff0088185d8 (fileoff 0x18145d8): page=0x1fe9d1000 add_imm=0xe80

0xfffffff008818558: 00050034  cbz	w0, #0xfffffff0088185f8
0xfffffff00881855c: 800e8052  mov	w0, #0x74
0xfffffff008818560: ae8c0194  bl	#0xfffffff00887b818
0xfffffff008818564: f70300aa  mov	x23, x0
0xfffffff008818568: 116f0294  bl	#0xfffffff0088b41ac
0xfffffff00881856c: f60300aa  mov	x22, x0
0xfffffff008818570: c0008052  mov	w0, #6
0xfffffff008818574: b78c0194  bl	#0xfffffff00887b850
0xfffffff008818578: 97010034  cbz	w23, #0xfffffff0088185a8
0xfffffff00881857c: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff008818580: 2850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff008818584: 08413f91  add	x8, x8, #0xfd0
0xfffffff008818588: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00881858c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008818590: 880e8052  mov	w8, #0x74
0xfffffff008818594: c04ffff0  adrp	x0, #0xfffffff007213000
0xfffffff008818598: 00b43791  add	x0, x0, #0xded
0xfffffff00881859c: f62300a9  stp	x22, x8, [sp]
0xfffffff0088185a0: b07bd697  bl	#0xfffffff007db7460
0xfffffff0088185a4: 15000014  b	#0xfffffff0088185f8
0xfffffff0088185a8: 016f0294  bl	#0xfffffff0088b41ac
0xfffffff0088185ac: f60300aa  mov	x22, x0
0xfffffff0088185b0: c0008052  mov	w0, #6
0xfffffff0088185b4: a78c0194  bl	#0xfffffff00887b850
0xfffffff0088185b8: e80315aa  mov	x8, x21
0xfffffff0088185bc: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088185c0: 2850ffd0  adrp	x8, #0xfffffff00721e000
0xfffffff0088185c4: 08413f91  add	x8, x8, #0xfd0
0xfffffff0088185c8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088185cc: 880e8052  mov	w8, #0x74
0xfffffff0088185d0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088185d4: f60300f9  str	x22, [sp]
0xfffffff0088185d8: 804effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088185dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088185e0: 818fff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088185e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088185e8: 8351ff90  adrp	x3, #0xfffffff007248000
0xfffffff0088185ec: 63bc3991  add	x3, x3, #0xe6f
0xfffffff0088185f0: 02008052  mov	w2, #0
0xfffffff0088185f4: cf6aec97  bl	#0xfffffff008333130
0xfffffff0088185f8: e00315aa  mov	x0, x21
0xfffffff0088185fc: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008818600: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008818604: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008818608: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00881860c: ff030291  add	sp, sp, #0x80
0xfffffff008818610: ff0f5fd6  retab	
0xfffffff008818614: 7f2303d5  pacibsp	
0xfffffff008818618: ff4303d1  sub	sp, sp, #0xd0
0xfffffff00881861c: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff008818620: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff008818624: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff008818628: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff00881862c: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff008818630: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008818634: fd030391  add	x29, sp, #0xc0
0xfffffff008818638: f70305aa  mov	x23, x5
0xfffffff00881863c: fa0304aa  mov	x26, x4
0xfffffff008818640: f50303aa  mov	x21, x3
0xfffffff008818644: f60302aa  mov	x22, x2
0xfffffff008818648: f40301aa  mov	x20, x1
0xfffffff00881864c: f30300aa  mov	x19, x0
0xfffffff008818650: 800e8052  mov	w0, #0x74
0xfffffff008818654: c1008052  mov	w1, #6
