; Candidate 4038
; ADRP+ADD at VM 0xfffffff0087897e4 (fileoff 0x17857e4): page=0x1fe9a8000 add_imm=0xd90

0xfffffff008789764: 4a050011  add	w10, w10, #1
0xfffffff008789768: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff00878976c: 4b1d0011  add	w11, w10, #7
0xfffffff008789770: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff008789774: 3f050071  cmp	w9, #1
0xfffffff008789778: 49018b1a  csel	w9, w10, w11, eq
0xfffffff00878977c: 3f210071  cmp	w9, #8
0xfffffff008789780: 88020054  b.hi	#0xfffffff0087897d0
0xfffffff008789784: e80300aa  mov	x8, x0
0xfffffff008789788: f00309aa  mov	x16, x9
0xfffffff00878978c: 1f2200f1  cmp	x16, #8
0xfffffff008789790: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008789794: 11000090  adrp	x17, #0xfffffff008789000
0xfffffff008789798: 31922391  add	x17, x17, #0x8e4
0xfffffff00878979c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0087897a0: 11000010  adr	x17, #0xfffffff0087897a0
0xfffffff0087897a4: 3002108b  add	x16, x17, x16
0xfffffff0087897a8: 00021fd6  br	x16
0xfffffff0087897ac: 9f2403d5  bti	j
0xfffffff0087897b0: 00008052  mov	w0, #0
0xfffffff0087897b4: 29fc0011  add	w9, w1, #0x3f
0xfffffff0087897b8: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff0087897bc: 09c934b9  str	w9, [x8, #0x34c8]
0xfffffff0087897c0: 29781f53  lsl	w9, w1, #1
0xfffffff0087897c4: 41000014  b	#0xfffffff0087898c8
0xfffffff0087897c8: 00008052  mov	w0, #0
0xfffffff0087897cc: 43000014  b	#0xfffffff0087898d8
0xfffffff0087897d0: 9f2403d5  bti	j
0xfffffff0087897d4: 28210011  add	w8, w9, #8
0xfffffff0087897d8: 294effd0  adrp	x9, #0xfffffff00714f000
0xfffffff0087897dc: 29351b91  add	x9, x9, #0x6cd
0xfffffff0087897e0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087897e4: 404dff90  adrp	x0, #0xfffffff007131000
0xfffffff0087897e8: 00403691  add	x0, x0, #0xd90
0xfffffff0087897ec: a193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087897f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087897f4: e34dff90  adrp	x3, #0xfffffff007145000
0xfffffff0087897f8: 63803391  add	x3, x3, #0xce0
0xfffffff0087897fc: 02008052  mov	w2, #0
0xfffffff008789800: 4ca6ee97  bl	#0xfffffff008333130
0xfffffff008789804: 00008012  mov	w0, #-1
0xfffffff008789808: 34000014  b	#0xfffffff0087898d8
0xfffffff00878980c: 9f2403d5  bti	j
0xfffffff008789810: 00008052  mov	w0, #0
0xfffffff008789814: 29080011  add	w9, w1, #2
0xfffffff008789818: 6a559552  mov	w10, #0xaaab
0xfffffff00878981c: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff008789820: 297daa9b  umull	x9, w9, w10
0xfffffff008789824: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008789828: 29791f53  lsl	w9, w9, #1
0xfffffff00878982c: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff008789830: 29fd0011  add	w9, w9, #0x3f
0xfffffff008789834: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff008789838: 09c934b9  str	w9, [x8, #0x34c8]
0xfffffff00878983c: 29781f53  lsl	w9, w1, #1
0xfffffff008789840: 2909c41a  udiv	w9, w9, w4
0xfffffff008789844: 29150011  add	w9, w9, #5
0xfffffff008789848: 297daa9b  umull	x9, w9, w10
0xfffffff00878984c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008789850: 29791f53  lsl	w9, w9, #1
0xfffffff008789854: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff008789858: 1d000014  b	#0xfffffff0087898cc
0xfffffff00878985c: 9f2403d5  bti	j
0xfffffff008789860: 00008052  mov	w0, #0
