; Candidate 6243
; ADRP+ADD at VM 0xfffffff00881cb24 (fileoff 0x1818b24): page=0x1fe9cd000 add_imm=0xe80

0xfffffff00881caa4: 800e8052  mov	w0, #0x74
0xfffffff00881caa8: 5c7b0194  bl	#0xfffffff00887b818
0xfffffff00881caac: f80300aa  mov	x24, x0
0xfffffff00881cab0: bf5d0294  bl	#0xfffffff0088b41ac
0xfffffff00881cab4: f70300aa  mov	x23, x0
0xfffffff00881cab8: e0008052  mov	w0, #7
0xfffffff00881cabc: 657b0194  bl	#0xfffffff00887b850
0xfffffff00881cac0: b8010034  cbz	w24, #0xfffffff00881caf4
0xfffffff00881cac4: e80316aa  mov	x8, x22
0xfffffff00881cac8: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00881cacc: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881cad0: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881cad4: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881cad8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881cadc: 880e8052  mov	w8, #0x74
0xfffffff00881cae0: c04fffd0  adrp	x0, #0xfffffff007216000
0xfffffff00881cae4: 00ac3d91  add	x0, x0, #0xf6b
0xfffffff00881cae8: f72300a9  stp	x23, x8, [sp]
0xfffffff00881caec: 5d6ad697  bl	#0xfffffff007db7460
0xfffffff00881caf0: 15000014  b	#0xfffffff00881cb44
0xfffffff00881caf4: ae5d0294  bl	#0xfffffff0088b41ac
0xfffffff00881caf8: f70300aa  mov	x23, x0
0xfffffff00881cafc: e0008052  mov	w0, #7
0xfffffff00881cb00: 547b0194  bl	#0xfffffff00887b850
0xfffffff00881cb04: e80316aa  mov	x8, x22
0xfffffff00881cb08: f52303a9  stp	x21, x8, [sp, #0x30]
0xfffffff00881cb0c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881cb10: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881cb14: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881cb18: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881cb1c: 880e8052  mov	w8, #0x74
0xfffffff00881cb20: f72300a9  stp	x23, x8, [sp]
0xfffffff00881cb24: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881cb28: 00003a91  add	x0, x0, #0xe80
0xfffffff00881cb2c: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881cb30: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881cb34: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881cb38: 63b03991  add	x3, x3, #0xe6c
0xfffffff00881cb3c: 02008052  mov	w2, #0
0xfffffff00881cb40: 7c59ec97  bl	#0xfffffff008333130
0xfffffff00881cb44: e00316aa  mov	x0, x22
0xfffffff00881cb48: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00881cb4c: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00881cb50: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00881cb54: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00881cb58: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00881cb5c: ffc30291  add	sp, sp, #0xb0
0xfffffff00881cb60: ff0f5fd6  retab	
0xfffffff00881cb64: 925d0294  bl	#0xfffffff0088b41ac
0xfffffff00881cb68: f80300aa  mov	x24, x0
0xfffffff00881cb6c: 80008052  mov	w0, #4
0xfffffff00881cb70: 387b0194  bl	#0xfffffff00887b850
0xfffffff00881cb74: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00881cb78: e9c640b9  ldr	w9, [x23, #0xc4]
0xfffffff00881cb7c: f72705a9  stp	x23, x9, [sp, #0x50]
0xfffffff00881cb80: e90315aa  mov	x9, x21
0xfffffff00881cb84: f42704a9  stp	x20, x9, [sp, #0x40]
0xfffffff00881cb88: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00881cb8c: a84fff90  adrp	x8, #0xfffffff007210000
0xfffffff00881cb90: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881cb94: 895f8152  mov	w9, #0xafc
0xfffffff00881cb98: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881cb9c: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881cba0: 08d12b91  add	x8, x8, #0xaf4
