; Candidate 2848
; ADRP+ADD at VM 0xfffffff0086ed1a4 (fileoff 0x16e91a4): page=0x1fea44000 add_imm=0xd90

0xfffffff0086ed124: 6f01080b  add	w15, w11, w8
0xfffffff0086ed128: ff01016b  cmp	w15, w1
0xfffffff0086ed12c: 68000054  b.hi	#0xfffffff0086ed138
0xfffffff0086ed130: 29050011  add	w9, w9, #1
0xfffffff0086ed134: 490000b9  str	w9, [x2]
0xfffffff0086ed138: 4a050091  add	x10, x10, #1
0xfffffff0086ed13c: 5f010deb  cmp	x10, x13
0xfffffff0086ed140: 41fdff54  b.ne	#0xfffffff0086ed0e8
0xfffffff0086ed144: ff01016b  cmp	w15, w1
0xfffffff0086ed148: e1050054  b.ne	#0xfffffff0086ed204
0xfffffff0086ed14c: 20008052  mov	w0, #1
0xfffffff0086ed150: 3a000014  b	#0xfffffff0086ed238
0xfffffff0086ed154: e10b01a9  stp	x1, x2, [sp, #0x10]
0xfffffff0086ed158: 0853fff0  adrp	x8, #0xfffffff007150000
0xfffffff0086ed15c: 08612e91  add	x8, x8, #0xb98
0xfffffff0086ed160: e80300a9  stp	x8, x0, [sp]
0xfffffff0086ed164: 2052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086ed168: 00403691  add	x0, x0, #0xd90
0xfffffff0086ed16c: 8198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ed170: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ed174: 2352fff0  adrp	x3, #0xfffffff007134000
0xfffffff0086ed178: 63680591  add	x3, x3, #0x15a
0xfffffff0086ed17c: 02008052  mov	w2, #0
0xfffffff0086ed180: ec17f197  bl	#0xfffffff008333130
0xfffffff0086ed184: 00008052  mov	w0, #0
0xfffffff0086ed188: 2c000014  b	#0xfffffff0086ed238
0xfffffff0086ed18c: 00008052  mov	w0, #0
0xfffffff0086ed190: 2a000014  b	#0xfffffff0086ed238
0xfffffff0086ed194: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0086ed198: 0853fff0  adrp	x8, #0xfffffff007150000
0xfffffff0086ed19c: 08612e91  add	x8, x8, #0xb98
0xfffffff0086ed1a0: e80700a9  stp	x8, x1, [sp]
0xfffffff0086ed1a4: 2052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086ed1a8: 00403691  add	x0, x0, #0xd90
0xfffffff0086ed1ac: 8198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ed1b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ed1b4: 2352fff0  adrp	x3, #0xfffffff007134000
0xfffffff0086ed1b8: 63f80591  add	x3, x3, #0x17e
0xfffffff0086ed1bc: 02008052  mov	w2, #0
0xfffffff0086ed1c0: dc17f197  bl	#0xfffffff008333130
0xfffffff0086ed1c4: 00008052  mov	w0, #0
0xfffffff0086ed1c8: 1c000014  b	#0xfffffff0086ed238
0xfffffff0086ed1cc: eea700a9  stp	x14, x9, [sp, #8]
0xfffffff0086ed1d0: 0853fff0  adrp	x8, #0xfffffff007150000
0xfffffff0086ed1d4: 08612e91  add	x8, x8, #0xb98
0xfffffff0086ed1d8: e80300f9  str	x8, [sp]
0xfffffff0086ed1dc: 2052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086ed1e0: 00403691  add	x0, x0, #0xd90
0xfffffff0086ed1e4: 8198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ed1e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ed1ec: 2352fff0  adrp	x3, #0xfffffff007134000
0xfffffff0086ed1f0: 63b40791  add	x3, x3, #0x1ed
0xfffffff0086ed1f4: 02008052  mov	w2, #0
0xfffffff0086ed1f8: ce17f197  bl	#0xfffffff008333130
0xfffffff0086ed1fc: 00008052  mov	w0, #0
0xfffffff0086ed200: 0e000014  b	#0xfffffff0086ed238
0xfffffff0086ed204: ef8700a9  stp	x15, x1, [sp, #8]
0xfffffff0086ed208: 0853fff0  adrp	x8, #0xfffffff007150000
0xfffffff0086ed20c: 08612e91  add	x8, x8, #0xb98
0xfffffff0086ed210: e80300f9  str	x8, [sp]
0xfffffff0086ed214: 2052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086ed218: 00403691  add	x0, x0, #0xd90
0xfffffff0086ed21c: 8198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ed220: 21dc41f9  ldr	x1, [x1, #0x3b8]
