; Candidate 5489
; ADRP+ADD at VM 0xfffffff0087f40e8 (fileoff 0x17f00e8): page=0x1fe9f5000 add_imm=0xe80

0xfffffff0087f4068: f94b40f9  ldr	x25, [sp, #0x90]
0xfffffff0087f406c: f8010034  cbz	w24, #0xfffffff0087f40a8
0xfffffff0087f4070: 4a0340b9  ldr	w10, [x26]
0xfffffff0087f4074: fcd703a9  stp	x28, x21, [sp, #0x38]
0xfffffff0087f4078: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f407c: 08292891  add	x8, x8, #0xa0a
0xfffffff0087f4080: a92e8052  mov	w9, #0x175
0xfffffff0087f4084: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f4088: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f408c: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f4090: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f4094: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f4098: e80e8052  mov	w8, #0x77
0xfffffff0087f409c: 0051ffb0  adrp	x0, #0xfffffff007215000
0xfffffff0087f40a0: 00282791  add	x0, x0, #0x9ca
0xfffffff0087f40a4: 40ffff17  b	#0xfffffff0087f3da4
0xfffffff0087f40a8: 41000394  bl	#0xfffffff0088b41ac
0xfffffff0087f40ac: f70300aa  mov	x23, x0
0xfffffff0087f40b0: 80008052  mov	w0, #4
0xfffffff0087f40b4: e71d0294  bl	#0xfffffff00887b850
0xfffffff0087f40b8: 4a0340b9  ldr	w10, [x26]
0xfffffff0087f40bc: fcd703a9  stp	x28, x21, [sp, #0x38]
0xfffffff0087f40c0: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f40c4: 08292891  add	x8, x8, #0xa0a
0xfffffff0087f40c8: a92e8052  mov	w9, #0x175
0xfffffff0087f40cc: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f40d0: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f40d4: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f40d8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f40dc: e80e8052  mov	w8, #0x77
0xfffffff0087f40e0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f40e4: f70300f9  str	x23, [sp]
0xfffffff0087f40e8: a04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f40ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f40f0: a190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f40f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f40f8: 6352ff90  adrp	x3, #0xfffffff007240000
0xfffffff0087f40fc: 63901191  add	x3, x3, #0x464
0xfffffff0087f4100: 02008052  mov	w2, #0
0xfffffff0087f4104: 0bfcec97  bl	#0xfffffff008333130
0xfffffff0087f4108: 8effff17  b	#0xfffffff0087f3f40
0xfffffff0087f410c: e00e8052  mov	w0, #0x77
0xfffffff0087f4110: 81008052  mov	w1, #4
0xfffffff0087f4114: af1d0294  bl	#0xfffffff00887b7d0
0xfffffff0087f4118: 600c0034  cbz	w0, #0xfffffff0087f42a4
0xfffffff0087f411c: e00e8052  mov	w0, #0x77
0xfffffff0087f4120: be1d0294  bl	#0xfffffff00887b818
0xfffffff0087f4124: f90300aa  mov	x25, x0
0xfffffff0087f4128: 21000394  bl	#0xfffffff0088b41ac
0xfffffff0087f412c: f70300aa  mov	x23, x0
0xfffffff0087f4130: 80008052  mov	w0, #4
0xfffffff0087f4134: c71d0294  bl	#0xfffffff00887b850
0xfffffff0087f4138: f9040034  cbz	w25, #0xfffffff0087f41d4
0xfffffff0087f413c: 480340b9  ldr	w8, [x26]
0xfffffff0087f4140: e93340f9  ldr	x9, [sp, #0x60]
0xfffffff0087f4144: e96304a9  stp	x9, x24, [sp, #0x40]
0xfffffff0087f4148: e87f03a9  stp	x8, xzr, [sp, #0x30]
0xfffffff0087f414c: 0851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f4150: 08b12991  add	x8, x8, #0xa6c
0xfffffff0087f4154: 49318052  mov	w9, #0x18a
0xfffffff0087f4158: 15000014  b	#0xfffffff0087f41ac
0xfffffff0087f415c: e00e8052  mov	w0, #0x77
0xfffffff0087f4160: 81008052  mov	w1, #4
0xfffffff0087f4164: 9b1d0294  bl	#0xfffffff00887b7d0
