; Candidate 4752
; ADRP+ADD at VM 0xfffffff0087c432c (fileoff 0x17c032c): page=0x1fe96d000 add_imm=0xd90

0xfffffff0087c42ac: cadc0736  tbz	w10, #0, #0xfffffff0087c3e44
0xfffffff0087c42b0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0087c42b4: c84cfff0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c42b8: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0087c42bc: e80300f9  str	x8, [sp]
0xfffffff0087c42c0: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c42c4: 00403691  add	x0, x0, #0xd90
0xfffffff0087c42c8: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c42cc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c42d0: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c42d4: 638c1591  add	x3, x3, #0x563
0xfffffff0087c42d8: 02008052  mov	w2, #0
0xfffffff0087c42dc: 95bbed97  bl	#0xfffffff008333130
0xfffffff0087c42e0: d9feff17  b	#0xfffffff0087c3e44
0xfffffff0087c42e4: c8948752  mov	w8, #0x3ca6
0xfffffff0087c42e8: 686a6838  ldrb	w8, [x19, x8]
0xfffffff0087c42ec: 88010036  tbz	w8, #0, #0xfffffff0087c431c
0xfffffff0087c42f0: c84cfff0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c42f4: 08411f91  add	x8, x8, #0x7d0
0xfffffff0087c42f8: e80300f9  str	x8, [sp]
0xfffffff0087c42fc: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4300: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4304: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4308: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c430c: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c4310: 63a43191  add	x3, x3, #0xc69
0xfffffff0087c4314: 02008052  mov	w2, #0
0xfffffff0087c4318: 86bbed97  bl	#0xfffffff008333130
0xfffffff0087c431c: 09ce8252  mov	w9, #0x1670
0xfffffff0087c4320: 684cff90  adrp	x8, #0xfffffff007150000
0xfffffff0087c4324: 08310c91  add	x8, x8, #0x30c
0xfffffff0087c4328: e82700a9  stp	x8, x9, [sp]
0xfffffff0087c432c: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c4330: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4334: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4338: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c433c: 434cffb0  adrp	x3, #0xfffffff00714d000
0xfffffff0087c4340: 63e40b91  add	x3, x3, #0x2f9
0xfffffff0087c4344: 02008052  mov	w2, #0
0xfffffff0087c4348: 7abbed97  bl	#0xfffffff008333130
0xfffffff0087c434c: befeff17  b	#0xfffffff0087c3e44
0xfffffff0087c4350: 37008052  mov	w23, #1
0xfffffff0087c4354: bdfeff17  b	#0xfffffff0087c3e48
0xfffffff0087c4358: 081d4092  and	x8, x8, #0xff
0xfffffff0087c435c: c94cfff0  adrp	x9, #0xfffffff00715f000
0xfffffff0087c4360: 29ad0691  add	x9, x9, #0x1ab
0xfffffff0087c4364: e92300a9  stp	x9, x8, [sp]
0xfffffff0087c4368: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c436c: 00403691  add	x0, x0, #0xd90
0xfffffff0087c4370: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c4374: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c4378: 434cffd0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c437c: 63b00c91  add	x3, x3, #0x32c
0xfffffff0087c4380: 02008052  mov	w2, #0
0xfffffff0087c4384: 6bbbed97  bl	#0xfffffff008333130
0xfffffff0087c4388: affeff17  b	#0xfffffff0087c3e44
0xfffffff0087c438c: 081d4092  and	x8, x8, #0xff
0xfffffff0087c4390: c94cfff0  adrp	x9, #0xfffffff00715f000
0xfffffff0087c4394: 29ad0691  add	x9, x9, #0x1ab
0xfffffff0087c4398: e92300a9  stp	x9, x8, [sp]
0xfffffff0087c439c: 604bffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087c43a0: 00403691  add	x0, x0, #0xd90
0xfffffff0087c43a4: c191ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c43a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
