; Candidate 1615
; ADRP+ADD at VM 0xfffffff0084be9cc (fileoff 0x14ba9cc): page=0x1feb9c000 add_imm=0xeb4

0xfffffff0084be94c: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0084be950: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0084be954: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0084be958: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0084be95c: ff430391  add	sp, sp, #0xd0
0xfffffff0084be960: ff0f5fd6  retab	
0xfffffff0084be964: 690640f9  ldr	x9, [x19, #8]
0xfffffff0084be968: 8ae38052  mov	w10, #0x71c
0xfffffff0084be96c: eb5cff90  adrp	x11, #0xfffffff00705a000
0xfffffff0084be970: 6bd90991  add	x11, x11, #0x276
0xfffffff0084be974: ec5cffb0  adrp	x12, #0xfffffff00705b000
0xfffffff0084be978: 8c1d0291  add	x12, x12, #0x87
0xfffffff0084be97c: 07000014  b	#0xfffffff0084be998
0xfffffff0084be980: 690640f9  ldr	x9, [x19, #8]
0xfffffff0084be984: 2ae48052  mov	w10, #0x721
0xfffffff0084be988: eb5cff90  adrp	x11, #0xfffffff00705a000
0xfffffff0084be98c: 6bd90991  add	x11, x11, #0x276
0xfffffff0084be990: ec5cffb0  adrp	x12, #0xfffffff00705b000
0xfffffff0084be994: 8c4d0291  add	x12, x12, #0x93
0xfffffff0084be998: eb2b03a9  stp	x11, x10, [sp, #0x30]
0xfffffff0084be99c: ec0f02a9  stp	x12, x3, [sp, #0x20]
0xfffffff0084be9a0: f42301a9  stp	x20, x8, [sp, #0x10]
0xfffffff0084be9a4: e05cffb0  adrp	x0, #0xfffffff00705b000
0xfffffff0084be9a8: 00a80091  add	x0, x0, #0x2a
0xfffffff0084be9ac: f32700a9  stp	x19, x9, [sp]
0xfffffff0084be9b0: d756ff97  bl	#0xfffffff00849450c
0xfffffff0084be9b4: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084be9b8: c9ca8052  mov	w9, #0x656
0xfffffff0084be9bc: ea5cff90  adrp	x10, #0xfffffff00705a000
0xfffffff0084be9c0: 4ad90991  add	x10, x10, #0x276
0xfffffff0084be9c4: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff0084be9c8: f32300a9  stp	x19, x8, [sp]
0xfffffff0084be9cc: e05cff90  adrp	x0, #0xfffffff00705a000
0xfffffff0084be9d0: 00d03a91  add	x0, x0, #0xeb4
0xfffffff0084be9d4: ce56ff97  bl	#0xfffffff00849450c
0xfffffff0084be9d8: 0d000014  b	#0xfffffff0084bea0c
0xfffffff0084be9dc: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084be9e0: e95cff90  adrp	x9, #0xfffffff00705a000
0xfffffff0084be9e4: 29d90991  add	x9, x9, #0x276
0xfffffff0084be9e8: 6acb8052  mov	w10, #0x65b
0xfffffff0084be9ec: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0084be9f0: e95cff90  adrp	x9, #0xfffffff00705a000
0xfffffff0084be9f4: 29c13c91  add	x9, x9, #0xf30
0xfffffff0084be9f8: e95301a9  stp	x9, x20, [sp, #0x10]
0xfffffff0084be9fc: f32300a9  stp	x19, x8, [sp]
0xfffffff0084bea00: e05cff90  adrp	x0, #0xfffffff00705a000
0xfffffff0084bea04: 007c3b91  add	x0, x0, #0xedf
0xfffffff0084bea08: c156ff97  bl	#0xfffffff00849450c
0xfffffff0084bea0c: e85cffb0  adrp	x8, #0xfffffff00705b000
0xfffffff0084bea10: 08f50e91  add	x8, x8, #0x3bd
0xfffffff0084bea14: e9348052  mov	w9, #0x1a7
0xfffffff0084bea18: e82700a9  stp	x8, x9, [sp]
0xfffffff0084bea1c: e05cffb0  adrp	x0, #0xfffffff00705b000
0xfffffff0084bea20: 00640e91  add	x0, x0, #0x399
0xfffffff0084bea24: ba56ff97  bl	#0xfffffff00849450c
0xfffffff0084bea28: 680640f9  ldr	x8, [x19, #8]
0xfffffff0084bea2c: 4acc8052  mov	w10, #0x662
0xfffffff0084bea30: e95cff90  adrp	x9, #0xfffffff00705a000
0xfffffff0084bea34: 29d90991  add	x9, x9, #0x276
0xfffffff0084bea38: e9ab02a9  stp	x9, x10, [sp, #0x28]
0xfffffff0084bea3c: f58301a9  stp	x21, x0, [sp, #0x18]
0xfffffff0084bea40: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff0084bea44: e05cff90  adrp	x0, #0xfffffff00705a000
0xfffffff0084bea48: 00d43c91  add	x0, x0, #0xf35
