; Candidate 15228
; ADRP+ADD at VM 0xfffffff009b40f8c (fileoff 0x2b3cf8c): page=0x1fe199000 add_imm=0xdf8

0xfffffff009b40f0c: 10423191  add	x16, x16, #0xc50
0xfffffff009b40f10: 10420091  add	x16, x16, #0x10
0xfffffff009b40f14: f10300aa  mov	x17, x0
0xfffffff009b40f18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b40f1c: 300ac1da  pacda	x16, x17
0xfffffff009b40f20: 100000f9  str	x16, [x0]
0xfffffff009b40f24: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b40f28: ff0f5fd6  retab	
0xfffffff009b40f2c: 5f2403d5  bti	c
0xfffffff009b40f30: 87999e17  b	#0xfffffff0082e754c
0xfffffff009b40f34: 5f2403d5  bti	c
0xfffffff009b40f38: 85999e17  b	#0xfffffff0082e754c
0xfffffff009b40f3c: 7f2303d5  pacibsp	
0xfffffff009b40f40: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009b40f44: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009b40f48: fd430091  add	x29, sp, #0x10
0xfffffff009b40f4c: f30300aa  mov	x19, x0
0xfffffff009b40f50: 7f999e97  bl	#0xfffffff0082e754c
0xfffffff009b40f54: c00cffb0  adrp	x0, #0xfffffff007cd9000
0xfffffff009b40f58: 00e03791  add	x0, x0, #0xdf8
0xfffffff009b40f5c: e10313aa  mov	x1, x19
0xfffffff009b40f60: 02158052  mov	w2, #0xa8
0xfffffff009b40f64: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009b40f68: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009b40f6c: ff2303d5  autibsp	
0xfffffff009b40f70: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009b40f74: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009b40f7c
0xfffffff009b40f78: 208e38d4  brk	#0xc471
0xfffffff009b40f7c: c8999e17  b	#0xfffffff0082e769c
0xfffffff009b40f80: 5f2403d5  bti	c
0xfffffff009b40f84: e20301aa  mov	x2, x1
0xfffffff009b40f88: e10300aa  mov	x1, x0
0xfffffff009b40f8c: c00cffb0  adrp	x0, #0xfffffff007cd9000
0xfffffff009b40f90: 00e03791  add	x0, x0, #0xdf8
0xfffffff009b40f94: c2999e17  b	#0xfffffff0082e769c
0xfffffff009b40f98: 5f2403d5  bti	c
0xfffffff009b40f9c: c04300b0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b40fa0: 00203d91  add	x0, x0, #0xf48
0xfffffff009b40fa4: c0035fd6  ret	
0xfffffff009b40fa8: 7f2303d5  pacibsp	
0xfffffff009b40fac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009b40fb0: fd030091  mov	x29, sp
0xfffffff009b40fb4: 41d7feb0  adrp	x1, #0xfffffff007629000
0xfffffff009b40fb8: 21d82291  add	x1, x1, #0x8b6
0xfffffff009b40fbc: c20cff90  adrp	x2, #0xfffffff007cd8000
0xfffffff009b40fc0: 424445f9  ldr	x2, [x2, #0xa88]
0xfffffff009b40fc4: 03158052  mov	w3, #0xa8
0xfffffff009b40fc8: dc8a9e97  bl	#0xfffffff0082e3b38
0xfffffff009b40fcc: d00cffb0  adrp	x16, #0xfffffff007cd9000
0xfffffff009b40fd0: 10c23391  add	x16, x16, #0xcf0
0xfffffff009b40fd4: 10420091  add	x16, x16, #0x10
0xfffffff009b40fd8: f10300aa  mov	x17, x0
0xfffffff009b40fdc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b40fe0: 300ac1da  pacda	x16, x17
0xfffffff009b40fe4: 100000f9  str	x16, [x0]
0xfffffff009b40fe8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009b40fec: ff0f5fd6  retab	
0xfffffff009b40ff0: 7f2303d5  pacibsp	
0xfffffff009b40ff4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009b40ff8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009b40ffc: fd430091  add	x29, sp, #0x10
0xfffffff009b41000: c00cff90  adrp	x0, #0xfffffff007cd9000
0xfffffff009b41004: 00e03791  add	x0, x0, #0xdf8
0xfffffff009b41008: 01158052  mov	w1, #0xa8
