; Candidate 2830
; ADRP+ADD at VM 0xfffffff0086ec390 (fileoff 0x16e8390): page=0x1fea45000 add_imm=0xd90

0xfffffff0086ec310: 1422a072  movk	w20, #0x110, lsl #16
0xfffffff0086ec314: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
0xfffffff0086ec318: bf031cf8  stur	xzr, [x29, #-0x40]
0xfffffff0086ec31c: ff7f06a9  stp	xzr, xzr, [sp, #0x60]
0xfffffff0086ec320: ff7f05a9  stp	xzr, xzr, [sp, #0x50]
0xfffffff0086ec324: ff7f04a9  stp	xzr, xzr, [sp, #0x40]
0xfffffff0086ec328: b64301d1  sub	x22, x29, #0x50
0xfffffff0086ec32c: 8802150b  add	w8, w20, w21
0xfffffff0086ec330: 012d4011  add	w1, w8, #0xb, lsl #12
0xfffffff0086ec334: 700240f9  ldr	x16, [x19]
0xfffffff0086ec338: f10313aa  mov	x17, x19
0xfffffff0086ec33c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff0086ec340: 301ac1da  autda	x16, x17
0xfffffff0086ec344: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff0086ec348: e90310aa  mov	x9, x16
0xfffffff0086ec34c: e00313aa  mov	x0, x19
0xfffffff0086ec350: f10309aa  mov	x17, x9
0xfffffff0086ec354: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff0086ec358: 11093fd7  blraa	x8, x17
0xfffffff0086ec35c: c06a35b8  str	w0, [x22, x21]
0xfffffff0086ec360: b5120091  add	x21, x21, #4
0xfffffff0086ec364: bf620071  cmp	w21, #0x18
0xfffffff0086ec368: 21feff54  b.ne	#0xfffffff0086ec32c
0xfffffff0086ec36c: a8277629  ldp	w8, w9, [x29, #-0x50]
0xfffffff0086ec370: aa2f7729  ldp	w10, w11, [x29, #-0x48]
0xfffffff0086ec374: ac377829  ldp	w12, w13, [x29, #-0x40]
0xfffffff0086ec378: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff0086ec37c: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0086ec380: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0086ec384: 3653ff90  adrp	x22, #0xfffffff007150000
0xfffffff0086ec388: d6e62b91  add	x22, x22, #0xaf9
0xfffffff0086ec38c: f60300f9  str	x22, [sp]
0xfffffff0086ec390: 2052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086ec394: 00403691  add	x0, x0, #0xd90
0xfffffff0086ec398: 8198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086ec39c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086ec3a0: 2352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086ec3a4: 63e43491  add	x3, x3, #0xd39
0xfffffff0086ec3a8: 02008052  mov	w2, #0
0xfffffff0086ec3ac: 611bf197  bl	#0xfffffff008333130
0xfffffff0086ec3b0: 150080d2  mov	x21, #0
0xfffffff0086ec3b4: f7830191  add	x23, sp, #0x60
0xfffffff0086ec3b8: 8802150b  add	w8, w20, w21
0xfffffff0086ec3bc: 01111011  add	w1, w8, #0x404
0xfffffff0086ec3c0: 700240f9  ldr	x16, [x19]
0xfffffff0086ec3c4: f10313aa  mov	x17, x19
0xfffffff0086ec3c8: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff0086ec3cc: 301ac1da  autda	x16, x17
0xfffffff0086ec3d0: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff0086ec3d4: e90310aa  mov	x9, x16
0xfffffff0086ec3d8: e00313aa  mov	x0, x19
0xfffffff0086ec3dc: f10309aa  mov	x17, x9
0xfffffff0086ec3e0: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff0086ec3e4: 11093fd7  blraa	x8, x17
0xfffffff0086ec3e8: e06a35b8  str	w0, [x23, x21]
0xfffffff0086ec3ec: b5120091  add	x21, x21, #4
0xfffffff0086ec3f0: bf420071  cmp	w21, #0x10
0xfffffff0086ec3f4: 21feff54  b.ne	#0xfffffff0086ec3b8
0xfffffff0086ec3f8: e8274c29  ldp	w8, w9, [sp, #0x60]
0xfffffff0086ec3fc: ea2f4d29  ldp	w10, w11, [sp, #0x68]
0xfffffff0086ec400: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff0086ec404: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff0086ec408: f60300f9  str	x22, [sp]
0xfffffff0086ec40c: 2052ffb0  adrp	x0, #0xfffffff007131000
