; Candidate 1600
; ADRP+ADD at VM 0xfffffff0084b706c (fileoff 0x14b306c): page=0x1feb9a000 add_imm=0xe83

0xfffffff0084b6fec: 080340f9  ldr	x8, [x24]
0xfffffff0084b6ff0: a88318f8  stur	x8, [x29, #-0x78]
0xfffffff0084b6ff4: f84f40f9  ldr	x24, [sp, #0x98]
0xfffffff0084b6ff8: f7c740b9  ldr	w23, [sp, #0xc4]
0xfffffff0084b6ffc: 39a1fff0  adrp	x25, #0xfffffff0078dd000
0xfffffff0084b7000: fc0308aa  mov	x28, x8
0xfffffff0084b7004: c9feff17  b	#0xfffffff0084b6b28
0xfffffff0084b7008: e00315aa  mov	x0, x21
0xfffffff0084b700c: d6010034  cbz	w22, #0xfffffff0084b7044
0xfffffff0084b7010: fbdde397  bl	#0xfffffff007dae7fc
0xfffffff0084b7014: 0d000014  b	#0xfffffff0084b7048
0xfffffff0084b7018: aa1b8452  mov	w10, #0x20dd
0xfffffff0084b701c: c85cffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084b7020: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084b7024: c95cffd0  adrp	x9, #0xfffffff007051000
0xfffffff0084b7028: 299d3991  add	x9, x9, #0xe67
0xfffffff0084b702c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0084b7030: f4cf00a9  stp	x20, x19, [sp, #8]
0xfffffff0084b7034: e90300f9  str	x9, [sp]
0xfffffff0084b7038: c05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b703c: 00843b91  add	x0, x0, #0xee1
0xfffffff0084b7040: 3375ff97  bl	#0xfffffff00849450c
0xfffffff0084b7044: d9dde397  bl	#0xfffffff007dae7a8
0xfffffff0084b7048: 1a008052  mov	w26, #0
0xfffffff0084b704c: 77feff17  b	#0xfffffff0084b6a28
0xfffffff0084b7050: 281a8452  mov	w8, #0x20d1
0xfffffff0084b7054: c95cffb0  adrp	x9, #0xfffffff007050000
0xfffffff0084b7058: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084b705c: ca5cffd0  adrp	x10, #0xfffffff007051000
0xfffffff0084b7060: 4a9d3991  add	x10, x10, #0xe67
0xfffffff0084b7064: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0084b7068: ea0300f9  str	x10, [sp]
0xfffffff0084b706c: c05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b7070: 000c3a91  add	x0, x0, #0xe83
0xfffffff0084b7074: 2675ff97  bl	#0xfffffff00849450c
0xfffffff0084b7078: 2a1b8452  mov	w10, #0x20d9
0xfffffff0084b707c: c85cffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084b7080: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084b7084: c95cffd0  adrp	x9, #0xfffffff007051000
0xfffffff0084b7088: 299d3991  add	x9, x9, #0xe67
0xfffffff0084b708c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0084b7090: f3d300a9  stp	x19, x20, [sp, #8]
0xfffffff0084b7094: e90300f9  str	x9, [sp]
0xfffffff0084b7098: c05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b709c: 00d03a91  add	x0, x0, #0xeb4
0xfffffff0084b70a0: 1b75ff97  bl	#0xfffffff00849450c
0xfffffff0084b70a4: 09014291  add	x9, x8, #0x80, lsl #12
0xfffffff0084b70a8: 6a1c8452  mov	w10, #0x20e3
0xfffffff0084b70ac: cb5cffb0  adrp	x11, #0xfffffff007050000
0xfffffff0084b70b0: 6bcd3c91  add	x11, x11, #0xf33
0xfffffff0084b70b4: eb2b02a9  stp	x11, x10, [sp, #0x20]
0xfffffff0084b70b8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0084b70bc: f55300a9  stp	x21, x20, [sp]
0xfffffff0084b70c0: c05cffd0  adrp	x0, #0xfffffff007051000
0xfffffff0084b70c4: 00603c91  add	x0, x0, #0xf18
0xfffffff0084b70c8: 1175ff97  bl	#0xfffffff00849450c
0xfffffff0084b70cc: f7c700b9  str	w23, [sp, #0xc4]
0xfffffff0084b70d0: ba008052  mov	w26, #5
0xfffffff0084b70d4: 0b000014  b	#0xfffffff0084b7100
0xfffffff0084b70d8: 288745f9  ldr	x8, [x25, #0xb08]
0xfffffff0084b70dc: e94b40f9  ldr	x9, [sp, #0x90]
0xfffffff0084b70e0: 080d098b  add	x8, x8, x9, lsl #3
0xfffffff0084b70e4: 89d038d5  mrs	x9, tpidr_el1
0xfffffff0084b70e8: 294941b9  ldr	w9, [x9, #0x148]
