; Candidate 7824
; ADRP+ADD at VM 0xfffffff008881a54 (fileoff 0x187da54): page=0x1fe9ab000 add_imm=0xe18

0xfffffff0088819d4: 00b83691  add	x0, x0, #0xdae
0xfffffff0088819d8: f62300a9  stp	x22, x8, [sp]
0xfffffff0088819dc: a1d6d497  bl	#0xfffffff007db7460
0xfffffff0088819e0: 3f000014  b	#0xfffffff008881adc
0xfffffff0088819e4: 800b8052  mov	w0, #0x5c
0xfffffff0088819e8: 81008052  mov	w1, #4
0xfffffff0088819ec: 79e7ff97  bl	#0xfffffff00887b7d0
0xfffffff0088819f0: a01e0034  cbz	w0, #0xfffffff008881dc4
0xfffffff0088819f4: 800b8052  mov	w0, #0x5c
0xfffffff0088819f8: 88e7ff97  bl	#0xfffffff00887b818
0xfffffff0088819fc: f70300aa  mov	x23, x0
0xfffffff008881a00: ebc90094  bl	#0xfffffff0088b41ac
0xfffffff008881a04: f60300aa  mov	x22, x0
0xfffffff008881a08: 80008052  mov	w0, #4
0xfffffff008881a0c: 91e7ff97  bl	#0xfffffff00887b850
0xfffffff008881a10: 171a0034  cbz	w23, #0xfffffff008881d50
0xfffffff008881a14: e80315aa  mov	x8, x21
0xfffffff008881a18: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008881a1c: e82b00f9  str	x8, [sp, #0x50]
0xfffffff008881a20: e80314aa  mov	x8, x20
0xfffffff008881a24: 4a4dfff0  adrp	x10, #0xfffffff00722c000
0xfffffff008881a28: 4a691491  add	x10, x10, #0x51a
0xfffffff008881a2c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008881a30: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008881a34: 882b8052  mov	w8, #0x15c
0xfffffff008881a38: 894cff90  adrp	x9, #0xfffffff007211000
0xfffffff008881a3c: 29491c91  add	x9, x9, #0x712
0xfffffff008881a40: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008881a44: 684dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008881a48: 08fd0891  add	x8, x8, #0x23f
0xfffffff008881a4c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008881a50: 880b8052  mov	w8, #0x5c
0xfffffff008881a54: 404dfff0  adrp	x0, #0xfffffff00722c000
0xfffffff008881a58: 00603891  add	x0, x0, #0xe18
0xfffffff008881a5c: f62300a9  stp	x22, x8, [sp]
0xfffffff008881a60: 80d6d497  bl	#0xfffffff007db7460
0xfffffff008881a64: d8000014  b	#0xfffffff008881dc4
0xfffffff008881a68: d1c90094  bl	#0xfffffff0088b41ac
0xfffffff008881a6c: f60300aa  mov	x22, x0
0xfffffff008881a70: 80008052  mov	w0, #4
0xfffffff008881a74: 77e7ff97  bl	#0xfffffff00887b850
0xfffffff008881a78: e80315aa  mov	x8, x21
0xfffffff008881a7c: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008881a80: e82b00f9  str	x8, [sp, #0x50]
0xfffffff008881a84: e80314aa  mov	x8, x20
0xfffffff008881a88: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008881a8c: 484dfff0  adrp	x8, #0xfffffff00722c000
0xfffffff008881a90: 08ad3791  add	x8, x8, #0xdeb
0xfffffff008881a94: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008881a98: 082b8052  mov	w8, #0x158
0xfffffff008881a9c: 894cff90  adrp	x9, #0xfffffff007211000
0xfffffff008881aa0: 29491c91  add	x9, x9, #0x712
0xfffffff008881aa4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008881aa8: 684dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008881aac: 08fd0891  add	x8, x8, #0x23f
0xfffffff008881ab0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008881ab4: 880b8052  mov	w8, #0x5c
0xfffffff008881ab8: c34effd0  adrp	x3, #0xfffffff00725b000
0xfffffff008881abc: 63bc2e91  add	x3, x3, #0xbaf
0xfffffff008881ac0: f62300a9  stp	x22, x8, [sp]
0xfffffff008881ac4: 404bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008881ac8: 00003a91  add	x0, x0, #0xe80
0xfffffff008881acc: 218cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008881ad0: 212c42f9  ldr	x1, [x1, #0x458]
