; Candidate 10118
; ADRP+ADD at VM 0xfffffff008ca901c (fileoff 0x1ca501c): page=0x1fe6ad000 add_imm=0xdee

0xfffffff008ca8f9c: 3d84db97  bl	#0xfffffff00838a090
0xfffffff008ca8fa0: f50300aa  mov	x21, x0
0xfffffff008ca8fa4: a00400b4  cbz	x0, #0xfffffff008ca9038
0xfffffff008ca8fa8: 0870ff90  adrp	x8, #0xfffffff007aa8000
0xfffffff008ca8fac: 080141f9  ldr	x8, [x8, #0x200]
0xfffffff008ca8fb0: 010140f9  ldr	x1, [x8]
0xfffffff008ca8fb4: b00240f9  ldr	x16, [x21]
0xfffffff008ca8fb8: f10315aa  mov	x17, x21
0xfffffff008ca8fbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca8fc0: 301ac1da  autda	x16, x17
0xfffffff008ca8fc4: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff008ca8fc8: e90310aa  mov	x9, x16
0xfffffff008ca8fcc: e00315aa  mov	x0, x21
0xfffffff008ca8fd0: e20314aa  mov	x2, x20
0xfffffff008ca8fd4: f10309aa  mov	x17, x9
0xfffffff008ca8fd8: d1b3f1f2  movk	x17, #0x8d9e, lsl #48
0xfffffff008ca8fdc: 11093fd7  blraa	x8, x17
0xfffffff008ca8fe0: e00315aa  mov	x0, x21
0xfffffff008ca8fe4: 01008bd2  mov	x1, #0x5800
0xfffffff008ca8fe8: e108bff2  movk	x1, #0xf847, lsl #16
0xfffffff008ca8fec: a101c0f2  movk	x1, #0xd, lsl #32
0xfffffff008ca8ff0: 6783db97  bl	#0xfffffff008389d8c
0xfffffff008ca8ff4: 800200b4  cbz	x0, #0xfffffff008ca9044
0xfffffff008ca8ff8: f60300aa  mov	x22, x0
0xfffffff008ca8ffc: 16000014  b	#0xfffffff008ca9054
0xfffffff008ca9000: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008ca9004: 00b83691  add	x0, x0, #0xdae
0xfffffff008ca9008: 06b8da97  bl	#0xfffffff008357020
0xfffffff008ca900c: 160080d2  mov	x22, #0
0xfffffff008ca9010: 31000014  b	#0xfffffff008ca90d4
0xfffffff008ca9014: 140080d2  mov	x20, #0
0xfffffff008ca9018: 150080d2  mov	x21, #0
0xfffffff008ca901c: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008ca9020: 00b83791  add	x0, x0, #0xdee
0xfffffff008ca9024: 0a000014  b	#0xfffffff008ca904c
0xfffffff008ca9028: 150080d2  mov	x21, #0
0xfffffff008ca902c: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008ca9030: 00ec3891  add	x0, x0, #0xe3b
0xfffffff008ca9034: 06000014  b	#0xfffffff008ca904c
0xfffffff008ca9038: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008ca903c: 00fc3991  add	x0, x0, #0xe7f
0xfffffff008ca9040: 03000014  b	#0xfffffff008ca904c
0xfffffff008ca9044: 6035ffb0  adrp	x0, #0xfffffff007356000
0xfffffff008ca9048: 00083b91  add	x0, x0, #0xec2
0xfffffff008ca904c: f5b7da97  bl	#0xfffffff008357020
0xfffffff008ca9050: 160080d2  mov	x22, #0
0xfffffff008ca9054: 700240f9  ldr	x16, [x19]
0xfffffff008ca9058: f10313aa  mov	x17, x19
0xfffffff008ca905c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca9060: 301ac1da  autda	x16, x17
0xfffffff008ca9064: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ca9068: e90310aa  mov	x9, x16
0xfffffff008ca906c: e00313aa  mov	x0, x19
0xfffffff008ca9070: f10309aa  mov	x17, x9
0xfffffff008ca9074: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008ca9078: 11093fd7  blraa	x8, x17
0xfffffff008ca907c: 750100b4  cbz	x21, #0xfffffff008ca90a8
0xfffffff008ca9080: b00240f9  ldr	x16, [x21]
0xfffffff008ca9084: f10315aa  mov	x17, x21
0xfffffff008ca9088: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ca908c: 301ac1da  autda	x16, x17
0xfffffff008ca9090: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ca9094: e90310aa  mov	x9, x16
0xfffffff008ca9098: e00315aa  mov	x0, x21
