; Candidate 4788
; ADRP+ADD at VM 0xfffffff0087c60b0 (fileoff 0x17c20b0): page=0x1fea23000 add_imm=0xe80

0xfffffff0087c6030: 087d2291  add	x8, x8, #0x89f
0xfffffff0087c6034: 29178052  mov	w9, #0xb9
0xfffffff0087c6038: e8db02a9  stp	x8, x22, [sp, #0x28]
0xfffffff0087c603c: 2852fff0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c6040: 08991391  add	x8, x8, #0x4e6
0xfffffff0087c6044: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087c6048: 68008052  mov	w8, #3
0xfffffff0087c604c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c6050: f40300f9  str	x20, [sp]
0xfffffff0087c6054: 0051fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c6058: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c605c: 0192ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c6060: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c6064: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c6068: 63d00791  add	x3, x3, #0x1f4
0xfffffff0087c606c: 02008052  mov	w2, #0
0xfffffff0087c6070: 30b4ed97  bl	#0xfffffff008333130
0xfffffff0087c6074: 17000014  b	#0xfffffff0087c60d0
0xfffffff0087c6078: 4db80394  bl	#0xfffffff0088b41ac
0xfffffff0087c607c: f40300aa  mov	x20, x0
0xfffffff0087c6080: 80008052  mov	w0, #4
0xfffffff0087c6084: f3d50294  bl	#0xfffffff00887b850
0xfffffff0087c6088: 2852fff0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c608c: 085d2491  add	x8, x8, #0x917
0xfffffff0087c6090: c9178052  mov	w9, #0xbe
0xfffffff0087c6094: e8db02a9  stp	x8, x22, [sp, #0x28]
0xfffffff0087c6098: 2852fff0  adrp	x8, #0xfffffff00720d000
0xfffffff0087c609c: 08991391  add	x8, x8, #0x4e6
0xfffffff0087c60a0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087c60a4: 68008052  mov	w8, #3
0xfffffff0087c60a8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087c60ac: f40300f9  str	x20, [sp]
0xfffffff0087c60b0: 0051fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087c60b4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087c60b8: 0192ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087c60bc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087c60c0: 8353ffb0  adrp	x3, #0xfffffff007237000
0xfffffff0087c60c4: 63200991  add	x3, x3, #0x248
0xfffffff0087c60c8: 02008052  mov	w2, #0
0xfffffff0087c60cc: 19b4ed97  bl	#0xfffffff008333130
0xfffffff0087c60d0: e00313aa  mov	x0, x19
0xfffffff0087c60d4: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0087c60d8: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0087c60dc: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0087c60e0: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0087c60e4: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0087c60e8: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0087c60ec: ff430391  add	sp, sp, #0xd0
0xfffffff0087c60f0: ff0f5fd6  retab	
0xfffffff0087c60f4: 5f2403d5  bti	c
0xfffffff0087c60f8: 080080d2  mov	x8, #0
0xfffffff0087c60fc: 090080d2  mov	x9, #0
0xfffffff0087c6100: 0ab02d91  add	x10, x0, #0xb6c
0xfffffff0087c6104: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0087c6108: 4001803d  str	q0, [x10]
0xfffffff0087c610c: 1ff02d39  strb	wzr, [x0, #0xb7c]
0xfffffff0087c6110: 01800bb9  str	w1, [x0, #0xb80]
0xfffffff0087c6114: 1f880bb9  str	wzr, [x0, #0xb88]
0xfffffff0087c6118: 0a684bb9  ldr	w10, [x0, #0xb68]
0xfffffff0087c611c: 4b050011  add	w11, w10, #1
0xfffffff0087c6120: 0c00088b  add	x12, x0, x8
0xfffffff0087c6124: 9f0903b9  str	wzr, [x12, #0x308]
0xfffffff0087c6128: 8df10b91  add	x13, x12, #0x2fc
0xfffffff0087c612c: a00100fd  str	d0, [x13]
