; Candidate 8545
; ADRP+ADD at VM 0xfffffff0088b1094 (fileoff 0x18ad094): page=0x1fe938000 add_imm=0xe80

0xfffffff0088b1014: 63881991  add	x3, x3, #0x662
0xfffffff0088b1018: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b101c: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1020: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b1024: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b1028: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b102c: 02008052  mov	w2, #0
0xfffffff0088b1030: 4008ea97  bl	#0xfffffff008333130
0xfffffff0088b1034: a0feff17  b	#0xfffffff0088b0ab4
0xfffffff0088b1038: 5d0c0094  bl	#0xfffffff0088b41ac
0xfffffff0088b103c: f40300aa  mov	x20, x0
0xfffffff0088b1040: 80008052  mov	w0, #4
0xfffffff0088b1044: 032aff97  bl	#0xfffffff00887b850
0xfffffff0088b1048: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088b104c: e9031baa  mov	x9, x27
0xfffffff0088b1050: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff0088b1054: e80317aa  mov	x8, x23
0xfffffff0088b1058: e90319aa  mov	x9, x25
0xfffffff0088b105c: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088b1060: 48008052  mov	w8, #2
0xfffffff0088b1064: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0088b1068: e84afff0  adrp	x8, #0xfffffff007210000
0xfffffff0088b106c: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088b1070: 29108152  mov	w9, #0x881
0xfffffff0088b1074: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b1078: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b107c: 086d1591  add	x8, x8, #0x55b
0xfffffff0088b1080: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b1084: c80f8052  mov	w8, #0x7e
0xfffffff0088b1088: 834dfff0  adrp	x3, #0xfffffff007264000
0xfffffff0088b108c: 63b81a91  add	x3, x3, #0x6ae
0xfffffff0088b1090: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b1094: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1098: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b109c: a18afff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b10a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b10a4: 02008052  mov	w2, #0
0xfffffff0088b10a8: 2208ea97  bl	#0xfffffff008333130
0xfffffff0088b10ac: 82feff17  b	#0xfffffff0088b0ab4
0xfffffff0088b10b0: 3f0c0094  bl	#0xfffffff0088b41ac
0xfffffff0088b10b4: f40300aa  mov	x20, x0
0xfffffff0088b10b8: 80008052  mov	w0, #4
0xfffffff0088b10bc: e529ff97  bl	#0xfffffff00887b850
0xfffffff0088b10c0: a8835af8  ldur	x8, [x29, #-0x58]
0xfffffff0088b10c4: e9031baa  mov	x9, x27
0xfffffff0088b10c8: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff0088b10cc: e80317aa  mov	x8, x23
0xfffffff0088b10d0: e90319aa  mov	x9, x25
0xfffffff0088b10d4: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088b10d8: 68008052  mov	w8, #3
0xfffffff0088b10dc: e85703a9  stp	x8, x21, [sp, #0x30]
0xfffffff0088b10e0: e84afff0  adrp	x8, #0xfffffff007210000
0xfffffff0088b10e4: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088b10e8: 09118152  mov	w9, #0x888
0xfffffff0088b10ec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088b10f0: 084cfff0  adrp	x8, #0xfffffff007234000
0xfffffff0088b10f4: 086d1591  add	x8, x8, #0x55b
0xfffffff0088b10f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b10fc: c80f8052  mov	w8, #0x7e
0xfffffff0088b1100: 834dfff0  adrp	x3, #0xfffffff007264000
0xfffffff0088b1104: 63ec1b91  add	x3, x3, #0x6fb
0xfffffff0088b1108: f42300a9  stp	x20, x8, [sp]
0xfffffff0088b110c: c049ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b1110: 00003a91  add	x0, x0, #0xe80
