; Candidate 10702
; ADRP+ADD at VM 0xfffffff008de39f0 (fileoff 0x1ddf9f0): page=0x1fe5e1000 add_imm=0xd21

0xfffffff008de3970: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff008de3974: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff008de3978: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008de397c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008de3980: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008de3984: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008de3988: fd430191  add	x29, sp, #0x50
0xfffffff008de398c: 092c8252  mov	w9, #0x1160
0xfffffff008de3990: 7068ffb0  adrp	x16, #0xfffffff007af0000
0xfffffff008de3994: 108646f9  ldr	x16, [x16, #0xd08]
0xfffffff008de3998: 1f0a3fd6  blraaz	x16
0xfffffff008de399c: ff0740d1  sub	sp, sp, #1, lsl #12
0xfffffff008de39a0: ff8305d1  sub	sp, sp, #0x160
0xfffffff008de39a4: f30304aa  mov	x19, x4
0xfffffff008de39a8: f40303aa  mov	x20, x3
0xfffffff008de39ac: f70302aa  mov	x23, x2
0xfffffff008de39b0: f60301aa  mov	x22, x1
0xfffffff008de39b4: f50300aa  mov	x21, x0
0xfffffff008de39b8: 6868ffb0  adrp	x8, #0xfffffff007af0000
0xfffffff008de39bc: 086946f9  ldr	x8, [x8, #0xcd0]
0xfffffff008de39c0: 080140f9  ldr	x8, [x8]
0xfffffff008de39c4: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008de39c8: faa80090  adrp	x26, #0xfffffff00a2ff000
0xfffffff008de39cc: 5a432c91  add	x26, x26, #0xb10
0xfffffff008de39d0: 48034039  ldrb	w8, [x26]
0xfffffff008de39d4: f82efff0  adrp	x24, #0xfffffff0073c2000
0xfffffff008de39d8: 183f0b91  add	x24, x24, #0x2cf
0xfffffff008de39dc: f92effd0  adrp	x25, #0xfffffff0073c1000
0xfffffff008de39e0: 399f0c91  add	x25, x25, #0x327
0xfffffff008de39e4: 1f290071  cmp	w8, #0xa
0xfffffff008de39e8: a8000054  b.hi	#0xfffffff008de39fc
0xfffffff008de39ec: f96300a9  stp	x25, x24, [sp]
0xfffffff008de39f0: 002fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de39f4: 00843491  add	x0, x0, #0xd21
0xfffffff008de39f8: 8acdd597  bl	#0xfffffff008357020
0xfffffff008de39fc: 950900b4  cbz	x21, #0xfffffff008de3b2c
0xfffffff008de3a00: 940a00b4  cbz	x20, #0xfffffff008de3b50
0xfffffff008de3a04: 730a00b4  cbz	x19, #0xfffffff008de3b50
0xfffffff008de3a08: a9c301d1  sub	x9, x29, #0x70
0xfffffff008de3a0c: a8c301d1  sub	x8, x29, #0x70
0xfffffff008de3a10: 08017eb2  orr	x8, x8, #4
0xfffffff008de3a14: 3fc100f8  stur	xzr, [x9, #0xc]
0xfffffff008de3a18: 3f4100f8  stur	xzr, [x9, #4]
0xfffffff008de3a1c: 29008052  mov	w9, #1
0xfffffff008de3a20: 8902a072  movk	w9, #0x14, lsl #16
0xfffffff008de3a24: a90319b8  stur	w9, [x29, #-0x70]
0xfffffff008de3a28: 970000b4  cbz	x23, #0xfffffff008de3a38
0xfffffff008de3a2c: e002c03d  ldr	q0, [x23]
0xfffffff008de3a30: 0001803d  str	q0, [x8]
0xfffffff008de3a34: 02000014  b	#0xfffffff008de3a3c
0xfffffff008de3a38: 1f7d00a9  stp	xzr, xzr, [x8]
0xfffffff008de3a3c: d7208252  mov	w23, #0x1106
0xfffffff008de3a40: e0e30091  add	x0, sp, #0x38
0xfffffff008de3a44: c1208252  mov	w1, #0x1106
0xfffffff008de3a48: 3ea4bd97  bl	#0xfffffff007d4cb40
0xfffffff008de3a4c: f71b00f9  str	x23, [sp, #0x30]
0xfffffff008de3a50: a3c301d1  sub	x3, x29, #0x70
0xfffffff008de3a54: e5e30091  add	x5, sp, #0x38
0xfffffff008de3a58: e6c30091  add	x6, sp, #0x30
0xfffffff008de3a5c: e00316aa  mov	x0, x22
0xfffffff008de3a60: 21068052  mov	w1, #0x31
0xfffffff008de3a64: 02008052  mov	w2, #0
0xfffffff008de3a68: 84028052  mov	w4, #0x14
0xfffffff008de3a6c: 519081d2  mov	x17, #0xc82
