; Candidate 4138
; ADRP+ADD at VM 0xfffffff008793f64 (fileoff 0x178ff64): page=0x1fe99e000 add_imm=0xd90

0xfffffff008793ee4: 20050054  b.eq	#0xfffffff008793f88
0xfffffff008793ee8: 1f110071  cmp	w8, #4
0xfffffff008793eec: c1ecff54  b.ne	#0xfffffff008793c84
0xfffffff008793ef0: 686a69b9  ldr	w8, [x19, #0x2968]
0xfffffff008793ef4: 1f110071  cmp	w8, #4
0xfffffff008793ef8: 61ecff54  b.ne	#0xfffffff008793c84
0xfffffff008793efc: 883240b9  ldr	w8, [x20, #0x30]
0xfffffff008793f00: 28ecff34  cbz	w8, #0xfffffff008793c84
0xfffffff008793f04: 08f98552  mov	w8, #0x2fc8
0xfffffff008793f08: 6202088b  add	x2, x19, x8
0xfffffff008793f0c: 88008052  mov	w8, #4
0xfffffff008793f10: 68ca2fb9  str	w8, [x19, #0x2fc8]
0xfffffff008793f14: 2004000f  movi	v0.2s, #1
0xfffffff008793f18: 000300fd  str	d0, [x24]
0xfffffff008793f1c: 8042c33c  ldur	q0, [x20, #0x34]
0xfffffff008793f20: 4040803c  stur	q0, [x2, #4]
0xfffffff008793f24: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008793f28: 100040f9  ldr	x16, [x0]
0xfffffff008793f2c: f10300aa  mov	x17, x0
0xfffffff008793f30: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008793f34: 301ac1da  autda	x16, x17
0xfffffff008793f38: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008793f3c: e90310aa  mov	x9, x16
0xfffffff008793f40: 81048052  mov	w1, #0x24
0xfffffff008793f44: 33000014  b	#0xfffffff008794010
0xfffffff008793f48: 56588052  mov	w22, #0x2c2
0xfffffff008793f4c: 1600bc72  movk	w22, #0xe000, lsl #16
0xfffffff008793f50: 69008052  mov	w9, #3
0xfffffff008793f54: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008793f58: 494eff90  adrp	x9, #0xfffffff00715b000
0xfffffff008793f5c: 29010691  add	x9, x9, #0x180
0xfffffff008793f60: e90300f9  str	x9, [sp]
0xfffffff008793f64: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008793f68: 00403691  add	x0, x0, #0xd90
0xfffffff008793f6c: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008793f70: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008793f74: a34dff90  adrp	x3, #0xfffffff007147000
0xfffffff008793f78: 63480591  add	x3, x3, #0x152
0xfffffff008793f7c: 02008052  mov	w2, #0
0xfffffff008793f80: 6c7cee97  bl	#0xfffffff008333130
0xfffffff008793f84: 74fdff17  b	#0xfffffff008793554
0xfffffff008793f88: 08f98552  mov	w8, #0x2fc8
0xfffffff008793f8c: 6202088b  add	x2, x19, x8
0xfffffff008793f90: 48008052  mov	w8, #2
0xfffffff008793f94: 68ca2fb9  str	w8, [x19, #0x2fc8]
0xfffffff008793f98: a84eff90  adrp	x8, #0xfffffff007167000
0xfffffff008793f9c: 003547fd  ldr	d0, [x8, #0xe68]
0xfffffff008793fa0: 000300fd  str	d0, [x24]
0xfffffff008793fa4: 884243f8  ldur	x8, [x20, #0x34]
0xfffffff008793fa8: 484000f8  stur	x8, [x2, #4]
0xfffffff008793fac: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008793fb0: 100040f9  ldr	x16, [x0]
0xfffffff008793fb4: f10300aa  mov	x17, x0
0xfffffff008793fb8: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008793fbc: 301ac1da  autda	x16, x17
0xfffffff008793fc0: 080e46f8  ldr	x8, [x16, #0x60]!
0xfffffff008793fc4: e90310aa  mov	x9, x16
0xfffffff008793fc8: 81048052  mov	w1, #0x24
0xfffffff008793fcc: f10309aa  mov	x17, x9
0xfffffff008793fd0: 1174f2f2  movk	x17, #0x93a0, lsl #48
0xfffffff008793fd4: 11093fd7  blraa	x8, x17
0xfffffff008793fd8: 88fc8552  mov	w8, #0x2fe4
0xfffffff008793fdc: 6202088b  add	x2, x19, x8
0xfffffff008793fe0: 68e66fb9  ldr	w8, [x19, #0x2fe4]
