; Candidate 12553
; ADRP+ADD at VM 0xfffffff0090ba360 (fileoff 0x20b6360): page=0x1fe39f000 add_imm=0xe5e

0xfffffff0090ba2e0: f50300aa  mov	x21, x0
0xfffffff0090ba2e4: ff1b00f9  str	xzr, [sp, #0x30]
0xfffffff0090ba2e8: 7c1dffb0  adrp	x28, #0xfffffff007467000
0xfffffff0090ba2ec: 9cb73991  add	x28, x28, #0xe6d
0xfffffff0090ba2f0: e60200b4  cbz	x6, #0xfffffff0090ba34c
0xfffffff0090ba2f4: 680240f9  ldr	x8, [x19]
0xfffffff0090ba2f8: 1f0100f1  cmp	x8, #0
0xfffffff0090ba2fc: e8079f1a  cset	w8, ne
0xfffffff0090ba300: df0200f1  cmp	x22, #0
0xfffffff0090ba304: e9079f1a  cset	w9, ne
0xfffffff0090ba308: 2801084a  eor	w8, w9, w8
0xfffffff0090ba30c: 28020036  tbz	w8, #0, #0xfffffff0090ba350
0xfffffff0090ba310: 680c8052  mov	w8, #0x63
0xfffffff0090ba314: 691dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090ba318: 29193c91  add	x9, x9, #0xf06
0xfffffff0090ba31c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0090ba320: e81cfff0  adrp	x8, #0xfffffff007459000
0xfffffff0090ba324: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090ba328: 6a1dffb0  adrp	x10, #0xfffffff007467000
0xfffffff0090ba32c: 4a013a91  add	x10, x10, #0xe80
0xfffffff0090ba330: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff0090ba334: ea0300f9  str	x10, [sp]
0xfffffff0090ba338: e01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090ba33c: 00d42c91  add	x0, x0, #0xb35
0xfffffff0090ba340: 3873ca97  bl	#0xfffffff008357020
0xfffffff0090ba344: 59008012  mov	w25, #-3
0xfffffff0090ba348: b0000014  b	#0xfffffff0090ba608
0xfffffff0090ba34c: 36feffb5  cbnz	x22, #0xfffffff0090ba310
0xfffffff0090ba350: b51700b4  cbz	x21, #0xfffffff0090ba644
0xfffffff0090ba354: dc9200b0  adrp	x28, #0xfffffff00a313000
0xfffffff0090ba358: 884747f9  ldr	x8, [x28, #0xe88]
0xfffffff0090ba35c: c80400b5  cbnz	x8, #0xfffffff0090ba3f4
0xfffffff0090ba360: e01cfff0  adrp	x0, #0xfffffff007459000
0xfffffff0090ba364: 00783991  add	x0, x0, #0xe5e
0xfffffff0090ba368: 010080d2  mov	x1, #0
0xfffffff0090ba36c: 493fcb97  bl	#0xfffffff00838a090
0xfffffff0090ba370: c01d00b4  cbz	x0, #0xfffffff0090ba728
0xfffffff0090ba374: fa0300aa  mov	x26, x0
0xfffffff0090ba378: 01008092  mov	x1, #-1
0xfffffff0090ba37c: 843ecb97  bl	#0xfffffff008389d8c
0xfffffff0090ba380: fb0300aa  mov	x27, x0
0xfffffff0090ba384: 001f00b4  cbz	x0, #0xfffffff0090ba764
0xfffffff0090ba388: 19008052  mov	w25, #0
0xfffffff0090ba38c: 9b4707f9  str	x27, [x28, #0xe88]
0xfffffff0090ba390: 500340f9  ldr	x16, [x26]
0xfffffff0090ba394: f1031aaa  mov	x17, x26
0xfffffff0090ba398: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090ba39c: 301ac1da  autda	x16, x17
0xfffffff0090ba3a0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090ba3a4: e90310aa  mov	x9, x16
0xfffffff0090ba3a8: e0031aaa  mov	x0, x26
0xfffffff0090ba3ac: f10309aa  mov	x17, x9
0xfffffff0090ba3b0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090ba3b4: 11093fd7  blraa	x8, x17
0xfffffff0090ba3b8: 9b0100b5  cbnz	x27, #0xfffffff0090ba3e8
0xfffffff0090ba3bc: e80319aa  mov	x8, x25
0xfffffff0090ba3c0: 087d4093  sxtw	x8, w8
0xfffffff0090ba3c4: 691dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090ba3c8: 2a5d3e91  add	x10, x9, #0xf97
0xfffffff0090ba3cc: 691dffb0  adrp	x9, #0xfffffff007467000
0xfffffff0090ba3d0: 29b53991  add	x9, x9, #0xe6d
0xfffffff0090ba3d4: e92b00a9  stp	x9, x10, [sp]
0xfffffff0090ba3d8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090ba3dc: e01cfff0  adrp	x0, #0xfffffff007459000
