; Candidate 11542
; ADRP+ADD at VM 0xfffffff008f86498 (fileoff 0x1f82498): page=0x1fe49c000 add_imm=0xe66

0xfffffff008f86418: 42008052  mov	w2, #2
0xfffffff008f8641c: f0181f94  bl	#0xfffffff00974c7dc
0xfffffff008f86420: c06a3538  strb	w0, [x22, x21]
0xfffffff008f86424: 7f5200f9  str	xzr, [x19, #0xa0]
0xfffffff008f86428: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff008f8642c: 01008052  mov	w1, #0
0xfffffff008f86430: e20316aa  mov	x2, x22
0xfffffff008f86434: 0f000014  b	#0xfffffff008f86470
0xfffffff008f86438: e024ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f8643c: 00c81f91  add	x0, x0, #0x7f2
0xfffffff008f86440: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f86444: e824ff90  adrp	x8, #0xfffffff007422000
0xfffffff008f86448: 08d13791  add	x8, x8, #0xdf4
0xfffffff008f8644c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008f86450: f50300f9  str	x21, [sp]
0xfffffff008f86454: e024ffd0  adrp	x0, #0xfffffff007424000
0xfffffff008f86458: 00601991  add	x0, x0, #0x658
0xfffffff008f8645c: f142cf97  bl	#0xfffffff008357020
0xfffffff008f86460: ff830091  add	sp, sp, #0x20
0xfffffff008f86464: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff008f86468: e10314aa  mov	x1, x20
0xfffffff008f8646c: 020080d2  mov	x2, #0
0xfffffff008f86470: f5181f94  bl	#0xfffffff00974c844
0xfffffff008f86474: ff020091  mov	sp, x23
0xfffffff008f86478: f9fbff17  b	#0xfffffff008f8545c
0xfffffff008f8647c: e024ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f86480: 00c81f91  add	x0, x0, #0x7f2
0xfffffff008f86484: ff8300d1  sub	sp, sp, #0x20
0xfffffff008f86488: e824ff90  adrp	x8, #0xfffffff007422000
0xfffffff008f8648c: 08d13791  add	x8, x8, #0xdf4
0xfffffff008f86490: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008f86494: f40300f9  str	x20, [sp]
0xfffffff008f86498: e024ff90  adrp	x0, #0xfffffff007422000
0xfffffff008f8649c: 00983991  add	x0, x0, #0xe66
0xfffffff008f864a0: e042cf97  bl	#0xfffffff008357020
0xfffffff008f864a4: ff830091  add	sp, sp, #0x20
0xfffffff008f864a8: 604a40f9  ldr	x0, [x19, #0x90]
0xfffffff008f864ac: c1588052  mov	w1, #0x2c6
0xfffffff008f864b0: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff008f864b4: 020080d2  mov	x2, #0
0xfffffff008f864b8: e3181f94  bl	#0xfffffff00974c844
0xfffffff008f864bc: e8fbff17  b	#0xfffffff008f8545c
0xfffffff008f864c0: 635eb797  bl	#0xfffffff007d5de4c
0xfffffff008f864c4: 7f2303d5  pacibsp	
0xfffffff008f864c8: ff0301d1  sub	sp, sp, #0x40
0xfffffff008f864cc: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008f864d0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008f864d4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008f864d8: fdc30091  add	x29, sp, #0x30
0xfffffff008f864dc: f30301aa  mov	x19, x1
0xfffffff008f864e0: f40300aa  mov	x20, x0
0xfffffff008f864e4: ff3f0039  strb	wzr, [sp, #0xf]
0xfffffff008f864e8: 100040f9  ldr	x16, [x0]
0xfffffff008f864ec: f10300aa  mov	x17, x0
0xfffffff008f864f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f864f4: 301ac1da  autda	x16, x17
0xfffffff008f864f8: 11ae80d2  mov	x17, #0x570
0xfffffff008f864fc: 1002118b  add	x16, x16, x17
0xfffffff008f86500: 080240f9  ldr	x8, [x16]
0xfffffff008f86504: e90310aa  mov	x9, x16
0xfffffff008f86508: e23f0091  add	x2, sp, #0xf
0xfffffff008f8650c: 01008052  mov	w1, #0
0xfffffff008f86510: 23008052  mov	w3, #1
0xfffffff008f86514: f10309aa  mov	x17, x9
