; Candidate 2323
; ADRP+ADD at VM 0xfffffff0086169b8 (fileoff 0x16129b8): page=0x1ff3bb000 add_imm=0xe98

0xfffffff008616938: 10e23891  add	x16, x16, #0xe38
0xfffffff00861693c: 10420091  add	x16, x16, #0x10
0xfffffff008616940: f10300aa  mov	x17, x0
0xfffffff008616944: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008616948: 300ac1da  pacda	x16, x17
0xfffffff00861694c: 100000f9  str	x16, [x0]
0xfffffff008616950: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008616954: ff0f5fd6  retab	
0xfffffff008616958: 5f2403d5  bti	c
0xfffffff00861695c: b9d3fe17  b	#0xfffffff0085cb840
0xfffffff008616960: 5f2403d5  bti	c
0xfffffff008616964: b7d3fe17  b	#0xfffffff0085cb840
0xfffffff008616968: 7f2303d5  pacibsp	
0xfffffff00861696c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008616970: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008616974: fd430091  add	x29, sp, #0x10
0xfffffff008616978: f30300aa  mov	x19, x0
0xfffffff00861697c: b1d3fe97  bl	#0xfffffff0085cb840
0xfffffff008616980: c09dfff0  adrp	x0, #0xfffffff0079d1000
0xfffffff008616984: 00603a91  add	x0, x0, #0xe98
0xfffffff008616988: e10313aa  mov	x1, x19
0xfffffff00861698c: 020a8052  mov	w2, #0x50
0xfffffff008616990: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008616994: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008616998: ff2303d5  autibsp	
0xfffffff00861699c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086169a0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086169a8
0xfffffff0086169a4: 208e38d4  brk	#0xc471
0xfffffff0086169a8: 3d43f317  b	#0xfffffff0082e769c
0xfffffff0086169ac: 5f2403d5  bti	c
0xfffffff0086169b0: e20301aa  mov	x2, x1
0xfffffff0086169b4: e10300aa  mov	x1, x0
0xfffffff0086169b8: c09dfff0  adrp	x0, #0xfffffff0079d1000
0xfffffff0086169bc: 00603a91  add	x0, x0, #0xe98
0xfffffff0086169c0: 3743f317  b	#0xfffffff0082e769c
0xfffffff0086169c4: 5f2403d5  bti	c
0xfffffff0086169c8: 00e600b0  adrp	x0, #0xfffffff00a2d7000
0xfffffff0086169cc: 00e03e91  add	x0, x0, #0xfb8
0xfffffff0086169d0: c0035fd6  ret	
0xfffffff0086169d4: 7f2303d5  pacibsp	
0xfffffff0086169d8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086169dc: fd030091  mov	x29, sp
0xfffffff0086169e0: 4157ffd0  adrp	x1, #0xfffffff007100000
0xfffffff0086169e4: 219c3691  add	x1, x1, #0xda7
0xfffffff0086169e8: 02e600b0  adrp	x2, #0xfffffff00a2d7000
0xfffffff0086169ec: 42602d91  add	x2, x2, #0xb58
0xfffffff0086169f0: 030a8052  mov	w3, #0x50
0xfffffff0086169f4: 5134f397  bl	#0xfffffff0082e3b38
0xfffffff0086169f8: d09dffd0  adrp	x16, #0xfffffff0079d0000
0xfffffff0086169fc: 10623d91  add	x16, x16, #0xf58
0xfffffff008616a00: 10420091  add	x16, x16, #0x10
0xfffffff008616a04: f10300aa  mov	x17, x0
0xfffffff008616a08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008616a0c: 300ac1da  pacda	x16, x17
0xfffffff008616a10: 100000f9  str	x16, [x0]
0xfffffff008616a14: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008616a18: ff0f5fd6  retab	
0xfffffff008616a1c: 7f2303d5  pacibsp	
0xfffffff008616a20: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008616a24: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008616a28: fd430091  add	x29, sp, #0x10
0xfffffff008616a2c: c09dfff0  adrp	x0, #0xfffffff0079d1000
0xfffffff008616a30: 00603a91  add	x0, x0, #0xe98
0xfffffff008616a34: 010a8052  mov	w1, #0x50
