; Candidate 12654
; ADRP+ADD at VM 0xfffffff0091078d8 (fileoff 0x21038d8): page=0x1fe365000 add_imm=0xd3c

0xfffffff009107858: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff00910785c: 11093fd7  blraa	x8, x17
0xfffffff009107860: c80240f9  ldr	x8, [x22]
0xfffffff009107864: 1f0100f1  cmp	x8, #0
0xfffffff009107868: e8029a9a  csel	x8, x23, x26, eq
0xfffffff00910786c: e02305a9  stp	x0, x8, [sp, #0x50]
0xfffffff009107870: f56f04a9  stp	x21, x27, [sp, #0x40]
0xfffffff009107874: 083d8052  mov	w8, #0x1e8
0xfffffff009107878: e86703a9  stp	x8, x25, [sp, #0x30]
0xfffffff00910787c: f75f02a9  stp	x23, x23, [sp, #0x20]
0xfffffff009107880: 281bffb0  adrp	x8, #0xfffffff00746c000
0xfffffff009107884: 08dd2b91  add	x8, x8, #0xaf7
0xfffffff009107888: f75f01a9  stp	x23, x23, [sp, #0x10]
0xfffffff00910788c: 201bffb0  adrp	x0, #0xfffffff00746c000
0xfffffff009107890: 00ec2e91  add	x0, x0, #0xbbb
0xfffffff009107894: e86300a9  stp	x8, x24, [sp]
0xfffffff009107898: e23dc997  bl	#0xfffffff008357020
0xfffffff00910789c: 281bffb0  adrp	x8, #0xfffffff00746c000
0xfffffff0091078a0: 088d2e91  add	x8, x8, #0xba3
0xfffffff0091078a4: 293d8052  mov	w9, #0x1e9
0xfffffff0091078a8: e82700a9  stp	x8, x9, [sp]
0xfffffff0091078ac: 201bffb0  adrp	x0, #0xfffffff00746c000
0xfffffff0091078b0: 00ac2f91  add	x0, x0, #0xbeb
0xfffffff0091078b4: 1633ce97  bl	#0xfffffff00849450c
0xfffffff0091078b8: 7f2303d5  pacibsp	
0xfffffff0091078bc: ff8300d1  sub	sp, sp, #0x20
0xfffffff0091078c0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0091078c4: fd430091  add	x29, sp, #0x10
0xfffffff0091078c8: 281bffb0  adrp	x8, #0xfffffff00746c000
0xfffffff0091078cc: 08793591  add	x8, x8, #0xd5e
0xfffffff0091078d0: c9058052  mov	w9, #0x2e
0xfffffff0091078d4: e82700a9  stp	x8, x9, [sp]
0xfffffff0091078d8: 201bffb0  adrp	x0, #0xfffffff00746c000
0xfffffff0091078dc: 00f03491  add	x0, x0, #0xd3c
0xfffffff0091078e0: 0b33ce97  bl	#0xfffffff00849450c
0xfffffff0091078e4: 7f2303d5  pacibsp	
0xfffffff0091078e8: ff8300d1  sub	sp, sp, #0x20
0xfffffff0091078ec: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0091078f0: fd430091  add	x29, sp, #0x10
0xfffffff0091078f4: 281bffd0  adrp	x8, #0xfffffff00746d000
0xfffffff0091078f8: 084d0891  add	x8, x8, #0x213
0xfffffff0091078fc: 69678052  mov	w9, #0x33b
0xfffffff009107900: e82700a9  stp	x8, x9, [sp]
0xfffffff009107904: 201bffd0  adrp	x0, #0xfffffff00746d000
0xfffffff009107908: 00940891  add	x0, x0, #0x225
0xfffffff00910790c: 0033ce97  bl	#0xfffffff00849450c
0xfffffff009107910: 7f2303d5  pacibsp	
0xfffffff009107914: ff8300d1  sub	sp, sp, #0x20
0xfffffff009107918: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00910791c: fd430091  add	x29, sp, #0x10
0xfffffff009107920: 281bffd0  adrp	x8, #0xfffffff00746d000
0xfffffff009107924: 084d0891  add	x8, x8, #0x213
0xfffffff009107928: e9648052  mov	w9, #0x327
0xfffffff00910792c: e82700a9  stp	x8, x9, [sp]
0xfffffff009107930: 201bffd0  adrp	x0, #0xfffffff00746d000
0xfffffff009107934: 00ac0791  add	x0, x0, #0x1eb
0xfffffff009107938: f532ce97  bl	#0xfffffff00849450c
0xfffffff00910793c: 7f2303d5  pacibsp	
0xfffffff009107940: ff8300d1  sub	sp, sp, #0x20
0xfffffff009107944: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009107948: fd430091  add	x29, sp, #0x10
0xfffffff00910794c: 281bffd0  adrp	x8, #0xfffffff00746d000
0xfffffff009107950: 084d0891  add	x8, x8, #0x213
0xfffffff009107954: 29668052  mov	w9, #0x331
