; Candidate 4015
; ADRP+ADD at VM 0xfffffff008783ee4 (fileoff 0x177fee4): page=0x1fe9ae000 add_imm=0xd90

0xfffffff008783e64: ea000034  cbz	w10, #0xfffffff008783e80
0xfffffff008783e68: 0a518b52  mov	w10, #0x5a88
0xfffffff008783e6c: 0a0f0a9b  madd	x10, x24, x10, x3
0xfffffff008783e70: 0b2d8b52  mov	w11, #0x5968
0xfffffff008783e74: 4a696bb8  ldr	w10, [x10, x11]
0xfffffff008783e78: 5f050071  cmp	w10, #1
0xfffffff008783e7c: 08060054  b.hi	#0xfffffff008783f3c
0xfffffff008783e80: bb000836  tbz	w27, #1, #0xfffffff008783e94
0xfffffff008783e84: 0ad08452  mov	w10, #0x2680
0xfffffff008783e88: aa5a0a9b  madd	x10, x21, x10, x22
0xfffffff008783e8c: 4ad54039  ldrb	w10, [x10, #0x35]
0xfffffff008783e90: ca030034  cbz	w10, #0xfffffff008783f08
0xfffffff008783e94: bb002836  tbz	w27, #5, #0xfffffff008783ea8
0xfffffff008783e98: 0ad08452  mov	w10, #0x2680
0xfffffff008783e9c: aa5a0a9b  madd	x10, x21, x10, x22
0xfffffff008783ea0: 4ad54039  ldrb	w10, [x10, #0x35]
0xfffffff008783ea4: ca030034  cbz	w10, #0xfffffff008783f1c
0xfffffff008783ea8: 0b008052  mov	w11, #0
0xfffffff008783eac: 27000014  b	#0xfffffff008783f48
0xfffffff008783eb0: 1f0b0071  cmp	w24, #2
0xfffffff008783eb4: 61000054  b.ne	#0xfffffff008783ec0
0xfffffff008783eb8: 3f210071  cmp	w9, #8
0xfffffff008783ebc: c0000054  b.eq	#0xfffffff008783ed4
0xfffffff008783ec0: 1f0f0071  cmp	w24, #3
0xfffffff008783ec4: a1f1ff54  b.ne	#0xfffffff008783cf8
0xfffffff008783ec8: 2a250051  sub	w10, w9, #9
0xfffffff008783ecc: 5f050071  cmp	w10, #1
0xfffffff008783ed0: 48f1ff54  b.hi	#0xfffffff008783cf8
0xfffffff008783ed4: e9e300a9  stp	x9, x24, [sp, #8]
0xfffffff008783ed8: 684eff90  adrp	x8, #0xfffffff00714f000
0xfffffff008783edc: 08bd1991  add	x8, x8, #0x66f
0xfffffff008783ee0: e80300f9  str	x8, [sp]
0xfffffff008783ee4: 604dffd0  adrp	x0, #0xfffffff007131000
0xfffffff008783ee8: 00403691  add	x0, x0, #0xd90
0xfffffff008783eec: c193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008783ef0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008783ef4: 034effd0  adrp	x3, #0xfffffff007145000
0xfffffff008783ef8: 631c1991  add	x3, x3, #0x647
0xfffffff008783efc: 02008052  mov	w2, #0
0xfffffff008783f00: 8cbcee97  bl	#0xfffffff008333130
0xfffffff008783f04: e0010014  b	#0xfffffff008784684
0xfffffff008783f08: 0ad08452  mov	w10, #0x2680
0xfffffff008783f0c: aa5a0a9b  madd	x10, x21, x10, x22
0xfffffff008783f10: 4ad14039  ldrb	w10, [x10, #0x34]
0xfffffff008783f14: 4a010035  cbnz	w10, #0xfffffff008783f3c
0xfffffff008783f18: dfffff17  b	#0xfffffff008783e94
0xfffffff008783f1c: 0b008052  mov	w11, #0
0xfffffff008783f20: 0ad08452  mov	w10, #0x2680
0xfffffff008783f24: aa5a0a9b  madd	x10, x21, x10, x22
0xfffffff008783f28: 4ad14039  ldrb	w10, [x10, #0x34]
0xfffffff008783f2c: ea000035  cbnz	w10, #0xfffffff008783f48
0xfffffff008783f30: ea2b40b9  ldr	w10, [sp, #0x28]
0xfffffff008783f34: 5f090071  cmp	w10, #2
0xfffffff008783f38: 83000054  b.lo	#0xfffffff008783f48
0xfffffff008783f3c: ff020071  cmp	w23, #0
0xfffffff008783f40: ea179f1a  cset	w10, eq
0xfffffff008783f44: 4b110553  lsl	w11, w10, #0x1b
0xfffffff008783f48: ec2b4929  ldp	w12, w10, [sp, #0x48]
0xfffffff008783f4c: 8a010a0b  add	w10, w12, w10
0xfffffff008783f50: 4b7f0a29  stp	w11, wzr, [x26, #0x50]
0xfffffff008783f54: 0b518b52  mov	w11, #0x5a88
0xfffffff008783f58: 1b0f0b9b  madd	x27, x24, x11, x3
0xfffffff008783f5c: 6b1b4eb9  ldr	w11, [x27, #0xe18]
0xfffffff008783f60: 6b050051  sub	w11, w11, #1
