; Candidate 8531
; ADRP+ADD at VM 0xfffffff0088afef8 (fileoff 0x18abef8): page=0x1fe93a000 add_imm=0xe80

0xfffffff0088afe78: 880a0011  add	w8, w20, #2
0xfffffff0088afe7c: 29008052  mov	w9, #1
0xfffffff0088afe80: 08270529  stp	w8, w9, [x24, #0x28]
0xfffffff0088afe84: 68120091  add	x8, x19, #4
0xfffffff0088afe88: 081b00f9  str	x8, [x24, #0x30]
0xfffffff0088afe8c: 88120011  add	w8, w20, #4
0xfffffff0088afe90: 087f0729  stp	w8, wzr, [x24, #0x38]
0xfffffff0088afe94: 360f0034  cbz	w22, #0xfffffff0088b0078
0xfffffff0088afe98: df0e0071  cmp	w22, #3
0xfffffff0088afe9c: 600f0054  b.eq	#0xfffffff0088b0088
0xfffffff0088afea0: 48008052  mov	w8, #2
0xfffffff0088afea4: 085300b9  str	w8, [x24, #0x50]
0xfffffff0088afea8: 690600d1  sub	x9, x19, #1
0xfffffff0088afeac: 092f00f9  str	x9, [x24, #0x58]
0xfffffff0088afeb0: 89060051  sub	w9, w20, #1
0xfffffff0088afeb4: 09230c29  stp	w9, w8, [x24, #0x60]
0xfffffff0088afeb8: 85000014  b	#0xfffffff0088b00cc
0xfffffff0088afebc: bc100094  bl	#0xfffffff0088b41ac
0xfffffff0088afec0: f90300aa  mov	x25, x0
0xfffffff0088afec4: e0008052  mov	w0, #7
0xfffffff0088afec8: 622eff97  bl	#0xfffffff00887b850
0xfffffff0088afecc: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0088afed0: e80316aa  mov	x8, x22
0xfffffff0088afed4: e90315aa  mov	x9, x21
0xfffffff0088afed8: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff0088afedc: e80314aa  mov	x8, x20
0xfffffff0088afee0: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088afee4: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088afee8: 085d0f91  add	x8, x8, #0x3d7
0xfffffff0088afeec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088afef0: c80f8052  mov	w8, #0x7e
0xfffffff0088afef4: f92300a9  stp	x25, x8, [sp]
0xfffffff0088afef8: c049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088afefc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aff00: c18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088aff04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088aff08: a34dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088aff0c: 63041191  add	x3, x3, #0x441
0xfffffff0088aff10: 02008052  mov	w2, #0
0xfffffff0088aff14: 870cea97  bl	#0xfffffff008333130
0xfffffff0088aff18: 74f9ff36  tbz	w20, #0x1f, #0xfffffff0088afe44
0xfffffff0088aff1c: c00f8052  mov	w0, #0x7e
0xfffffff0088aff20: 81008052  mov	w1, #4
0xfffffff0088aff24: 2b2eff97  bl	#0xfffffff00887b7d0
0xfffffff0088aff28: e0080034  cbz	w0, #0xfffffff0088b0044
0xfffffff0088aff2c: c00f8052  mov	w0, #0x7e
0xfffffff0088aff30: 3a2eff97  bl	#0xfffffff00887b818
0xfffffff0088aff34: fa0300aa  mov	x26, x0
0xfffffff0088aff38: 9d100094  bl	#0xfffffff0088b41ac
0xfffffff0088aff3c: f90300aa  mov	x25, x0
0xfffffff0088aff40: 80008052  mov	w0, #4
0xfffffff0088aff44: 432eff97  bl	#0xfffffff00887b850
0xfffffff0088aff48: 9a040034  cbz	w26, #0xfffffff0088affd8
0xfffffff0088aff4c: f76305a9  stp	x23, x24, [sp, #0x50]
0xfffffff0088aff50: e80316aa  mov	x8, x22
0xfffffff0088aff54: e90315aa  mov	x9, x21
0xfffffff0088aff58: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff0088aff5c: e80314aa  mov	x8, x20
0xfffffff0088aff60: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0088aff64: 284cffb0  adrp	x8, #0xfffffff007234000
0xfffffff0088aff68: 08f90791  add	x8, x8, #0x1fe
0xfffffff0088aff6c: e9ed8052  mov	w9, #0x76f
0xfffffff0088aff70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088aff74: 284cffb0  adrp	x8, #0xfffffff007234000
