; Candidate 2557
; ADRP+ADD at VM 0xfffffff0086b6940 (fileoff 0x16b2940): page=0x1fea75000 add_imm=0xd24

0xfffffff0086b68c0: a8024039  ldrb	w8, [x21]
0xfffffff0086b68c4: 48040034  cbz	w8, #0xfffffff0086b694c
0xfffffff0086b68c8: 801e40f9  ldr	x0, [x20, #0x38]
0xfffffff0086b68cc: 000100b5  cbnz	x0, #0xfffffff0086b68ec
0xfffffff0086b68d0: 800240b9  ldr	w0, [x20]
0xfffffff0086b68d4: 2d000094  bl	#0xfffffff0086b6988
0xfffffff0086b68d8: 801e00f9  str	x0, [x20, #0x38]
0xfffffff0086b68dc: 800000b5  cbnz	x0, #0xfffffff0086b68ec
0xfffffff0086b68e0: 800240b9  ldr	w0, [x20]
0xfffffff0086b68e4: 29000094  bl	#0xfffffff0086b6988
0xfffffff0086b68e8: 801e00f9  str	x0, [x20, #0x38]
0xfffffff0086b68ec: e04f00a9  stp	x0, x19, [sp]
0xfffffff0086b68f0: 4053fff0  adrp	x0, #0xfffffff007121000
0xfffffff0086b68f4: 00400591  add	x0, x0, #0x150
0xfffffff0086b68f8: 6199ffb0  adrp	x1, #0xfffffff0079e3000
0xfffffff0086b68fc: 214847f9  ldr	x1, [x1, #0xe90]
0xfffffff0086b6900: 6353ffb0  adrp	x3, #0xfffffff007123000
0xfffffff0086b6904: 63903091  add	x3, x3, #0xc24
0xfffffff0086b6908: 02008052  mov	w2, #0
0xfffffff0086b690c: 09f2f197  bl	#0xfffffff008333130
0xfffffff0086b6910: a8064039  ldrb	w8, [x21, #1]
0xfffffff0086b6914: c8010034  cbz	w8, #0xfffffff0086b694c
0xfffffff0086b6918: 801e40f9  ldr	x0, [x20, #0x38]
0xfffffff0086b691c: 800000b5  cbnz	x0, #0xfffffff0086b692c
0xfffffff0086b6920: 800240b9  ldr	w0, [x20]
0xfffffff0086b6924: 19000094  bl	#0xfffffff0086b6988
0xfffffff0086b6928: 801e00f9  str	x0, [x20, #0x38]
0xfffffff0086b692c: e04f01a9  stp	x0, x19, [sp, #0x10]
0xfffffff0086b6930: a853ffb0  adrp	x8, #0xfffffff00712b000
0xfffffff0086b6934: 08853591  add	x8, x8, #0xd61
0xfffffff0086b6938: 690b8052  mov	w9, #0x5b
0xfffffff0086b693c: e82700a9  stp	x8, x9, [sp]
0xfffffff0086b6940: a053ffb0  adrp	x0, #0xfffffff00712b000
0xfffffff0086b6944: 00903491  add	x0, x0, #0xd24
0xfffffff0086b6948: b681f297  bl	#0xfffffff008357020
0xfffffff0086b694c: 00008052  mov	w0, #0
0xfffffff0086b6950: 03000014  b	#0xfffffff0086b695c
0xfffffff0086b6954: 884a338b  add	x8, x20, w19, uxtw #2
0xfffffff0086b6958: 001140b9  ldr	w0, [x8, #0x10]
0xfffffff0086b695c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086b6960: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086b6964: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0086b6968: ff430191  add	sp, sp, #0x50
0xfffffff0086b696c: ff0f5fd6  retab	
0xfffffff0086b6970: 5f2403d5  bti	c
0xfffffff0086b6974: 003040b9  ldr	w0, [x0, #0x30]
0xfffffff0086b6978: c0035fd6  ret	
0xfffffff0086b697c: 5f2403d5  bti	c
0xfffffff0086b6980: 000040b9  ldr	w0, [x0]
0xfffffff0086b6984: c0035fd6  ret	
0xfffffff0086b6988: 7f2303d5  pacibsp	
0xfffffff0086b698c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0086b6990: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086b6994: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086b6998: fd830091  add	x29, sp, #0x20
0xfffffff0086b699c: 40010034  cbz	w0, #0xfffffff0086b69c4
0xfffffff0086b69a0: e899ffd0  adrp	x8, #0xfffffff0079f4000
0xfffffff0086b69a4: 08612691  add	x8, x8, #0x998
0xfffffff0086b69a8: 130140f9  ldr	x19, [x8]
0xfffffff0086b69ac: 330100b4  cbz	x19, #0xfffffff0086b69d0
0xfffffff0086b69b0: 09815fb8  ldur	w9, [x8, #-8]
0xfffffff0086b69b4: 08410091  add	x8, x8, #0x10
0xfffffff0086b69b8: 3f01006b  cmp	w9, w0
0xfffffff0086b69bc: 61ffff54  b.ne	#0xfffffff0086b69a8
