; Candidate 1594
; ADRP+ADD at VM 0xfffffff0084b2180 (fileoff 0x14ae180): page=0x1feba0000 add_imm=0xe8e

0xfffffff0084b2100: e30313aa  mov	x3, x19
0xfffffff0084b2104: 210b0054  b.ne	#0xfffffff0084b2268
0xfffffff0084b2108: e00303aa  mov	x0, x3
0xfffffff0084b210c: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff0084b2110: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff0084b2114: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff0084b2118: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff0084b211c: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff0084b2120: fc6f47a9  ldp	x28, x27, [sp, #0x70]
0xfffffff0084b2124: ff430391  add	sp, sp, #0xd0
0xfffffff0084b2128: ff0f5fd6  retab	
0xfffffff0084b212c: 40110091  add	x0, x10, #4
0xfffffff0084b2130: cd95ff97  bl	#0xfffffff008497864
0xfffffff0084b2134: e85cffd0  adrp	x8, #0xfffffff007050000
0xfffffff0084b2138: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084b213c: 89318652  mov	w9, #0x318c
0xfffffff0084b2140: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff0084b2144: 085dffb0  adrp	x8, #0xfffffff007053000
0xfffffff0084b2148: 08b10d91  add	x8, x8, #0x36c
0xfffffff0084b214c: f55b01a9  stp	x21, x22, [sp, #0x10]
0xfffffff0084b2150: e84f00a9  stp	x8, x19, [sp]
0xfffffff0084b2154: 005dffb0  adrp	x0, #0xfffffff007053000
0xfffffff0084b2158: 00e80c91  add	x0, x0, #0x33a
0xfffffff0084b215c: ec88ff97  bl	#0xfffffff00849450c
0xfffffff0084b2160: e85cffd0  adrp	x8, #0xfffffff007050000
0xfffffff0084b2164: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084b2168: 29328652  mov	w9, #0x3191
0xfffffff0084b216c: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff0084b2170: 085dffb0  adrp	x8, #0xfffffff007053000
0xfffffff0084b2174: 08b10d91  add	x8, x8, #0x36c
0xfffffff0084b2178: f56b01a9  stp	x21, x26, [sp, #0x10]
0xfffffff0084b217c: e80f00a9  stp	x8, x3, [sp]
0xfffffff0084b2180: 005dff90  adrp	x0, #0xfffffff007052000
0xfffffff0084b2184: 00383a91  add	x0, x0, #0xe8e
0xfffffff0084b2188: e188ff97  bl	#0xfffffff00849450c
0xfffffff0084b218c: 4a338652  mov	w10, #0x319a
0xfffffff0084b2190: e85cffd0  adrp	x8, #0xfffffff007050000
0xfffffff0084b2194: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084b2198: 095dffb0  adrp	x9, #0xfffffff007053000
0xfffffff0084b219c: 29b10d91  add	x9, x9, #0x36c
0xfffffff0084b21a0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0084b21a4: f5db00a9  stp	x21, x22, [sp, #8]
0xfffffff0084b21a8: e90300f9  str	x9, [sp]
0xfffffff0084b21ac: 005dffb0  adrp	x0, #0xfffffff007053000
0xfffffff0084b21b0: 00240e91  add	x0, x0, #0x389
0xfffffff0084b21b4: d688ff97  bl	#0xfffffff00849450c
0xfffffff0084b21b8: c8338652  mov	w8, #0x319e
0xfffffff0084b21bc: e95cffd0  adrp	x9, #0xfffffff007050000
0xfffffff0084b21c0: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084b21c4: 0a5dffb0  adrp	x10, #0xfffffff007053000
0xfffffff0084b21c8: 4ab10d91  add	x10, x10, #0x36c
0xfffffff0084b21cc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084b21d0: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0084b21d4: 005dffb0  adrp	x0, #0xfffffff007053000
0xfffffff0084b21d8: 00040f91  add	x0, x0, #0x3c1
0xfffffff0084b21dc: cc88ff97  bl	#0xfffffff00849450c
0xfffffff0084b21e0: 00110091  add	x0, x8, #4
0xfffffff0084b21e4: a095ff97  bl	#0xfffffff008497864
0xfffffff0084b21e8: 08438652  mov	w8, #0x3218
0xfffffff0084b21ec: e95cffd0  adrp	x9, #0xfffffff007050000
0xfffffff0084b21f0: 29cd3c91  add	x9, x9, #0xf33
0xfffffff0084b21f4: 0a5dffb0  adrp	x10, #0xfffffff007053000
0xfffffff0084b21f8: 4ab10d91  add	x10, x10, #0x36c
0xfffffff0084b21fc: e92301a9  stp	x9, x8, [sp, #0x10]
