; Candidate 169
; ADRP+ADD at VM 0xfffffff007e2ca98 (fileoff 0xe28a98): page=0x23a5000 add_imm=0xd20

0xfffffff007e2ca18: 2a50fe97  bl	#0xfffffff007dc0ac0
0xfffffff007e2ca1c: 000080d2  mov	x0, #0
0xfffffff007e2ca20: 010080d2  mov	x1, #0
0xfffffff007e2ca24: 02008052  mov	w2, #0
0xfffffff007e2ca28: 2053fe97  bl	#0xfffffff007dc16a8
0xfffffff007e2ca2c: 080080d2  mov	x8, #0
0xfffffff007e2ca30: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff007e2ca34: 6a4a41b9  ldr	w10, [x19, #0x148]
0xfffffff007e2ca38: 4a050011  add	w10, w10, #1
0xfffffff007e2ca3c: 6a4a01b9  str	w10, [x19, #0x148]
0xfffffff007e2ca40: 290564b2  orr	x9, x9, #0x30000000
0xfffffff007e2ca44: c97ee8c8  casa	x8, x9, [x22]
0xfffffff007e2ca48: 1f0100f1  cmp	x8, #0
0xfffffff007e2ca4c: 15409952  mov	w21, #0xca00
0xfffffff007e2ca50: 5573a772  movk	w21, #0x3b9a, lsl #16
0xfffffff007e2ca54: c1020054  b.ne	#0xfffffff007e2caac
0xfffffff007e2ca58: 68a240f9  ldr	x8, [x19, #0x140]
0xfffffff007e2ca5c: 0a2940f9  ldr	x10, [x8, #0x50]
0xfffffff007e2ca60: e8030aaa  mov	x8, x10
0xfffffff007e2ca64: df3f03d5  isb	
0xfffffff007e2ca68: 49e03bd5  mrs	x9, cntvct_el0
0xfffffff007e2ca6c: 6aa240f9  ldr	x10, [x19, #0x140]
0xfffffff007e2ca70: 4a2940f9  ldr	x10, [x10, #0x50]
0xfffffff007e2ca74: 5f0108eb  cmp	x10, x8
0xfffffff007e2ca78: 41ffff54  b.ne	#0xfffffff007e2ca60
0xfffffff007e2ca7c: 2901088b  add	x9, x9, x8
0xfffffff007e2ca80: c81b0190  adrp	x8, #0xfffffff00a1a4000
0xfffffff007e2ca84: 08010091  add	x8, x8, #0
0xfffffff007e2ca88: 080140b9  ldr	w8, [x8]
0xfffffff007e2ca8c: 3b09c89a  udiv	x27, x9, x8
0xfffffff007e2ca90: 69a7089b  msub	x9, x27, x8, x9
0xfffffff007e2ca94: 64ffff17  b	#0xfffffff007e2c824
0xfffffff007e2ca98: 201d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2ca9c: 00803491  add	x0, x0, #0xd20
0xfffffff007e2caa0: e10313aa  mov	x1, x19
0xfffffff007e2caa4: 30fffd97  bl	#0xfffffff007dac764
0xfffffff007e2caa8: d0ffff17  b	#0xfffffff007e2c9e8
0xfffffff007e2caac: 201d01b0  adrp	x0, #0xfffffff00a1d1000
0xfffffff007e2cab0: 00803491  add	x0, x0, #0xd20
0xfffffff007e2cab4: e10313aa  mov	x1, x19
0xfffffff007e2cab8: 42008052  mov	w2, #2
0xfffffff007e2cabc: 0ffcfd97  bl	#0xfffffff007dabaf8
0xfffffff007e2cac0: e6ffff17  b	#0xfffffff007e2ca58
0xfffffff007e2cac4: 00008052  mov	w0, #0
0xfffffff007e2cac8: daebff97  bl	#0xfffffff007e27a30
0xfffffff007e2cacc: ff8e06b9  str	wzr, [x23, #0x68c]
0xfffffff007e2cad0: 081d01b0  adrp	x8, #0xfffffff00a1cd000
0xfffffff007e2cad4: 1f5505b9  str	wzr, [x8, #0x554]
0xfffffff007e2cad8: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007e2cadc: e20308aa  mov	x2, x8
0xfffffff007e2cae0: dffea288  casl	w2, wzr, [x22]
0xfffffff007e2cae4: 5f00086b  cmp	w2, w8
0xfffffff007e2cae8: e1020054  b.ne	#0xfffffff007e2cb44
0xfffffff007e2caec: 001d01b0  adrp	x0, #0xfffffff00a1cd000
0xfffffff007e2caf0: 00301a91  add	x0, x0, #0x68c
0xfffffff007e2caf4: 01008052  mov	w1, #0
0xfffffff007e2caf8: 02008052  mov	w2, #0
0xfffffff007e2cafc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff007e2cb00: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff007e2cb04: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff007e2cb08: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff007e2cb0c: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff007e2cb10: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff007e2cb14: ffc30191  add	sp, sp, #0x70
