; Candidate 3039
; ADRP+ADD at VM 0xfffffff00870e16c (fileoff 0x170a16c): page=0x1fea23000 add_imm=0xd90

0xfffffff00870e0ec: e1030191  add	x1, sp, #0x40
0xfffffff00870e0f0: 62018052  mov	w2, #0xb
0xfffffff00870e0f4: 87d20094  bl	#0xfffffff008742b10
0xfffffff00870e0f8: 1f00156b  cmp	w0, w21
0xfffffff00870e0fc: 21090054  b.ne	#0xfffffff00870e220
0xfffffff00870e100: 20008052  mov	w0, #1
0xfffffff00870e104: b923f197  bl	#0xfffffff008356fe8
0xfffffff00870e108: 88060011  add	w8, w20, #1
0xfffffff00870e10c: 9f8e0171  cmp	w20, #0x63
0xfffffff00870e110: f40308aa  mov	x20, x8
0xfffffff00870e114: 83feff54  b.lo	#0xfffffff00870e0e4
0xfffffff00870e118: 4efeff17  b	#0xfffffff00870da50
0xfffffff00870e11c: a0278052  mov	w0, #0x13d
0xfffffff00870e120: 4dfeff17  b	#0xfffffff00870da54
0xfffffff00870e124: e16701a9  stp	x1, x25, [sp, #0x10]
0xfffffff00870e128: 0852fff0  adrp	x8, #0xfffffff007151000
0xfffffff00870e12c: 08dd1491  add	x8, x8, #0x537
0xfffffff00870e130: e80b00a9  stp	x8, x2, [sp]
0xfffffff00870e134: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870e138: 00403691  add	x0, x0, #0xd90
0xfffffff00870e13c: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870e140: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870e144: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870e148: 63a40491  add	x3, x3, #0x129
0xfffffff00870e14c: 02008052  mov	w2, #0
0xfffffff00870e150: f893f097  bl	#0xfffffff008333130
0xfffffff00870e154: 27feff17  b	#0xfffffff00870d9f0
0xfffffff00870e158: c0268052  mov	w0, #0x136
0xfffffff00870e15c: 3efeff17  b	#0xfffffff00870da54
0xfffffff00870e160: 0852fff0  adrp	x8, #0xfffffff007151000
0xfffffff00870e164: 08dd1491  add	x8, x8, #0x537
0xfffffff00870e168: e80300f9  str	x8, [sp]
0xfffffff00870e16c: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870e170: 00403691  add	x0, x0, #0xd90
0xfffffff00870e174: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870e178: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870e17c: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870e180: 63280691  add	x3, x3, #0x18a
0xfffffff00870e184: 02008052  mov	w2, #0
0xfffffff00870e188: ea93f097  bl	#0xfffffff008333130
0xfffffff00870e18c: 31feff17  b	#0xfffffff00870da50
0xfffffff00870e190: 0852fff0  adrp	x8, #0xfffffff007151000
0xfffffff00870e194: 08dd1491  add	x8, x8, #0x537
0xfffffff00870e198: e80300f9  str	x8, [sp]
0xfffffff00870e19c: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870e1a0: 00403691  add	x0, x0, #0xd90
0xfffffff00870e1a4: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870e1a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870e1ac: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870e1b0: 63c40691  add	x3, x3, #0x1b1
0xfffffff00870e1b4: 02008052  mov	w2, #0
0xfffffff00870e1b8: de93f097  bl	#0xfffffff008333130
0xfffffff00870e1bc: 25feff17  b	#0xfffffff00870da50
0xfffffff00870e1c0: 0852fff0  adrp	x8, #0xfffffff007151000
0xfffffff00870e1c4: 08dd1491  add	x8, x8, #0x537
0xfffffff00870e1c8: e80300f9  str	x8, [sp]
0xfffffff00870e1cc: 0051fff0  adrp	x0, #0xfffffff007131000
0xfffffff00870e1d0: 00403691  add	x0, x0, #0xd90
0xfffffff00870e1d4: 6197fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00870e1d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870e1dc: 4351ffb0  adrp	x3, #0xfffffff007137000
0xfffffff00870e1e0: 637c0791  add	x3, x3, #0x1df
0xfffffff00870e1e4: 02008052  mov	w2, #0
0xfffffff00870e1e8: d293f097  bl	#0xfffffff008333130
