; Candidate 13534
; ADRP+ADD at VM 0xfffffff00937f904 (fileoff 0x237b904): page=0x1000000 add_imm=0xe78

0xfffffff00937f884: e00bff90  adrp	x0, #0xfffffff0074fb000
0xfffffff00937f888: 00a42b91  add	x0, x0, #0xae9
0xfffffff00937f88c: e55dbf97  bl	#0xfffffff008357020
0xfffffff00937f890: 687240f9  ldr	x8, [x19, #0xe0]
0xfffffff00937f894: 000d40b9  ldr	w0, [x8, #0xc]
0xfffffff00937f898: f3ffff17  b	#0xfffffff00937f864
0xfffffff00937f89c: 5f2403d5  bti	c
0xfffffff00937f8a0: a0008052  mov	w0, #5
0xfffffff00937f8a4: c0035fd6  ret	
0xfffffff00937f8a8: 5f2403d5  bti	c
0xfffffff00937f8ac: 9293bd17  b	#0xfffffff0082e46f4
0xfffffff00937f8b0: 7f2303d5  pacibsp	
0xfffffff00937f8b4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00937f8b8: fd030091  mov	x29, sp
0xfffffff00937f8bc: 00800090  adrp	x0, #0xfffffff00a37f000
0xfffffff00937f8c0: 00e03991  add	x0, x0, #0xe78
0xfffffff00937f8c4: e10bff90  adrp	x1, #0xfffffff0074fb000
0xfffffff00937f8c8: 21a02891  add	x1, x1, #0xa28
0xfffffff00937f8cc: 0242ffb0  adrp	x2, #0xfffffff007bc0000
0xfffffff00937f8d0: 420044f9  ldr	x2, [x2, #0x800]
0xfffffff00937f8d4: 031e8052  mov	w3, #0xf0
0xfffffff00937f8d8: 9890bd97  bl	#0xfffffff0082e3b38
0xfffffff00937f8dc: 1042ffb0  adrp	x16, #0xfffffff007bc0000
0xfffffff00937f8e0: 10223791  add	x16, x16, #0xdc8
0xfffffff00937f8e4: 10420091  add	x16, x16, #0x10
0xfffffff00937f8e8: f10300aa  mov	x17, x0
0xfffffff00937f8ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00937f8f0: 300ac1da  pacda	x16, x17
0xfffffff00937f8f4: 100000f9  str	x16, [x0]
0xfffffff00937f8f8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00937f8fc: ff0f5fd6  retab	
0xfffffff00937f900: 5f2403d5  bti	c
0xfffffff00937f904: 00800090  adrp	x0, #0xfffffff00a37f000
0xfffffff00937f908: 00e03991  add	x0, x0, #0xe78
0xfffffff00937f90c: 7a93bd17  b	#0xfffffff0082e46f4
0xfffffff00937f910: 7f2303d5  pacibsp	
0xfffffff00937f914: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00937f918: fd030091  mov	x29, sp
0xfffffff00937f91c: e10bff90  adrp	x1, #0xfffffff0074fb000
0xfffffff00937f920: 21543091  add	x1, x1, #0xc15
0xfffffff00937f924: 0242ffb0  adrp	x2, #0xfffffff007bc0000
0xfffffff00937f928: 42f443f9  ldr	x2, [x2, #0x7e8]
0xfffffff00937f92c: 03128052  mov	w3, #0x90
0xfffffff00937f930: 8290bd97  bl	#0xfffffff0082e3b38
0xfffffff00937f934: 1042ffd0  adrp	x16, #0xfffffff007bc1000
0xfffffff00937f938: 10021091  add	x16, x16, #0x400
0xfffffff00937f93c: 10420091  add	x16, x16, #0x10
0xfffffff00937f940: f10300aa  mov	x17, x0
0xfffffff00937f944: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00937f948: 300ac1da  pacda	x16, x17
0xfffffff00937f94c: 100000f9  str	x16, [x0]
0xfffffff00937f950: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00937f954: ff0f5fd6  retab	
0xfffffff00937f958: 5f2403d5  bti	c
0xfffffff00937f95c: 6693bd17  b	#0xfffffff0082e46f4
0xfffffff00937f960: 7f2303d5  pacibsp	
0xfffffff00937f964: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00937f968: fd030091  mov	x29, sp
0xfffffff00937f96c: f102ff97  bl	#0xfffffff009340530
0xfffffff00937f970: 1042ffb0  adrp	x16, #0xfffffff007bc0000
0xfffffff00937f974: 10823991  add	x16, x16, #0xe60
0xfffffff00937f978: 10420091  add	x16, x16, #0x10
0xfffffff00937f97c: f10300aa  mov	x17, x0
0xfffffff00937f980: 31b4f9f2  movk	x17, #0xcda1, lsl #48
