; Candidate 16816
; ADRP+ADD at VM 0xfffffff009f7008c (fileoff 0x2f6c08c): page=0x1fddd3000 add_imm=0xe18

0xfffffff009f7000c: e9098052  mov	w9, #0x4f
0xfffffff009f70010: e82700a9  stp	x8, x9, [sp]
0xfffffff009f70014: c0c7fe90  adrp	x0, #0xfffffff007868000
0xfffffff009f70018: 00140191  add	x0, x0, #0x45
0xfffffff009f7001c: 3c919497  bl	#0xfffffff00849450c
0xfffffff009f70020: 7f2303d5  pacibsp	
0xfffffff009f70024: ff0302d1  sub	sp, sp, #0x80
0xfffffff009f70028: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff009f7002c: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff009f70030: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff009f70034: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff009f70038: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff009f7003c: fdc30191  add	x29, sp, #0x70
0xfffffff009f70040: 68eefe90  adrp	x8, #0xfffffff007d3c000
0xfffffff009f70044: 087542f9  ldr	x8, [x8, #0x4e8]
0xfffffff009f70048: 080140f9  ldr	x8, [x8]
0xfffffff009f7004c: e81700f9  str	x8, [sp, #0x28]
0xfffffff009f70050: 04090034  cbz	w4, #0xfffffff009f70170
0xfffffff009f70054: f70307aa  mov	x23, x7
0xfffffff009f70058: f50306aa  mov	x21, x6
0xfffffff009f7005c: f60305aa  mov	x22, x5
0xfffffff009f70060: f90304aa  mov	x25, x4
0xfffffff009f70064: f30302aa  mov	x19, x2
0xfffffff009f70068: f80301aa  mov	x24, x1
0xfffffff009f7006c: f40300aa  mov	x20, x0
0xfffffff009f70070: 68eefe90  adrp	x8, #0xfffffff007d3c000
0xfffffff009f70074: 086d42f9  ldr	x8, [x8, #0x4d8]
0xfffffff009f70078: 098d47f8  ldr	x9, [x8, #0x78]!
0xfffffff009f7007c: f10308aa  mov	x17, x8
0xfffffff009f70080: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff009f70084: 31093fd7  blraa	x9, x17
0xfffffff009f70088: a0080034  cbz	w0, #0xfffffff009f7019c
0xfffffff009f7008c: 80eefef0  adrp	x0, #0xfffffff007d43000
0xfffffff009f70090: 00603891  add	x0, x0, #0xe18
0xfffffff009f70094: 18998f97  bl	#0xfffffff0083564f4
0xfffffff009f70098: 801200f9  str	x0, [x20, #0x20]
0xfffffff009f7009c: 000800b4  cbz	x0, #0xfffffff009f7019c
0xfffffff009f700a0: fa0300aa  mov	x26, x0
0xfffffff009f700a4: 192000b9  str	w25, [x0, #0x20]
0xfffffff009f700a8: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff009f700ac: e81300f9  str	x8, [sp, #0x20]
0xfffffff009f700b0: e8f30132  mov	w8, #-0x55555556
0xfffffff009f700b4: e81f00b9  str	w8, [sp, #0x1c]
0xfffffff009f700b8: e0830091  add	x0, sp, #0x20
0xfffffff009f700bc: e1730091  add	x1, sp, #0x1c
0xfffffff009f700c0: 32737897  bl	#0xfffffff007d8cd88
0xfffffff009f700c4: e81340f9  ldr	x8, [sp, #0x20]
0xfffffff009f700c8: e91f40b9  ldr	w9, [sp, #0x1c]
0xfffffff009f700cc: 482700a9  stp	x8, x9, [x26]
0xfffffff009f700d0: cc797897  bl	#0xfffffff007d8e800
0xfffffff009f700d4: 881240f9  ldr	x8, [x20, #0x20]
0xfffffff009f700d8: 001900f9  str	x0, [x8, #0x30]
0xfffffff009f700dc: 181100b9  str	w24, [x8, #0x10]
0xfffffff009f700e0: 173900b9  str	w23, [x8, #0x38]
0xfffffff009f700e4: 900240f9  ldr	x16, [x20]
0xfffffff009f700e8: f10314aa  mov	x17, x20
0xfffffff009f700ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f700f0: 301ac1da  autda	x16, x17
0xfffffff009f700f4: f10310aa  mov	x17, x16
0xfffffff009f700f8: f147c1da  xpacd	x17
0xfffffff009f700fc: 1f0211eb  cmp	x16, x17
0xfffffff009f70100: 40000054  b.eq	#0xfffffff009f70108
0xfffffff009f70104: 408e38d4  brk	#0xc472
0xfffffff009f70108: 08620491  add	x8, x16, #0x118
