; Candidate 3364
; ADRP+ADD at VM 0xfffffff008737d3c (fileoff 0x1733d3c): page=0x1fe9fa000 add_imm=0xd90

0xfffffff008737cbc: e10315aa  mov	x1, x21
0xfffffff008737cc0: f10309aa  mov	x17, x9
0xfffffff008737cc4: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff008737cc8: 11093fd7  blraa	x8, x17
0xfffffff008737ccc: 804600b8  str	w0, [x20], #4
0xfffffff008737cd0: b5120011  add	w21, w21, #4
0xfffffff008737cd4: 73060071  subs	w19, w19, #1
0xfffffff008737cd8: 41feff54  b.ne	#0xfffffff008737ca0
0xfffffff008737cdc: 0c000014  b	#0xfffffff008737d0c
0xfffffff008737ce0: e850fff0  adrp	x8, #0xfffffff007156000
0xfffffff008737ce4: 08853e91  add	x8, x8, #0xfa1
0xfffffff008737ce8: e80300f9  str	x8, [sp]
0xfffffff008737cec: c04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008737cf0: 00403691  add	x0, x0, #0xd90
0xfffffff008737cf4: 2196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008737cf8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008737cfc: 2350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff008737d00: 63402291  add	x3, x3, #0x890
0xfffffff008737d04: 02008052  mov	w2, #0
0xfffffff008737d08: 0aedef97  bl	#0xfffffff008333130
0xfffffff008737d0c: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008737d10: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008737d14: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008737d18: ff030191  add	sp, sp, #0x40
0xfffffff008737d1c: ff0f5fd6  retab	
0xfffffff008737d20: 7f2303d5  pacibsp	
0xfffffff008737d24: ff8300d1  sub	sp, sp, #0x20
0xfffffff008737d28: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008737d2c: fd430091  add	x29, sp, #0x10
0xfffffff008737d30: e850fff0  adrp	x8, #0xfffffff007156000
0xfffffff008737d34: 08453891  add	x8, x8, #0xe11
0xfffffff008737d38: e80300f9  str	x8, [sp]
0xfffffff008737d3c: c04fffd0  adrp	x0, #0xfffffff007131000
0xfffffff008737d40: 00403691  add	x0, x0, #0xd90
0xfffffff008737d44: 2196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008737d48: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008737d4c: 2350ff90  adrp	x3, #0xfffffff00713b000
0xfffffff008737d50: 63541391  add	x3, x3, #0x4d5
0xfffffff008737d54: 02008052  mov	w2, #0
0xfffffff008737d58: f6ecef97  bl	#0xfffffff008333130
0xfffffff008737d5c: 00008052  mov	w0, #0
0xfffffff008737d60: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008737d64: ff830091  add	sp, sp, #0x20
0xfffffff008737d68: ff0f5fd6  retab	
0xfffffff008737d6c: 7f2303d5  pacibsp	
0xfffffff008737d70: ffc300d1  sub	sp, sp, #0x30
0xfffffff008737d74: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008737d78: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008737d7c: fd830091  add	x29, sp, #0x20
0xfffffff008737d80: f40300aa  mov	x20, x0
0xfffffff008737d84: 130c41b9  ldr	w19, [x0, #0x10c]
0xfffffff008737d88: ff0f00b9  str	wzr, [sp, #0xc]
0xfffffff008737d8c: 100040f9  ldr	x16, [x0]
0xfffffff008737d90: f10300aa  mov	x17, x0
0xfffffff008737d94: f185e5f2  movk	x17, #0x2c2f, lsl #48
0xfffffff008737d98: 301ac1da  autda	x16, x17
0xfffffff008737d9c: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff008737da0: e90310aa  mov	x9, x16
0xfffffff008737da4: e1330091  add	x1, sp, #0xc
0xfffffff008737da8: 02008052  mov	w2, #0
0xfffffff008737dac: f10309aa  mov	x17, x9
0xfffffff008737db0: 1147f5f2  movk	x17, #0xaa38, lsl #48
0xfffffff008737db4: 11093fd7  blraa	x8, x17
0xfffffff008737db8: 40010034  cbz	w0, #0xfffffff008737de0
