; Candidate 12089
; ADRP+ADD at VM 0xfffffff008fd6ffc (fileoff 0x1fd2ffc): page=0x1fe45c000 add_imm=0xcea

0xfffffff008fd6f7c: a01200b4  cbz	x0, #0xfffffff008fd71d0
0xfffffff008fd6f80: f40300aa  mov	x20, x0
0xfffffff008fd6f84: 01008092  mov	x1, #-1
0xfffffff008fd6f88: 81cbce97  bl	#0xfffffff008389d8c
0xfffffff008fd6f8c: 601200b4  cbz	x0, #0xfffffff008fd71d8
0xfffffff008fd6f90: f60300aa  mov	x22, x0
0xfffffff008fd6f94: 700240f9  ldr	x16, [x19]
0xfffffff008fd6f98: f10313aa  mov	x17, x19
0xfffffff008fd6f9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fd6fa0: 301ac1da  autda	x16, x17
0xfffffff008fd6fa4: 113d80d2  mov	x17, #0x1e8
0xfffffff008fd6fa8: 1002118b  add	x16, x16, x17
0xfffffff008fd6fac: 080240f9  ldr	x8, [x16]
0xfffffff008fd6fb0: e90310aa  mov	x9, x16
0xfffffff008fd6fb4: e00313aa  mov	x0, x19
0xfffffff008fd6fb8: 010080d2  mov	x1, #0
0xfffffff008fd6fbc: f10309aa  mov	x17, x9
0xfffffff008fd6fc0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008fd6fc4: 11093fd7  blraa	x8, x17
0xfffffff008fd6fc8: f70300aa  mov	x23, x0
0xfffffff008fd6fcc: 605240f9  ldr	x0, [x19, #0xa0]
0xfffffff008fd6fd0: 100040f9  ldr	x16, [x0]
0xfffffff008fd6fd4: f10300aa  mov	x17, x0
0xfffffff008fd6fd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fd6fdc: 301ac1da  autda	x16, x17
0xfffffff008fd6fe0: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008fd6fe4: e90310aa  mov	x9, x16
0xfffffff008fd6fe8: f10309aa  mov	x17, x9
0xfffffff008fd6fec: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff008fd6ff0: 11093fd7  blraa	x8, x17
0xfffffff008fd6ff4: e0d700a9  stp	x0, x21, [sp, #8]
0xfffffff008fd6ff8: f70300f9  str	x23, [sp]
0xfffffff008fd6ffc: e022ff90  adrp	x0, #0xfffffff007432000
0xfffffff008fd7000: 00a83391  add	x0, x0, #0xcea
0xfffffff008fd7004: 0700ce97  bl	#0xfffffff008357020
0xfffffff008fd7008: d00240f9  ldr	x16, [x22]
0xfffffff008fd700c: f10316aa  mov	x17, x22
0xfffffff008fd7010: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fd7014: 301ac1da  autda	x16, x17
0xfffffff008fd7018: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008fd701c: e90310aa  mov	x9, x16
0xfffffff008fd7020: e00316aa  mov	x0, x22
0xfffffff008fd7024: f10309aa  mov	x17, x9
0xfffffff008fd7028: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008fd702c: 11093fd7  blraa	x8, x17
0xfffffff008fd7030: 900240f9  ldr	x16, [x20]
0xfffffff008fd7034: f10314aa  mov	x17, x20
0xfffffff008fd7038: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fd703c: 301ac1da  autda	x16, x17
0xfffffff008fd7040: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008fd7044: e90310aa  mov	x9, x16
0xfffffff008fd7048: e00314aa  mov	x0, x20
0xfffffff008fd704c: f10309aa  mov	x17, x9
0xfffffff008fd7050: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008fd7054: 11093fd7  blraa	x8, x17
0xfffffff008fd7058: c022fff0  adrp	x0, #0xfffffff007432000
0xfffffff008fd705c: 00303491  add	x0, x0, #0xd0c
0xfffffff008fd7060: e03fcd97  bl	#0xfffffff008326fe0
0xfffffff008fd7064: f40300aa  mov	x20, x0
0xfffffff008fd7068: c85afff0  adrp	x8, #0xfffffff007b32000
0xfffffff008fd706c: 083147f9  ldr	x8, [x8, #0xe60]
0xfffffff008fd7070: 010140f9  ldr	x1, [x8]
0xfffffff008fd7074: 700240f9  ldr	x16, [x19]
0xfffffff008fd7078: f10313aa  mov	x17, x19
