; Candidate 742
; ADRP+ADD at VM 0xfffffff00806216c (fileoff 0x105e16c): page=0x1ff00c000 add_imm=0xdcf

0xfffffff0080620ec: 373040f9  ldr	x23, [x1, #0x60]
0xfffffff0080620f0: e00314aa  mov	x0, x20
0xfffffff0080620f4: 020080d2  mov	x2, #0
0xfffffff0080620f8: 030080d2  mov	x3, #0
0xfffffff0080620fc: e40315aa  mov	x4, x21
0xfffffff008062100: 18ffff97  bl	#0xfffffff008061d60
0xfffffff008062104: e10317aa  mov	x1, x23
0xfffffff008062108: 37ffffb5  cbnz	x23, #0xfffffff0080620ec
0xfffffff00806210c: f70313aa  mov	x23, x19
0xfffffff008062110: e10e43f8  ldr	x1, [x23, #0x30]!
0xfffffff008062114: 210100b4  cbz	x1, #0xfffffff008062138
0xfffffff008062118: 383040f9  ldr	x24, [x1, #0x60]
0xfffffff00806211c: e00314aa  mov	x0, x20
0xfffffff008062120: 020080d2  mov	x2, #0
0xfffffff008062124: 030080d2  mov	x3, #0
0xfffffff008062128: e40315aa  mov	x4, x21
0xfffffff00806212c: 0dffff97  bl	#0xfffffff008061d60
0xfffffff008062130: e10318aa  mov	x1, x24
0xfffffff008062134: 38ffffb5  cbnz	x24, #0xfffffff008062118
0xfffffff008062138: c80240f9  ldr	x8, [x22]
0xfffffff00806213c: 880100b5  cbnz	x8, #0xfffffff00806216c
0xfffffff008062140: e80240f9  ldr	x8, [x23]
0xfffffff008062144: 080200b5  cbnz	x8, #0xfffffff008062184
0xfffffff008062148: 7f5a02a9  stp	xzr, x22, [x19, #0x20]
0xfffffff00806214c: 7f5e03a9  stp	xzr, x23, [x19, #0x30]
0xfffffff008062150: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff008062154: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008062158: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00806215c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008062160: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008062164: ff430191  add	sp, sp, #0x50
0xfffffff008062168: ff0f5fd6  retab	
0xfffffff00806216c: 6080ff90  adrp	x0, #0xfffffff00706e000
0xfffffff008062170: 003c3791  add	x0, x0, #0xdcf
0xfffffff008062174: 6180ff90  adrp	x1, #0xfffffff00706e000
0xfffffff008062178: 21142a91  add	x1, x1, #0xa85
0xfffffff00806217c: a2978052  mov	w2, #0x4bd
0xfffffff008062180: a5f51094  bl	#0xfffffff00849f814
0xfffffff008062184: 6080ff90  adrp	x0, #0xfffffff00706e000
0xfffffff008062188: 00cc3791  add	x0, x0, #0xdf3
0xfffffff00806218c: 6180ff90  adrp	x1, #0xfffffff00706e000
0xfffffff008062190: 21142a91  add	x1, x1, #0xa85
0xfffffff008062194: c2978052  mov	w2, #0x4be
0xfffffff008062198: 9ff51094  bl	#0xfffffff00849f814
0xfffffff00806219c: 7f2303d5  pacibsp	
0xfffffff0080621a0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0080621a4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0080621a8: fd430091  add	x29, sp, #0x10
0xfffffff0080621ac: f30301aa  mov	x19, x1
0xfffffff0080621b0: f40300aa  mov	x20, x0
0xfffffff0080621b4: 21400191  add	x1, x1, #0x50
0xfffffff0080621b8: baffff97  bl	#0xfffffff0080620a0
0xfffffff0080621bc: 61620591  add	x1, x19, #0x158
0xfffffff0080621c0: e00314aa  mov	x0, x20
0xfffffff0080621c4: b7ffff97  bl	#0xfffffff0080620a0
0xfffffff0080621c8: 61820991  add	x1, x19, #0x260
0xfffffff0080621cc: e00314aa  mov	x0, x20
0xfffffff0080621d0: b4ffff97  bl	#0xfffffff0080620a0
0xfffffff0080621d4: 61a20d91  add	x1, x19, #0x368
0xfffffff0080621d8: e00314aa  mov	x0, x20
0xfffffff0080621dc: b1ffff97  bl	#0xfffffff0080620a0
0xfffffff0080621e0: 61c21191  add	x1, x19, #0x470
0xfffffff0080621e4: e00314aa  mov	x0, x20
0xfffffff0080621e8: aeffff97  bl	#0xfffffff0080620a0
