; Candidate 5443
; ADRP+ADD at VM 0xfffffff0087f0e9c (fileoff 0x17ece9c): page=0x1fe9f9000 add_imm=0xe80

0xfffffff0087f0e1c: 1b111f91  add	x27, x8, #0x7c4
0xfffffff0087f0e20: e00317aa  mov	x0, x23
0xfffffff0087f0e24: 01008052  mov	w1, #0
0xfffffff0087f0e28: 02c68752  mov	w2, #0x3e30
0xfffffff0087f0e2c: 656fd597  bl	#0xfffffff007d4cbc0
0xfffffff0087f0e30: ff060079  strh	wzr, [x23, #2]
0xfffffff0087f0e34: f40600f9  str	x20, [x23, #8]
0xfffffff0087f0e38: 885b40b9  ldr	w8, [x28, #0x58]
0xfffffff0087f0e3c: 89df40b9  ldr	w9, [x28, #0xdc]
0xfffffff0087f0e40: e8260229  stp	w8, w9, [x23, #0x10]
0xfffffff0087f0e44: 88e740b9  ldr	w8, [x28, #0xe4]
0xfffffff0087f0e48: e8620329  stp	w8, w24, [x23, #0x18]
0xfffffff0087f0e4c: 56071037  tbnz	w22, #2, #0xfffffff0087f0f34
0xfffffff0087f0e50: 88ef40b9  ldr	w8, [x28, #0xec]
0xfffffff0087f0e54: 39000014  b	#0xfffffff0087f0f38
0xfffffff0087f0e58: d50c0394  bl	#0xfffffff0088b41ac
0xfffffff0087f0e5c: fa0300aa  mov	x26, x0
0xfffffff0087f0e60: 00018052  mov	w0, #8
0xfffffff0087f0e64: 7b2a0294  bl	#0xfffffff00887b850
0xfffffff0087f0e68: e80318aa  mov	x8, x24
0xfffffff0087f0e6c: e8e704a9  stp	x8, x25, [sp, #0x48]
0xfffffff0087f0e70: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0087f0e74: e80316aa  mov	x8, x22
0xfffffff0087f0e78: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087f0e7c: 2851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f0e80: 08a90791  add	x8, x8, #0x1ea
0xfffffff0087f0e84: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087f0e88: 080f8052  mov	w8, #0x78
0xfffffff0087f0e8c: 6352fff0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f0e90: 63c82c91  add	x3, x3, #0xb32
0xfffffff0087f0e94: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f0e98: fa0300f9  str	x26, [sp]
0xfffffff0087f0e9c: c04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f0ea0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f0ea4: c190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f0ea8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f0eac: 02008052  mov	w2, #0
0xfffffff0087f0eb0: a008ed97  bl	#0xfffffff008333130
0xfffffff0087f0eb4: 33faffb5  cbnz	x19, #0xfffffff0087f0df8
0xfffffff0087f0eb8: 000f8052  mov	w0, #0x78
0xfffffff0087f0ebc: 81008052  mov	w1, #4
0xfffffff0087f0ec0: 442a0294  bl	#0xfffffff00887b7d0
0xfffffff0087f0ec4: 200d0034  cbz	w0, #0xfffffff0087f1068
0xfffffff0087f0ec8: 000f8052  mov	w0, #0x78
0xfffffff0087f0ecc: 532a0294  bl	#0xfffffff00887b818
0xfffffff0087f0ed0: fb0300aa  mov	x27, x0
0xfffffff0087f0ed4: b60c0394  bl	#0xfffffff0088b41ac
0xfffffff0087f0ed8: fa0300aa  mov	x26, x0
0xfffffff0087f0edc: 80008052  mov	w0, #4
0xfffffff0087f0ee0: 5c2a0294  bl	#0xfffffff00887b850
0xfffffff0087f0ee4: db080034  cbz	w27, #0xfffffff0087f0ffc
0xfffffff0087f0ee8: e80318aa  mov	x8, x24
0xfffffff0087f0eec: e8e705a9  stp	x8, x25, [sp, #0x58]
0xfffffff0087f0ef0: f5df04a9  stp	x21, x23, [sp, #0x48]
0xfffffff0087f0ef4: e80316aa  mov	x8, x22
0xfffffff0087f0ef8: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0087f0efc: 2851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f0f00: 08390991  add	x8, x8, #0x24e
0xfffffff0087f0f04: 09758052  mov	w9, #0x3a8
0xfffffff0087f0f08: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f0f0c: 2851ffb0  adrp	x8, #0xfffffff007215000
0xfffffff0087f0f10: 08a90791  add	x8, x8, #0x1ea
0xfffffff0087f0f14: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f0f18: e00b00f9  str	x0, [sp, #0x10]
