; Candidate 4992
; ADRP+ADD at VM 0xfffffff0087d0b38 (fileoff 0x17ccb38): page=0x1fea40000 add_imm=0xe58

0xfffffff0087d0ab8: 81520054  b.ne	#0xfffffff0087d1508
0xfffffff0087d0abc: e00315aa  mov	x0, x21
0xfffffff0087d0ac0: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff0087d0ac4: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff0087d0ac8: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff0087d0acc: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff0087d0ad0: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff0087d0ad4: fc6f49a9  ldp	x28, x27, [sp, #0x90]
0xfffffff0087d0ad8: ffc30391  add	sp, sp, #0xf0
0xfffffff0087d0adc: ff0f5fd6  retab	
0xfffffff0087d0ae0: 000a8052  mov	w0, #0x50
0xfffffff0087d0ae4: 01018052  mov	w1, #8
0xfffffff0087d0ae8: 3aab0294  bl	#0xfffffff00887b7d0
0xfffffff0087d0aec: a00c0034  cbz	w0, #0xfffffff0087d0c80
0xfffffff0087d0af0: 000a8052  mov	w0, #0x50
0xfffffff0087d0af4: 49ab0294  bl	#0xfffffff00887b818
0xfffffff0087d0af8: f70300aa  mov	x23, x0
0xfffffff0087d0afc: ac8d0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0b00: f60300aa  mov	x22, x0
0xfffffff0087d0b04: 00018052  mov	w0, #8
0xfffffff0087d0b08: 52ab0294  bl	#0xfffffff00887b850
0xfffffff0087d0b0c: d7080034  cbz	w23, #0xfffffff0087d0c24
0xfffffff0087d0b10: 68a240b9  ldr	w8, [x19, #0xa0]
0xfffffff0087d0b14: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff0087d0b18: 481a8052  mov	w8, #0xd2
0xfffffff0087d0b1c: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d0b20: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d0b24: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d0b28: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0b2c: 08712591  add	x8, x8, #0x95c
0xfffffff0087d0b30: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d0b34: 080a8052  mov	w8, #0x50
0xfffffff0087d0b38: 0052ff90  adrp	x0, #0xfffffff007210000
0xfffffff0087d0b3c: 00603991  add	x0, x0, #0xe58
0xfffffff0087d0b40: f62300a9  stp	x22, x8, [sp]
0xfffffff0087d0b44: 479ad797  bl	#0xfffffff007db7460
0xfffffff0087d0b48: 4e000014  b	#0xfffffff0087d0c80
0xfffffff0087d0b4c: 988d0394  bl	#0xfffffff0088b41ac
0xfffffff0087d0b50: f50300aa  mov	x21, x0
0xfffffff0087d0b54: 80008052  mov	w0, #4
0xfffffff0087d0b58: 3eab0294  bl	#0xfffffff00887b850
0xfffffff0087d0b5c: e85f40b9  ldr	w8, [sp, #0x5c]
0xfffffff0087d0b60: e8db04a9  stp	x8, x22, [sp, #0x48]
0xfffffff0087d0b64: f3d303a9  stp	x19, x20, [sp, #0x38]
0xfffffff0087d0b68: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0b6c: 0a553791  add	x10, x8, #0xdd5
0xfffffff0087d0b70: 28218052  mov	w8, #0x109
0xfffffff0087d0b74: 0952ff90  adrp	x9, #0xfffffff007210000
0xfffffff0087d0b78: 29c12f91  add	x9, x9, #0xbf0
0xfffffff0087d0b7c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087d0b80: 0852ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087d0b84: 08712591  add	x8, x8, #0x95c
0xfffffff0087d0b88: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d0b8c: 080a8052  mov	w8, #0x50
0xfffffff0087d0b90: 4353ffd0  adrp	x3, #0xfffffff00723a000
0xfffffff0087d0b94: 63c02f91  add	x3, x3, #0xbf0
0xfffffff0087d0b98: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d0b9c: f50300f9  str	x21, [sp]
0xfffffff0087d0ba0: c050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d0ba4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d0ba8: c191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d0bac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d0bb0: 02008052  mov	w2, #0
0xfffffff0087d0bb4: 5f89ed97  bl	#0xfffffff008333130
