; Candidate 381
; ADRP+ADD at VM 0xfffffff007ecf15c (fileoff 0xecb15c): page=0x1ff189000 add_imm=0xe57

0xfffffff007ecf0dc: 040546f9  ldr	x4, [x8, #0xc08]
0xfffffff007ecf0e0: e8d4fff0  adrp	x8, #0xfffffff00796e000
0xfffffff007ecf0e4: 080d46f9  ldr	x8, [x8, #0xc18]
0xfffffff007ecf0e8: 050104cb  sub	x5, x8, x4
0xfffffff007ecf0ec: a26300d1  sub	x2, x29, #0x18
0xfffffff007ecf0f0: a37300d1  sub	x3, x29, #0x1c
0xfffffff007ecf0f4: 3a761694  bl	#0xfffffff00846c9dc
0xfffffff007ecf0f8: 1f040071  cmp	w0, #1
0xfffffff007ecf0fc: 21020054  b.ne	#0xfffffff007ecf140
0xfffffff007ecf100: a8435eb8  ldur	w8, [x29, #-0x1c]
0xfffffff007ecf104: 10050051  sub	w16, w8, #1
0xfffffff007ecf108: 1f1e0071  cmp	w16, #7
0xfffffff007ecf10c: e8040054  b.hi	#0xfffffff007ecf1a8
0xfffffff007ecf110: 1f1e00f1  cmp	x16, #7
0xfffffff007ecf114: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff007ecf118: 11000090  adrp	x17, #0xfffffff007ecf000
0xfffffff007ecf11c: 31320791  add	x17, x17, #0x1cc
0xfffffff007ecf120: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff007ecf124: 11000010  adr	x17, #0xfffffff007ecf124
0xfffffff007ecf128: 3002108b  add	x16, x17, x16
0xfffffff007ecf12c: 00021fd6  br	x16
0xfffffff007ecf130: 9f2403d5  bti	j
0xfffffff007ecf134: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff007ecf138: 14014039  ldrb	w20, [x8]
0xfffffff007ecf13c: 16000014  b	#0xfffffff007ecf194
0xfffffff007ecf140: 9f0600b1  cmn	x20, #1
0xfffffff007ecf144: 81020054  b.ne	#0xfffffff007ecf194
0xfffffff007ecf148: 28958052  mov	w8, #0x4a9
0xfffffff007ecf14c: 498cffb0  adrp	x9, #0xfffffff007058000
0xfffffff007ecf150: 29c12e91  add	x9, x9, #0xbb0
0xfffffff007ecf154: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007ecf158: f30300f9  str	x19, [sp]
0xfffffff007ecf15c: 408cffb0  adrp	x0, #0xfffffff007058000
0xfffffff007ecf160: 005c3991  add	x0, x0, #0xe57
0xfffffff007ecf164: ea141794  bl	#0xfffffff00849450c
0xfffffff007ecf168: 9f2403d5  bti	j
0xfffffff007ecf16c: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff007ecf170: 140140b9  ldr	w20, [x8]
0xfffffff007ecf174: 08000014  b	#0xfffffff007ecf194
0xfffffff007ecf178: 9f2403d5  bti	j
0xfffffff007ecf17c: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff007ecf180: 140140f9  ldr	x20, [x8]
0xfffffff007ecf184: 04000014  b	#0xfffffff007ecf194
0xfffffff007ecf188: 9f2403d5  bti	j
0xfffffff007ecf18c: a8835ef8  ldur	x8, [x29, #-0x18]
0xfffffff007ecf190: 14014079  ldrh	w20, [x8]
0xfffffff007ecf194: e00314aa  mov	x0, x20
0xfffffff007ecf198: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007ecf19c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007ecf1a0: ff430191  add	sp, sp, #0x50
0xfffffff007ecf1a4: ff0f5fd6  retab	
0xfffffff007ecf1a8: 9f2403d5  bti	j
0xfffffff007ecf1ac: a9948052  mov	w9, #0x4a5
0xfffffff007ecf1b0: 4a8cffb0  adrp	x10, #0xfffffff007058000
0xfffffff007ecf1b4: 4ac12e91  add	x10, x10, #0xbb0
0xfffffff007ecf1b8: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff007ecf1bc: f32300a9  stp	x19, x8, [sp]
0xfffffff007ecf1c0: 408cffb0  adrp	x0, #0xfffffff007058000
0xfffffff007ecf1c4: 00b83891  add	x0, x0, #0xe2e
0xfffffff007ecf1c8: d1141794  bl	#0xfffffff00849450c
0xfffffff007ecf1cc: 0c000000  udf	#0xc
0xfffffff007ecf1d0: 64000000  udf	#0x64
0xfffffff007ecf1d4: 84000000  udf	#0x84
0xfffffff007ecf1d8: 44000000  udf	#0x44
