; Candidate 15292
; ADRP+ADD at VM 0xfffffff009b49ff8 (fileoff 0x2b45ff8): page=0x1fdadf000 add_imm=0xed0

0xfffffff009b49f78: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b49f7c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b49f80: e00313aa  mov	x0, x19
0xfffffff009b49f84: 010080d2  mov	x1, #0
0xfffffff009b49f88: f10308aa  mov	x17, x8
0xfffffff009b49f8c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b49f90: 31093fd7  blraa	x9, x17
0xfffffff009b49f94: f60300aa  mov	x22, x0
0xfffffff009b49f98: 700240f9  ldr	x16, [x19]
0xfffffff009b49f9c: f10313aa  mov	x17, x19
0xfffffff009b49fa0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b49fa4: 301ac1da  autda	x16, x17
0xfffffff009b49fa8: f10310aa  mov	x17, x16
0xfffffff009b49fac: f147c1da  xpacd	x17
0xfffffff009b49fb0: 1f0211eb  cmp	x16, x17
0xfffffff009b49fb4: 40000054  b.eq	#0xfffffff009b49fbc
0xfffffff009b49fb8: 408e38d4  brk	#0xc472
0xfffffff009b49fbc: 08620891  add	x8, x16, #0x218
0xfffffff009b49fc0: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b49fc4: e00313aa  mov	x0, x19
0xfffffff009b49fc8: 010080d2  mov	x1, #0
0xfffffff009b49fcc: f10308aa  mov	x17, x8
0xfffffff009b49fd0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b49fd4: 31093fd7  blraa	x9, x17
0xfffffff009b49fd8: e80314aa  mov	x8, x20
0xfffffff009b49fdc: e81300f9  str	x8, [sp, #0x20]
0xfffffff009b49fe0: 08d7feb0  adrp	x8, #0xfffffff00762a000
0xfffffff009b49fe4: 085d0291  add	x8, x8, #0x97
0xfffffff009b49fe8: 09d7fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b49fec: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b49ff0: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b49ff4: f60300a9  stp	x22, x0, [sp]
0xfffffff009b49ff8: e0d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b49ffc: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4a000: 03d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b4a004: 638c3b91  add	x3, x3, #0xee3
0xfffffff009b4a008: e10315aa  mov	x1, x21
0xfffffff009b4a00c: 22028052  mov	w2, #0x11
0xfffffff009b4a010: 48a49f97  bl	#0xfffffff008333130
0xfffffff009b4a014: 68c641b9  ldr	w8, [x19, #0x1c4]
0xfffffff009b4a018: 0836f836  tbz	w8, #0x1f, #0xfffffff009b4a6d8
0xfffffff009b4a01c: b7470094  bl	#0xfffffff009b5bef8
0xfffffff009b4a020: 700240f9  ldr	x16, [x19]
0xfffffff009b4a024: f10313aa  mov	x17, x19
0xfffffff009b4a028: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4a02c: 301ac1da  autda	x16, x17
0xfffffff009b4a030: 11ec80d2  mov	x17, #0x760
0xfffffff009b4a034: 1002118b  add	x16, x16, x17
0xfffffff009b4a038: 080240f9  ldr	x8, [x16]
0xfffffff009b4a03c: e90310aa  mov	x9, x16
0xfffffff009b4a040: e00313aa  mov	x0, x19
0xfffffff009b4a044: 01008052  mov	w1, #0
0xfffffff009b4a048: f10309aa  mov	x17, x9
0xfffffff009b4a04c: 11acf2f2  movk	x17, #0x9560, lsl #48
0xfffffff009b4a050: 11093fd7  blraa	x8, x17
0xfffffff009b4a054: 7f420739  strb	wzr, [x19, #0x1d0]
0xfffffff009b4a058: 60ca41f9  ldr	x0, [x19, #0x390]
0xfffffff009b4a05c: 100040f9  ldr	x16, [x0]
0xfffffff009b4a060: f10300aa  mov	x17, x0
0xfffffff009b4a064: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4a068: 301ac1da  autda	x16, x17
0xfffffff009b4a06c: f10310aa  mov	x17, x16
0xfffffff009b4a070: f147c1da  xpacd	x17
0xfffffff009b4a074: 1f0211eb  cmp	x16, x17
