; Candidate 6795
; ADRP+ADD at VM 0xfffffff0088421e8 (fileoff 0x183e1e8): page=0x1fe9a7000 add_imm=0xe80

0xfffffff008842168: f60300aa  mov	x22, x0
0xfffffff00884216c: 10c80194  bl	#0xfffffff0088b41ac
0xfffffff008842170: f50300aa  mov	x21, x0
0xfffffff008842174: e0008052  mov	w0, #7
0xfffffff008842178: b6e50094  bl	#0xfffffff00887b850
0xfffffff00884217c: d6010034  cbz	w22, #0xfffffff0088421b4
0xfffffff008842180: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff008842184: 684efff0  adrp	x8, #0xfffffff007211000
0xfffffff008842188: 09b52291  add	x9, x8, #0x8ad
0xfffffff00884218c: 084fffb0  adrp	x8, #0xfffffff007223000
0xfffffff008842190: 08d92b91  add	x8, x8, #0xaf6
0xfffffff008842194: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008842198: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00884219c: 480a8052  mov	w8, #0x52
0xfffffff0088421a0: 604effd0  adrp	x0, #0xfffffff007210000
0xfffffff0088421a4: 00dc2791  add	x0, x0, #0x9f7
0xfffffff0088421a8: f52300a9  stp	x21, x8, [sp]
0xfffffff0088421ac: add4d597  bl	#0xfffffff007db7460
0xfffffff0088421b0: 16000014  b	#0xfffffff008842208
0xfffffff0088421b4: fec70194  bl	#0xfffffff0088b41ac
0xfffffff0088421b8: f50300aa  mov	x21, x0
0xfffffff0088421bc: e0008052  mov	w0, #7
0xfffffff0088421c0: a4e50094  bl	#0xfffffff00887b850
0xfffffff0088421c4: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff0088421c8: 684efff0  adrp	x8, #0xfffffff007211000
0xfffffff0088421cc: 09b52291  add	x9, x8, #0x8ad
0xfffffff0088421d0: 084fffb0  adrp	x8, #0xfffffff007223000
0xfffffff0088421d4: 08d92b91  add	x8, x8, #0xaf6
0xfffffff0088421d8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088421dc: 480a8052  mov	w8, #0x52
0xfffffff0088421e0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088421e4: f50300f9  str	x21, [sp]
0xfffffff0088421e8: 204dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088421ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0088421f0: 218effd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088421f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088421f8: 6350ffb0  adrp	x3, #0xfffffff00724f000
0xfffffff0088421fc: 63cc3291  add	x3, x3, #0xcb3
0xfffffff008842200: 02008052  mov	w2, #0
0xfffffff008842204: cbc3eb97  bl	#0xfffffff008333130
0xfffffff008842208: 825a40b9  ldr	w2, [x20, #0x58]
0xfffffff00884220c: 96128052  mov	w22, #0x94
0xfffffff008842210: d674a572  movk	w22, #0x2ba6, lsl #16
0xfffffff008842214: 80128052  mov	w0, #0x94
0xfffffff008842218: c074a572  movk	w0, #0x2ba6, lsl #16
0xfffffff00884221c: 21018052  mov	w1, #9
0xfffffff008842220: 030080d2  mov	x3, #0
0xfffffff008842224: 040080d2  mov	x4, #0
0xfffffff008842228: 050080d2  mov	x5, #0
0xfffffff00884222c: 36efe497  bl	#0xfffffff00817df04
0xfffffff008842230: e00313aa  mov	x0, x19
0xfffffff008842234: e10314aa  mov	x1, x20
0xfffffff008842238: 39feff97  bl	#0xfffffff008841b1c
0xfffffff00884223c: 60620591  add	x0, x19, #0x158
0xfffffff008842240: 61220291  add	x1, x19, #0x88
0xfffffff008842244: e20314aa  mov	x2, x20
0xfffffff008842248: c0b3ff97  bl	#0xfffffff00882f148
0xfffffff00884224c: f50300aa  mov	x21, x0
0xfffffff008842250: 825a40b9  ldr	w2, [x20, #0x58]
0xfffffff008842254: c0120011  add	w0, w22, #4
0xfffffff008842258: 21018052  mov	w1, #9
0xfffffff00884225c: 030080d2  mov	x3, #0
0xfffffff008842260: 040080d2  mov	x4, #0
0xfffffff008842264: 050080d2  mov	x5, #0
