; Candidate 2997
; ADRP+ADD at VM 0xfffffff0087011d4 (fileoff 0x16fd1d4): page=0x1fea30000 add_imm=0xd90

0xfffffff008701154: adfd60d3  lsr	x13, x13, #0x20
0xfffffff008701158: cd0700b5  cbnz	x13, #0xfffffff008701250
0xfffffff00870115c: ab070037  tbnz	w11, #0, #0xfffffff008701250
0xfffffff008701160: 0cad00b9  str	w12, [x8, #0xac]
0xfffffff008701164: 296540b9  ldr	w9, [x9, #0x64]
0xfffffff008701168: 09b100b9  str	w9, [x8, #0xb0]
0xfffffff00870116c: 880340f9  ldr	x8, [x28]
0xfffffff008701170: 09c14239  ldrb	w9, [x8, #0xb0]
0xfffffff008701174: 3f150072  tst	w9, #0x3f
0xfffffff008701178: 80010054  b.eq	#0xfffffff0087011a8
0xfffffff00870117c: a84a8052  mov	w8, #0x255
0xfffffff008701180: f62300a9  stp	x22, x8, [sp]
0xfffffff008701184: 8051ff90  adrp	x0, #0xfffffff007131000
0xfffffff008701188: 00403691  add	x0, x0, #0xd90
0xfffffff00870118c: e197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008701190: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008701194: a351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff008701198: 63601691  add	x3, x3, #0x598
0xfffffff00870119c: 02008052  mov	w2, #0
0xfffffff0087011a0: e4c7f097  bl	#0xfffffff008333130
0xfffffff0087011a4: 880340f9  ldr	x8, [x28]
0xfffffff0087011a8: 14b500b9  str	w20, [x8, #0xb4]
0xfffffff0087011ac: 690e40f9  ldr	x9, [x19, #0x18]
0xfffffff0087011b0: 299950f9  ldr	x9, [x9, #0x2130]
0xfffffff0087011b4: 296940b9  ldr	w9, [x9, #0x68]
0xfffffff0087011b8: 09b900b9  str	w9, [x8, #0xb8]
0xfffffff0087011bc: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff0087011c0: 09e14239  ldrb	w9, [x8, #0xb8]
0xfffffff0087011c4: 3f150072  tst	w9, #0x3f
0xfffffff0087011c8: 80010054  b.eq	#0xfffffff0087011f8
0xfffffff0087011cc: 284b8052  mov	w8, #0x259
0xfffffff0087011d0: f62300a9  stp	x22, x8, [sp]
0xfffffff0087011d4: 8051ff90  adrp	x0, #0xfffffff007131000
0xfffffff0087011d8: 00403691  add	x0, x0, #0xd90
0xfffffff0087011dc: e197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087011e0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087011e4: a351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff0087011e8: 632c1791  add	x3, x3, #0x5cb
0xfffffff0087011ec: 02008052  mov	w2, #0
0xfffffff0087011f0: d0c7f097  bl	#0xfffffff008333130
0xfffffff0087011f4: 880340f9  ldr	x8, [x28]
0xfffffff0087011f8: eb1f40b9  ldr	w11, [sp, #0x1c]
0xfffffff0087011fc: 098d4bb9  ldr	w9, [x8, #0xb8c]
0xfffffff008701200: 29010032  orr	w9, w9, #1
0xfffffff008701204: 098d0bb9  str	w9, [x8, #0xb8c]
0xfffffff008701208: bf060071  cmp	w21, #1
0xfffffff00870120c: e8179f1a  cset	w8, eq
0xfffffff008701210: 890340f9  ldr	x9, [x28]
0xfffffff008701214: 2a8d4bb9  ldr	w10, [x9, #0xb8c]
0xfffffff008701218: 0a011f33  bfi	w10, w8, #1, #1
0xfffffff00870121c: 2a8d0bb9  str	w10, [x9, #0xb8c]
0xfffffff008701220: 880340f9  ldr	x8, [x28]
0xfffffff008701224: 098d4bb9  ldr	w9, [x8, #0xb8c]
0xfffffff008701228: 29011e32  orr	w9, w9, #4
0xfffffff00870122c: 098d0bb9  str	w9, [x8, #0xb8c]
0xfffffff008701230: fb6302a9  stp	x27, x24, [sp, #0x20]
0xfffffff008701234: 6b290034  cbz	w11, #0xfffffff008701760
0xfffffff008701238: 68a641a9  ldp	x8, x9, [x19, #0x18]
0xfffffff00870123c: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff008701240: 0a4540b9  ldr	w10, [x8, #0x44]
0xfffffff008701244: 2a910bb9  str	w10, [x9, #0xb90]
0xfffffff008701248: 0a4940b9  ldr	w10, [x8, #0x48]
0xfffffff00870124c: 96feff17  b	#0xfffffff008700ca4
0xfffffff008701250: f62b00a9  stp	x22, x10, [sp]
