; Candidate 12657
; ADRP+ADD at VM 0xfffffff009107c38 (fileoff 0x2103c38): page=0x1fe367000 add_imm=0xe2b

0xfffffff009107bb8: 00880191  add	x0, x0, #0x62
0xfffffff009107bbc: 5432ce97  bl	#0xfffffff00849450c
0xfffffff009107bc0: 7f2303d5  pacibsp	
0xfffffff009107bc4: ff8300d1  sub	sp, sp, #0x20
0xfffffff009107bc8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009107bcc: fd430091  add	x29, sp, #0x10
0xfffffff009107bd0: 281bffd0  adrp	x8, #0xfffffff00746d000
0xfffffff009107bd4: 084d0891  add	x8, x8, #0x213
0xfffffff009107bd8: 69108352  mov	w9, #0x1883
0xfffffff009107bdc: e82700a9  stp	x8, x9, [sp]
0xfffffff009107be0: 201bfff0  adrp	x0, #0xfffffff00746e000
0xfffffff009107be4: 00743e91  add	x0, x0, #0xf9d
0xfffffff009107be8: 4932ce97  bl	#0xfffffff00849450c
0xfffffff009107bec: 7f2303d5  pacibsp	
0xfffffff009107bf0: ff8300d1  sub	sp, sp, #0x20
0xfffffff009107bf4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009107bf8: fd430091  add	x29, sp, #0x10
0xfffffff009107bfc: 281bffd0  adrp	x8, #0xfffffff00746d000
0xfffffff009107c00: 084d0891  add	x8, x8, #0x213
0xfffffff009107c04: c90f8352  mov	w9, #0x187e
0xfffffff009107c08: e82700a9  stp	x8, x9, [sp]
0xfffffff009107c0c: 201bfff0  adrp	x0, #0xfffffff00746e000
0xfffffff009107c10: 00e03d91  add	x0, x0, #0xf78
0xfffffff009107c14: 3e32ce97  bl	#0xfffffff00849450c
0xfffffff009107c18: 7f2303d5  pacibsp	
0xfffffff009107c1c: ff8300d1  sub	sp, sp, #0x20
0xfffffff009107c20: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009107c24: fd430091  add	x29, sp, #0x10
0xfffffff009107c28: 281bffd0  adrp	x8, #0xfffffff00746d000
0xfffffff009107c2c: 084d0891  add	x8, x8, #0x213
0xfffffff009107c30: a9068352  mov	w9, #0x1835
0xfffffff009107c34: e82700a9  stp	x8, x9, [sp]
0xfffffff009107c38: 201bfff0  adrp	x0, #0xfffffff00746e000
0xfffffff009107c3c: 00ac3891  add	x0, x0, #0xe2b
0xfffffff009107c40: 3332ce97  bl	#0xfffffff00849450c
0xfffffff009107c44: 7f2303d5  pacibsp	
0xfffffff009107c48: ff8300d1  sub	sp, sp, #0x20
0xfffffff009107c4c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009107c50: fd430091  add	x29, sp, #0x10
0xfffffff009107c54: 281bffd0  adrp	x8, #0xfffffff00746d000
0xfffffff009107c58: 084d0891  add	x8, x8, #0x213
0xfffffff009107c5c: 09f68252  mov	w9, #0x17b0
0xfffffff009107c60: e82700a9  stp	x8, x9, [sp]
0xfffffff009107c64: 201bfff0  adrp	x0, #0xfffffff00746e000
0xfffffff009107c68: 00903191  add	x0, x0, #0xc64
0xfffffff009107c6c: 2832ce97  bl	#0xfffffff00849450c
0xfffffff009107c70: 7f2303d5  pacibsp	
0xfffffff009107c74: ff8300d1  sub	sp, sp, #0x20
0xfffffff009107c78: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009107c7c: fd430091  add	x29, sp, #0x10
0xfffffff009107c80: 281bffd0  adrp	x8, #0xfffffff00746d000
0xfffffff009107c84: 084d0891  add	x8, x8, #0x213
0xfffffff009107c88: 49fa8252  mov	w9, #0x17d2
0xfffffff009107c8c: e82700a9  stp	x8, x9, [sp]
0xfffffff009107c90: 201bfff0  adrp	x0, #0xfffffff00746e000
0xfffffff009107c94: 00f43191  add	x0, x0, #0xc7d
0xfffffff009107c98: 1d32ce97  bl	#0xfffffff00849450c
0xfffffff009107c9c: 7f2303d5  pacibsp	
0xfffffff009107ca0: ffc302d1  sub	sp, sp, #0xb0
0xfffffff009107ca4: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff009107ca8: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff009107cac: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff009107cb0: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff009107cb4: fd830291  add	x29, sp, #0xa0
