; Candidate 4048
; ADRP+ADD at VM 0xfffffff00878c4cc (fileoff 0x17884cc): page=0x1fe9a5000 add_imm=0xd90

0xfffffff00878c44c: ec3740f9  ldr	x12, [sp, #0x68]
0xfffffff00878c450: 2b330b9b  madd	x11, x25, x11, x12
0xfffffff00878c454: 0c2d8b52  mov	w12, #0x5968
0xfffffff00878c458: 6b696cb8  ldr	w11, [x11, x12]
0xfffffff00878c45c: 4c050011  add	w12, w10, #1
0xfffffff00878c460: 7f010c6b  cmp	w11, w12
0xfffffff00878c464: 68060054  b.hi	#0xfffffff00878c530
0xfffffff00878c468: b4000836  tbz	w20, #1, #0xfffffff00878c47c
0xfffffff00878c46c: 0bd08452  mov	w11, #0x2680
0xfffffff00878c470: 8b5f0b9b  madd	x11, x28, x11, x23
0xfffffff00878c474: 6bd54039  ldrb	w11, [x11, #0x35]
0xfffffff00878c478: cb030034  cbz	w11, #0xfffffff00878c4f0
0xfffffff00878c47c: b4002836  tbz	w20, #5, #0xfffffff00878c490
0xfffffff00878c480: 0bd08452  mov	w11, #0x2680
0xfffffff00878c484: 8b5f0b9b  madd	x11, x28, x11, x23
0xfffffff00878c488: 6bd54039  ldrb	w11, [x11, #0x35]
0xfffffff00878c48c: 6b040034  cbz	w11, #0xfffffff00878c518
0xfffffff00878c490: 0b008052  mov	w11, #0
0xfffffff00878c494: 2b000014  b	#0xfffffff00878c540
0xfffffff00878c498: bf0a0071  cmp	w21, #2
0xfffffff00878c49c: 61000054  b.ne	#0xfffffff00878c4a8
0xfffffff00878c4a0: 3f210071  cmp	w9, #8
0xfffffff00878c4a4: c0000054  b.eq	#0xfffffff00878c4bc
0xfffffff00878c4a8: bf0e0071  cmp	w21, #3
0xfffffff00878c4ac: 61f1ff54  b.ne	#0xfffffff00878c2d8
0xfffffff00878c4b0: 2a250051  sub	w10, w9, #9
0xfffffff00878c4b4: 5f050071  cmp	w10, #1
0xfffffff00878c4b8: 08f1ff54  b.hi	#0xfffffff00878c2d8
0xfffffff00878c4bc: e9d700a9  stp	x9, x21, [sp, #8]
0xfffffff00878c4c0: 084efff0  adrp	x8, #0xfffffff00714f000
0xfffffff00878c4c4: 08bd1991  add	x8, x8, #0x66f
0xfffffff00878c4c8: e80300f9  str	x8, [sp]
0xfffffff00878c4cc: 204dffb0  adrp	x0, #0xfffffff007131000
0xfffffff00878c4d0: 00403691  add	x0, x0, #0xd90
0xfffffff00878c4d4: 8193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00878c4d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878c4dc: c34dffb0  adrp	x3, #0xfffffff007145000
0xfffffff00878c4e0: 63543591  add	x3, x3, #0xd55
0xfffffff00878c4e4: 02008052  mov	w2, #0
0xfffffff00878c4e8: 129bee97  bl	#0xfffffff008333130
0xfffffff00878c4ec: f8010014  b	#0xfffffff00878cccc
0xfffffff00878c4f0: 4b034039  ldrb	w11, [x26]
0xfffffff00878c4f4: 4bfcff34  cbz	w11, #0xfffffff00878c47c
0xfffffff00878c4f8: cb3e0012  and	w11, w22, #0xffff
0xfffffff00878c4fc: ec0f40f9  ldr	x12, [sp, #0x18]
0xfffffff00878c500: 8c3d0012  and	w12, w12, #0xffff
0xfffffff00878c504: 8b7d0b1b  mul	w11, w12, w11
0xfffffff00878c508: 4c050011  add	w12, w10, #1
0xfffffff00878c50c: 7f010c6b  cmp	w11, w12
0xfffffff00878c510: 08010054  b.hi	#0xfffffff00878c530
0xfffffff00878c514: daffff17  b	#0xfffffff00878c47c
0xfffffff00878c518: 4c034039  ldrb	w12, [x26]
0xfffffff00878c51c: 2c010035  cbnz	w12, #0xfffffff00878c540
0xfffffff00878c520: 4a050011  add	w10, w10, #1
0xfffffff00878c524: ec2b40b9  ldr	w12, [sp, #0x28]
0xfffffff00878c528: 9f010a6b  cmp	w12, w10
0xfffffff00878c52c: a9000054  b.ls	#0xfffffff00878c540
0xfffffff00878c530: ea5b40b9  ldr	w10, [sp, #0x58]
0xfffffff00878c534: 5f010071  cmp	w10, #0
0xfffffff00878c538: ea179f1a  cset	w10, eq
0xfffffff00878c53c: 4b110553  lsl	w11, w10, #0x1b
0xfffffff00878c540: ec2b4929  ldp	w12, w10, [sp, #0x48]
0xfffffff00878c544: 8a010a0b  add	w10, w12, w10
0xfffffff00878c548: 0bff0b29  stp	w11, wzr, [x24, #0x5c]
