; Candidate 13760
; ADRP+ADD at VM 0xfffffff009570808 (fileoff 0x256c808): page=0x1fdfeb000 add_imm=0xeae

0xfffffff009570788: 8100a872  movk	w1, #0x4004, lsl #16
0xfffffff00957078c: 03008052  mov	w3, #0
0xfffffff009570790: e40318aa  mov	x4, x24
0xfffffff009570794: 932fa797  bl	#0xfffffff007f3c5e0
0xfffffff009570798: a0000034  cbz	w0, #0xfffffff0095707ac
0xfffffff00957079c: f30300f9  str	x19, [sp]
0xfffffff0095707a0: 40fffef0  adrp	x0, #0xfffffff00755b000
0xfffffff0095707a4: 00f03791  add	x0, x0, #0xdfc
0xfffffff0095707a8: 1a000014  b	#0xfffffff009570810
0xfffffff0095707ac: e81f40b9  ldr	w8, [sp, #0x1c]
0xfffffff0095707b0: 1f01196b  cmp	w8, w25
0xfffffff0095707b4: c9000054  b.ls	#0xfffffff0095707cc
0xfffffff0095707b8: e8e700a9  stp	x8, x25, [sp, #8]
0xfffffff0095707bc: f30300f9  str	x19, [sp]
0xfffffff0095707c0: 40fffef0  adrp	x0, #0xfffffff00755b000
0xfffffff0095707c4: 00c43891  add	x0, x0, #0xe31
0xfffffff0095707c8: 12000014  b	#0xfffffff009570810
0xfffffff0095707cc: 0900b092  mov	x9, #-0x80000001
0xfffffff0095707d0: e902098b  add	x9, x23, x9
0xfffffff0095707d4: 2a008092  mov	x10, #-2
0xfffffff0095707d8: 6a00b0f2  movk	x10, #0x8003, lsl #16
0xfffffff0095707dc: 3f010aeb  cmp	x9, x10
0xfffffff0095707e0: a8000054  b.hi	#0xfffffff0095707f4
0xfffffff0095707e4: f35f00a9  stp	x19, x23, [sp]
0xfffffff0095707e8: 40fffef0  adrp	x0, #0xfffffff00755b000
0xfffffff0095707ec: 00ec3991  add	x0, x0, #0xe7b
0xfffffff0095707f0: 08000014  b	#0xfffffff009570810
0xfffffff0095707f4: e90ac81a  udiv	w9, w23, w8
0xfffffff0095707f8: 29dd081b  msub	w9, w9, w8, w23
0xfffffff0095707fc: 49020034  cbz	w9, #0xfffffff009570844
0xfffffff009570800: f7a300a9  stp	x23, x8, [sp, #8]
0xfffffff009570804: f30300f9  str	x19, [sp]
0xfffffff009570808: 40fffef0  adrp	x0, #0xfffffff00755b000
0xfffffff00957080c: 00b83a91  add	x0, x0, #0xeae
0xfffffff009570810: 141ba197  bl	#0xfffffff007db7460
0xfffffff009570814: d4028052  mov	w20, #0x16
0xfffffff009570818: e00313aa  mov	x0, x19
0xfffffff00957081c: c807a697  bl	#0xfffffff007ef273c
0xfffffff009570820: e00314aa  mov	x0, x20
0xfffffff009570824: ff430791  add	sp, sp, #0x1d0
0xfffffff009570828: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00957082c: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff009570830: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff009570834: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff009570838: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff00957083c: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff009570840: ff0f5fd6  retab	
0xfffffff009570844: e0830091  add	x0, sp, #0x20
0xfffffff009570848: 01008052  mov	w1, #0
0xfffffff00957084c: 02348052  mov	w2, #0x1a0
0xfffffff009570850: dc709f97  bl	#0xfffffff007d4cbc0
0xfffffff009570854: f71f40b9  ldr	w23, [sp, #0x1c]
0xfffffff009570858: e00317aa  mov	x0, x23
0xfffffff00957085c: 2399b797  bl	#0xfffffff008356ce8
0xfffffff009570860: f90300aa  mov	x25, x0
0xfffffff009570864: a00000b4  cbz	x0, #0xfffffff009570878
0xfffffff009570868: c17000b0  adrp	x1, #0xfffffff00a389000
0xfffffff00957086c: 21c00391  add	x1, x1, #0xf0
0xfffffff009570870: e00317aa  mov	x0, x23
0xfffffff009570874: 97cab597  bl	#0xfffffff0082e32d0
0xfffffff009570878: 595300f9  str	x25, [x26, #0xa0]
0xfffffff00957087c: e11f40b9  ldr	w1, [sp, #0x1c]
0xfffffff009570880: e1cb00b9  str	w1, [sp, #0xc8]
0xfffffff009570884: e2830091  add	x2, sp, #0x20
