; Candidate 14995
; ADRP+ADD at VM 0xfffffff009a1fbe0 (fileoff 0x2a1bbe0): page=0x997000 add_imm=0xd60

0xfffffff009a1fb60: 29bc40f9  ldr	x9, [x1, #0x178]
0xfffffff009a1fb64: 2141238b  add	x1, x9, w3, uxtw
0xfffffff009a1fb68: 427c0153  lsr	w2, w2, #1
0xfffffff009a1fb6c: 88000037  tbnz	w8, #0, #0xfffffff009a1fb7c
0xfffffff009a1fb70: e00301aa  mov	x0, x1
0xfffffff009a1fb74: e10304aa  mov	x1, x4
0xfffffff009a1fb78: 86b38c17  b	#0xfffffff007d4c990
0xfffffff009a1fb7c: e00304aa  mov	x0, x4
0xfffffff009a1fb80: 84b38c17  b	#0xfffffff007d4c990
0xfffffff009a1fb84: 5f2403d5  bti	c
0xfffffff009a1fb88: db12a317  b	#0xfffffff0082e46f4
0xfffffff009a1fb8c: 7f2303d5  pacibsp	
0xfffffff009a1fb90: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009a1fb94: fd030091  mov	x29, sp
0xfffffff009a1fb98: a04c00f0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a1fb9c: 00803591  add	x0, x0, #0xd60
0xfffffff009a1fba0: 01dffe90  adrp	x1, #0xfffffff0075ff000
0xfffffff009a1fba4: 216c2791  add	x1, x1, #0x9db
0xfffffff009a1fba8: e213ffd0  adrp	x2, #0xfffffff007c9d000
0xfffffff009a1fbac: 425441f9  ldr	x2, [x2, #0x2a8]
0xfffffff009a1fbb0: 031d8052  mov	w3, #0xe8
0xfffffff009a1fbb4: e10fa397  bl	#0xfffffff0082e3b38
0xfffffff009a1fbb8: 1014ffb0  adrp	x16, #0xfffffff007ca0000
0xfffffff009a1fbbc: 10a22191  add	x16, x16, #0x868
0xfffffff009a1fbc0: 10420091  add	x16, x16, #0x10
0xfffffff009a1fbc4: f10300aa  mov	x17, x0
0xfffffff009a1fbc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a1fbcc: 300ac1da  pacda	x16, x17
0xfffffff009a1fbd0: 100000f9  str	x16, [x0]
0xfffffff009a1fbd4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009a1fbd8: ff0f5fd6  retab	
0xfffffff009a1fbdc: 5f2403d5  bti	c
0xfffffff009a1fbe0: a04c00f0  adrp	x0, #0xfffffff00a3b6000
0xfffffff009a1fbe4: 00803591  add	x0, x0, #0xd60
0xfffffff009a1fbe8: c312a317  b	#0xfffffff0082e46f4
0xfffffff009a1fbec: 7f2303d5  pacibsp	
0xfffffff009a1fbf0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a1fbf4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a1fbf8: fd430091  add	x29, sp, #0x10
0xfffffff009a1fbfc: f30301aa  mov	x19, x1
0xfffffff009a1fc00: 620000b5  cbnz	x2, #0xfffffff009a1fc0c
0xfffffff009a1fc04: 024840f9  ldr	x2, [x0, #0x90]
0xfffffff009a1fc08: 220200b4  cbz	x2, #0xfffffff009a1fc4c
0xfffffff009a1fc0c: 500040f9  ldr	x16, [x2]
0xfffffff009a1fc10: f10302aa  mov	x17, x2
0xfffffff009a1fc14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a1fc18: 301ac1da  autda	x16, x17
0xfffffff009a1fc1c: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff009a1fc20: e90310aa  mov	x9, x16
0xfffffff009a1fc24: e00302aa  mov	x0, x2
0xfffffff009a1fc28: f10309aa  mov	x17, x9
0xfffffff009a1fc2c: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff009a1fc30: 11093fd7  blraa	x8, x17
0xfffffff009a1fc34: 134873b8  ldr	w19, [x0, w19, uxtw]
0xfffffff009a1fc38: 96b89297  bl	#0xfffffff007ecde90
0xfffffff009a1fc3c: e00313aa  mov	x0, x19
0xfffffff009a1fc40: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a1fc44: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a1fc48: ff0f5fd6  retab	
0xfffffff009a1fc4c: 13008052  mov	w19, #0
0xfffffff009a1fc50: fbffff17  b	#0xfffffff009a1fc3c
0xfffffff009a1fc54: 7f2303d5  pacibsp	
0xfffffff009a1fc58: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a1fc5c: fd7b01a9  stp	x29, x30, [sp, #0x10]
