; Candidate 860
; ADRP+ADD at VM 0xfffffff0080e3a18 (fileoff 0x10dfa18): page=0x1fef93000 add_imm=0xd78

0xfffffff0080e3998: 95be41f9  ldr	x21, [x20, #0x378]
0xfffffff0080e399c: ff0700b9  str	wzr, [sp, #4]
0xfffffff0080e39a0: ff070079  strh	wzr, [sp, #2]
0xfffffff0080e39a4: 08a040f9  ldr	x8, [x0, #0x140]
0xfffffff0080e39a8: 680000b5  cbnz	x8, #0xfffffff0080e39b4
0xfffffff0080e39ac: 08004939  ldrb	w8, [x0, #0x240]
0xfffffff0080e39b0: 08031837  tbnz	w8, #3, #0xfffffff0080e3a10
0xfffffff0080e39b4: e2230091  add	x2, sp, #8
0xfffffff0080e39b8: e3130091  add	x3, sp, #4
0xfffffff0080e39bc: e40b0091  add	x4, sp, #2
0xfffffff0080e39c0: e5030091  mov	x5, sp
0xfffffff0080e39c4: e10313aa  mov	x1, x19
0xfffffff0080e39c8: 40ffff97  bl	#0xfffffff0080e36c8
0xfffffff0080e39cc: e80740b9  ldr	w8, [sp, #4]
0xfffffff0080e39d0: a96240b9  ldr	w9, [x21, #0x60]
0xfffffff0080e39d4: 2801080b  add	w8, w9, w8
0xfffffff0080e39d8: 896640b9  ldr	w9, [x20, #0x64]
0xfffffff0080e39dc: 0801094b  sub	w8, w8, w9
0xfffffff0080e39e0: 896643b9  ldr	w9, [x20, #0x364]
0xfffffff0080e39e4: 295d1853  lsl	w9, w9, #8
0xfffffff0080e39e8: 087d890b  add	w8, w8, w9, asr #31
0xfffffff0080e39ec: 0801136b  subs	w8, w8, w19
0xfffffff0080e39f0: 4c010054  b.gt	#0xfffffff0080e3a18
0xfffffff0080e39f4: e9074079  ldrh	w9, [sp, #2]
0xfffffff0080e39f8: 0001090b  add	w0, w8, w9
0xfffffff0080e39fc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0080e3a00: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0080e3a04: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0080e3a08: ff030191  add	sp, sp, #0x40
0xfffffff0080e3a0c: ff0f5fd6  retab	
0xfffffff0080e3a10: 00008052  mov	w0, #0
0xfffffff0080e3a14: faffff17  b	#0xfffffff0080e39fc
0xfffffff0080e3a18: 807cfff0  adrp	x0, #0xfffffff007076000
0xfffffff0080e3a1c: 00e03591  add	x0, x0, #0xd78
0xfffffff0080e3a20: 817cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080e3a24: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e3a28: a2cc8252  mov	w2, #0x1665
0xfffffff0080e3a2c: 7aef0e94  bl	#0xfffffff00849f814
0xfffffff0080e3a30: 7f2303d5  pacibsp	
0xfffffff0080e3a34: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff0080e3a38: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0080e3a3c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0080e3a40: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0080e3a44: fdc30091  add	x29, sp, #0x30
0xfffffff0080e3a48: 880601b0  adrp	x8, #0xfffffff00a1b4000
0xfffffff0080e3a4c: 08ad46b9  ldr	w8, [x8, #0x6ac]
0xfffffff0080e3a50: 28060034  cbz	w8, #0xfffffff0080e3b14
0xfffffff0080e3a54: 0a0040f9  ldr	x10, [x0]
0xfffffff0080e3a58: 480140f9  ldr	x8, [x10]
0xfffffff0080e3a5c: 141940f9  ldr	x20, [x8, #0x30]
0xfffffff0080e3a60: 88a64339  ldrb	w8, [x20, #0xe9]
0xfffffff0080e3a64: 88051036  tbz	w8, #2, #0xfffffff0080e3b14
0xfffffff0080e3a68: 880601b0  adrp	x8, #0xfffffff00a1b4000
0xfffffff0080e3a6c: 08654ab9  ldr	w8, [x8, #0xa64]
0xfffffff0080e3a70: 09791f53  lsl	w9, w8, #1
0xfffffff0080e3a74: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff0080e3a78: 8b0901f0  adrp	x11, #0xfffffff00a216000
0xfffffff0080e3a7c: 6bd94eb9  ldr	w11, [x11, #0xed8]
0xfffffff0080e3a80: 7f01096b  cmp	w11, w9
0xfffffff0080e3a84: 02040054  b.hs	#0xfffffff0080e3b04
0xfffffff0080e3a88: 08611953  lsl	w8, w8, #7
0xfffffff0080e3a8c: 09511512  and	w9, w8, #0xfffff800
0xfffffff0080e3a90: 886e40b9  ldr	w8, [x20, #0x6c]
0xfffffff0080e3a94: 1f01096b  cmp	w8, w9
