; Candidate 11017
; ADRP+ADD at VM 0xfffffff008df1248 (fileoff 0x1ded248): page=0x1fe5d3000 add_imm=0xe15

0xfffffff008df11c8: 00843491  add	x0, x0, #0xd21
0xfffffff008df11cc: 9597d597  bl	#0xfffffff008357020
0xfffffff008df11d0: 140a00b4  cbz	x20, #0xfffffff008df1310
0xfffffff008df11d4: 560400b4  cbz	x22, #0xfffffff008df125c
0xfffffff008df11d8: f40300f9  str	x20, [sp]
0xfffffff008df11dc: 61a800d0  adrp	x1, #0xfffffff00a2ff000
0xfffffff008df11e0: 21c03091  add	x1, x1, #0xc30
0xfffffff008df11e4: 70ffffb0  adrp	x16, #0xfffffff008dde000
0xfffffff008df11e8: 10d20e91  add	x16, x16, #0x3b4
0xfffffff008df11ec: 519081d2  mov	x17, #0xc82
0xfffffff008df11f0: 3002c1da  pacia	x16, x17
0xfffffff008df11f4: e00310aa  mov	x0, x16
0xfffffff008df11f8: e20315aa  mov	x2, x21
0xfffffff008df11fc: e30313aa  mov	x3, x19
0xfffffff008df1200: 04008052  mov	w4, #0
0xfffffff008df1204: 050080d2  mov	x5, #0
0xfffffff008df1208: 06008052  mov	w6, #0
0xfffffff008df120c: e70316aa  mov	x7, x22
0xfffffff008df1210: 88cbff97  bl	#0xfffffff008de4030
0xfffffff008df1214: f30300aa  mov	x19, x0
0xfffffff008df1218: 00050034  cbz	w0, #0xfffffff008df12b8
0xfffffff008df121c: 687e4093  sxtw	x8, w19
0xfffffff008df1220: 892a8052  mov	w9, #0x154
0xfffffff008df1224: 8a2efff0  adrp	x10, #0xfffffff0073c4000
0xfffffff008df1228: 4a593991  add	x10, x10, #0xe56
0xfffffff008df122c: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008df1230: 892efff0  adrp	x9, #0xfffffff0073c4000
0xfffffff008df1234: 29493991  add	x9, x9, #0xe52
0xfffffff008df1238: 8b2efff0  adrp	x11, #0xfffffff0073c4000
0xfffffff008df123c: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008df1240: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008df1244: eb0300f9  str	x11, [sp]
0xfffffff008df1248: 802efff0  adrp	x0, #0xfffffff0073c4000
0xfffffff008df124c: 00543891  add	x0, x0, #0xe15
0xfffffff008df1250: 7497d597  bl	#0xfffffff008357020
0xfffffff008df1254: c8088052  mov	w8, #0x46
0xfffffff008df1258: 19000014  b	#0xfffffff008df12bc
0xfffffff008df125c: bfc31cb8  stur	wzr, [x29, #-0x34]
0xfffffff008df1260: 88008052  mov	w8, #4
0xfffffff008df1264: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008df1268: e8c30091  add	x8, sp, #0x30
0xfffffff008df126c: e80300f9  str	x8, [sp]
0xfffffff008df1270: 61a800d0  adrp	x1, #0xfffffff00a2ff000
0xfffffff008df1274: 21c03091  add	x1, x1, #0xc30
0xfffffff008df1278: 70ffffb0  adrp	x16, #0xfffffff008dde000
0xfffffff008df127c: 10d20e91  add	x16, x16, #0x3b4
0xfffffff008df1280: 519081d2  mov	x17, #0xc82
0xfffffff008df1284: 3002c1da  pacia	x16, x17
0xfffffff008df1288: e00310aa  mov	x0, x16
0xfffffff008df128c: a7d300d1  sub	x7, x29, #0x34
0xfffffff008df1290: e20315aa  mov	x2, x21
0xfffffff008df1294: e30313aa  mov	x3, x19
0xfffffff008df1298: 24008052  mov	w4, #1
0xfffffff008df129c: 050080d2  mov	x5, #0
0xfffffff008df12a0: 06008052  mov	w6, #0
0xfffffff008df12a4: 63cbff97  bl	#0xfffffff008de4030
0xfffffff008df12a8: f30300aa  mov	x19, x0
0xfffffff008df12ac: 20050035  cbnz	w0, #0xfffffff008df1350
0xfffffff008df12b0: a8c35cb8  ldur	w8, [x29, #-0x34]
0xfffffff008df12b4: 880200f9  str	x8, [x20]
0xfffffff008df12b8: 48018052  mov	w8, #0xa
0xfffffff008df12bc: e9466c39  ldrb	w9, [x23, #0xb11]
0xfffffff008df12c0: 1f01096b  cmp	w8, w9
0xfffffff008df12c4: 83010054  b.lo	#0xfffffff008df12f4
