; Candidate 14273
; ADRP+ADD at VM 0xfffffff00975c6e8 (fileoff 0x27586e8): page=0xc2f000 add_imm=0xea8

0xfffffff00975c668: e00100b5  cbnz	x0, #0xfffffff00975c6a4
0xfffffff00975c66c: 900240f9  ldr	x16, [x20]
0xfffffff00975c670: f10314aa  mov	x17, x20
0xfffffff00975c674: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975c678: 301ac1da  autda	x16, x17
0xfffffff00975c67c: 114380d2  mov	x17, #0x218
0xfffffff00975c680: 1002118b  add	x16, x16, x17
0xfffffff00975c684: 080240f9  ldr	x8, [x16]
0xfffffff00975c688: e90310aa  mov	x9, x16
0xfffffff00975c68c: e00314aa  mov	x0, x20
0xfffffff00975c690: 010080d2  mov	x1, #0
0xfffffff00975c694: f10309aa  mov	x17, x9
0xfffffff00975c698: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00975c69c: 11093fd7  blraa	x8, x17
0xfffffff00975c6a0: fb0300aa  mov	x27, x0
0xfffffff00975c6a4: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff00975c6a8: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00975c6ac: f9ef01a9  stp	x25, x27, [sp, #0x18]
0xfffffff00975c6b0: e8f1feb0  adrp	x8, #0xfffffff007599000
0xfffffff00975c6b4: 08fd0791  add	x8, x8, #0x1ff
0xfffffff00975c6b8: e8df00a9  stp	x8, x23, [sp, #8]
0xfffffff00975c6bc: f80300f9  str	x24, [sp]
0xfffffff00975c6c0: 60f1fef0  adrp	x0, #0xfffffff00758b000
0xfffffff00975c6c4: 00802191  add	x0, x0, #0x860
0xfffffff00975c6c8: c125ffd0  adrp	x1, #0xfffffff007c16000
0xfffffff00975c6cc: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff00975c6d0: 63f2feb0  adrp	x3, #0xfffffff0075a9000
0xfffffff00975c6d4: 63dc1091  add	x3, x3, #0x437
0xfffffff00975c6d8: 22008052  mov	w2, #1
0xfffffff00975c6dc: 955aaf97  bl	#0xfffffff008333130
0xfffffff00975c6e0: b60a00f9  str	x22, [x21, #0x10]
0xfffffff00975c6e4: 8fffff17  b	#0xfffffff00975c520
0xfffffff00975c6e8: 606100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff00975c6ec: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975c6f0: 9a20ae97  bl	#0xfffffff0082e4958
0xfffffff00975c6f4: e00314aa  mov	x0, x20
0xfffffff00975c6f8: d930fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c6fc: c00100b5  cbnz	x0, #0xfffffff00975c734
0xfffffff00975c700: 900240f9  ldr	x16, [x20]
0xfffffff00975c704: f10314aa  mov	x17, x20
0xfffffff00975c708: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975c70c: 301ac1da  autda	x16, x17
0xfffffff00975c710: 113d80d2  mov	x17, #0x1e8
0xfffffff00975c714: 1002118b  add	x16, x16, x17
0xfffffff00975c718: 080240f9  ldr	x8, [x16]
0xfffffff00975c71c: e90310aa  mov	x9, x16
0xfffffff00975c720: e00314aa  mov	x0, x20
0xfffffff00975c724: 010080d2  mov	x1, #0
0xfffffff00975c728: f10309aa  mov	x17, x9
0xfffffff00975c72c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975c730: 11093fd7  blraa	x8, x17
0xfffffff00975c734: e00314aa  mov	x0, x20
0xfffffff00975c738: c930fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c73c: e00314aa  mov	x0, x20
0xfffffff00975c740: c730fd97  bl	#0xfffffff0096a8a5c
0xfffffff00975c744: f91f40f9  ldr	x25, [sp, #0x38]
0xfffffff00975c748: 7c6100f0  adrp	x28, #0xfffffff00a38b000
0xfffffff00975c74c: 9bf1feb0  adrp	x27, #0xfffffff00758d000
0xfffffff00975c750: 7bc73491  add	x27, x27, #0xd31
0xfffffff00975c754: c00100b5  cbnz	x0, #0xfffffff00975c78c
0xfffffff00975c758: 900240f9  ldr	x16, [x20]
0xfffffff00975c75c: f10314aa  mov	x17, x20
0xfffffff00975c760: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975c764: 301ac1da  autda	x16, x17
