; Candidate 9575
; ADRP+ADD at VM 0xfffffff008a755c0 (fileoff 0x1a715c0): page=0x186a000 add_imm=0xdc8

0xfffffff008a75540: 21008052  mov	w1, #1
0xfffffff008a75544: f10309aa  mov	x17, x9
0xfffffff008a75548: 11e0ebf2  movk	x17, #0x5f00, lsl #48
0xfffffff008a7554c: 11093fd7  blraa	x8, x17
0xfffffff008a75550: 1fb80071  cmp	w0, #0x2e
0xfffffff008a75554: 611a0054  b.ne	#0xfffffff008a758a0
0xfffffff008a75558: d00240f9  ldr	x16, [x22]
0xfffffff008a7555c: f10316aa  mov	x17, x22
0xfffffff008a75560: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a75564: 301ac1da  autda	x16, x17
0xfffffff008a75568: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff008a7556c: e90310aa  mov	x9, x16
0xfffffff008a75570: e00316aa  mov	x0, x22
0xfffffff008a75574: 61008052  mov	w1, #3
0xfffffff008a75578: f10309aa  mov	x17, x9
0xfffffff008a7557c: 11e0ebf2  movk	x17, #0x5f00, lsl #48
0xfffffff008a75580: 11093fd7  blraa	x8, x17
0xfffffff008a75584: 1fb80071  cmp	w0, #0x2e
0xfffffff008a75588: c1180054  b.ne	#0xfffffff008a758a0
0xfffffff008a7558c: d00240f9  ldr	x16, [x22]
0xfffffff008a75590: f10316aa  mov	x17, x22
0xfffffff008a75594: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a75598: 301ac1da  autda	x16, x17
0xfffffff008a7559c: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff008a755a0: e90310aa  mov	x9, x16
0xfffffff008a755a4: e00316aa  mov	x0, x22
0xfffffff008a755a8: 41008052  mov	w1, #2
0xfffffff008a755ac: f10309aa  mov	x17, x9
0xfffffff008a755b0: 11e0ebf2  movk	x17, #0x5f00, lsl #48
0xfffffff008a755b4: 11093fd7  blraa	x8, x17
0xfffffff008a755b8: 1fcc0071  cmp	w0, #0x33
0xfffffff008a755bc: 6a060054  b.ge	#0xfffffff008a75688
0xfffffff008a755c0: 40c300d0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a755c4: 00203791  add	x0, x0, #0xdc8
0xfffffff008a755c8: e4bce197  bl	#0xfffffff0082e4958
0xfffffff008a755cc: f50300aa  mov	x21, x0
0xfffffff008a755d0: 700240f9  ldr	x16, [x19]
0xfffffff008a755d4: f10313aa  mov	x17, x19
0xfffffff008a755d8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a755dc: 301ac1da  autda	x16, x17
0xfffffff008a755e0: 116e80d2  mov	x17, #0x370
0xfffffff008a755e4: 1002118b  add	x16, x16, x17
0xfffffff008a755e8: 080240f9  ldr	x8, [x16]
0xfffffff008a755ec: e90310aa  mov	x9, x16
0xfffffff008a755f0: e00313aa  mov	x0, x19
0xfffffff008a755f4: f10309aa  mov	x17, x9
0xfffffff008a755f8: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a755fc: 11093fd7  blraa	x8, x17
0xfffffff008a75600: 606800b4  cbz	x0, #0xfffffff008a7630c
0xfffffff008a75604: 700240f9  ldr	x16, [x19]
0xfffffff008a75608: f10313aa  mov	x17, x19
0xfffffff008a7560c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a75610: 301ac1da  autda	x16, x17
0xfffffff008a75614: 116e80d2  mov	x17, #0x370
0xfffffff008a75618: 1002118b  add	x16, x16, x17
0xfffffff008a7561c: 080240f9  ldr	x8, [x16]
0xfffffff008a75620: e90310aa  mov	x9, x16
0xfffffff008a75624: e00313aa  mov	x0, x19
0xfffffff008a75628: f10309aa  mov	x17, x9
0xfffffff008a7562c: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a75630: 11093fd7  blraa	x8, x17
0xfffffff008a75634: 100040f9  ldr	x16, [x0]
0xfffffff008a75638: f10300aa  mov	x17, x0
0xfffffff008a7563c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
