; Candidate 8448
; ADRP+ADD at VM 0xfffffff0088ab374 (fileoff 0x18a7374): page=0x1fe93e000 add_imm=0xe80

0xfffffff0088ab2f4: 00050034  cbz	w0, #0xfffffff0088ab394
0xfffffff0088ab2f8: c00f8052  mov	w0, #0x7e
0xfffffff0088ab2fc: 4741ff97  bl	#0xfffffff00887b818
0xfffffff0088ab300: f70300aa  mov	x23, x0
0xfffffff0088ab304: aa230094  bl	#0xfffffff0088b41ac
0xfffffff0088ab308: f60300aa  mov	x22, x0
0xfffffff0088ab30c: e0008052  mov	w0, #7
0xfffffff0088ab310: 5041ff97  bl	#0xfffffff00887b850
0xfffffff0088ab314: 97010034  cbz	w23, #0xfffffff0088ab344
0xfffffff0088ab318: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0088ab31c: 484cff90  adrp	x8, #0xfffffff007233000
0xfffffff0088ab320: 08211291  add	x8, x8, #0x488
0xfffffff0088ab324: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088ab328: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088ab32c: c80f8052  mov	w8, #0x7e
0xfffffff0088ab330: c04bffd0  adrp	x0, #0xfffffff007225000
0xfffffff0088ab334: 00042891  add	x0, x0, #0xa01
0xfffffff0088ab338: f62300a9  stp	x22, x8, [sp]
0xfffffff0088ab33c: 4930d497  bl	#0xfffffff007db7460
0xfffffff0088ab340: 15000014  b	#0xfffffff0088ab394
0xfffffff0088ab344: 9a230094  bl	#0xfffffff0088b41ac
0xfffffff0088ab348: f60300aa  mov	x22, x0
0xfffffff0088ab34c: e0008052  mov	w0, #7
0xfffffff0088ab350: 4041ff97  bl	#0xfffffff00887b850
0xfffffff0088ab354: e80315aa  mov	x8, x21
0xfffffff0088ab358: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0088ab35c: 484cff90  adrp	x8, #0xfffffff007233000
0xfffffff0088ab360: 08211291  add	x8, x8, #0x488
0xfffffff0088ab364: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088ab368: c80f8052  mov	w8, #0x7e
0xfffffff0088ab36c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ab370: f60300f9  str	x22, [sp]
0xfffffff0088ab374: e049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ab378: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ab37c: e18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ab380: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ab384: c34dff90  adrp	x3, #0xfffffff007263000
0xfffffff0088ab388: 63081991  add	x3, x3, #0x642
0xfffffff0088ab38c: 02008052  mov	w2, #0
0xfffffff0088ab390: 681fea97  bl	#0xfffffff008333130
0xfffffff0088ab394: e00315aa  mov	x0, x21
0xfffffff0088ab398: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088ab39c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088ab3a0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088ab3a4: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088ab3a8: ff030291  add	sp, sp, #0x80
0xfffffff0088ab3ac: ff0f5fd6  retab	
0xfffffff0088ab3b0: 7f2303d5  pacibsp	
0xfffffff0088ab3b4: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088ab3b8: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088ab3bc: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088ab3c0: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088ab3c4: fd830191  add	x29, sp, #0x60
0xfffffff0088ab3c8: f30300aa  mov	x19, x0
0xfffffff0088ab3cc: c00f8052  mov	w0, #0x7e
0xfffffff0088ab3d0: e1008052  mov	w1, #7
0xfffffff0088ab3d4: ff40ff97  bl	#0xfffffff00887b7d0
0xfffffff0088ab3d8: 40020034  cbz	w0, #0xfffffff0088ab420
0xfffffff0088ab3dc: c00f8052  mov	w0, #0x7e
0xfffffff0088ab3e0: 0e41ff97  bl	#0xfffffff00887b818
0xfffffff0088ab3e4: f50300aa  mov	x21, x0
0xfffffff0088ab3e8: 71230094  bl	#0xfffffff0088b41ac
0xfffffff0088ab3ec: f40300aa  mov	x20, x0
0xfffffff0088ab3f0: e0008052  mov	w0, #7
