; Candidate 4308
; ADRP+ADD at VM 0xfffffff00879e900 (fileoff 0x179a900): page=0x1fe993000 add_imm=0xd90

0xfffffff00879e880: 02000014  b	#0xfffffff00879e888
0xfffffff00879e884: 2b008052  mov	w11, #1
0xfffffff00879e888: 7f010071  cmp	w11, #0
0xfffffff00879e88c: f4079f1a  cset	w20, ne
0xfffffff00879e890: 02000014  b	#0xfffffff00879e898
0xfffffff00879e894: 14008052  mov	w20, #0
0xfffffff00879e898: 2821119b  madd	x8, x9, x17, x8
0xfffffff00879e89c: e08747ad  ldp	q0, q1, [sp, #0xf0]
0xfffffff00879e8a0: e28f48ad  ldp	q2, q3, [sp, #0x110]
0xfffffff00879e8a4: 020d01ad  stp	q2, q3, [x8, #0x20]
0xfffffff00879e8a8: 000500ad  stp	q0, q1, [x8]
0xfffffff00879e8ac: e08749ad  ldp	q0, q1, [sp, #0x130]
0xfffffff00879e8b0: e28f4aad  ldp	q2, q3, [sp, #0x150]
0xfffffff00879e8b4: 020d03ad  stp	q2, q3, [x8, #0x60]
0xfffffff00879e8b8: 000502ad  stp	q0, q1, [x8, #0x40]
0xfffffff00879e8bc: e0874bad  ldp	q0, q1, [sp, #0x170]
0xfffffff00879e8c0: e267c03d  ldr	q2, [sp, #0x190]
0xfffffff00879e8c4: e9a341b9  ldr	w9, [sp, #0x1a0]
0xfffffff00879e8c8: 09b100b9  str	w9, [x8, #0xb0]
0xfffffff00879e8cc: 018904ad  stp	q1, q2, [x8, #0x90]
0xfffffff00879e8d0: 0021803d  str	q0, [x8, #0x80]
0xfffffff00879e8d4: 5603142a  orr	w22, w26, w20
0xfffffff00879e8d8: df060071  cmp	w22, #1
0xfffffff00879e8dc: 21020054  b.ne	#0xfffffff00879e920
0xfffffff00879e8e0: 688245f9  ldr	x8, [x19, #0xb00]
0xfffffff00879e8e4: 014141b9  ldr	w1, [x8, #0x140]
0xfffffff00879e8e8: 006d40f9  ldr	x0, [x8, #0xd8]
0xfffffff00879e8ec: fea8fe97  bl	#0xfffffff008748ce4
0xfffffff00879e8f0: 80010034  cbz	w0, #0xfffffff00879e920
0xfffffff00879e8f4: 884dfff0  adrp	x8, #0xfffffff007151000
0xfffffff00879e8f8: 08491591  add	x8, x8, #0x552
0xfffffff00879e8fc: e80300a9  stp	x8, x0, [sp]
0xfffffff00879e900: 804cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879e904: 00403691  add	x0, x0, #0xd90
0xfffffff00879e908: e192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879e90c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879e910: 02008052  mov	w2, #0
0xfffffff00879e914: 634dff90  adrp	x3, #0xfffffff00714a000
0xfffffff00879e918: 637c0d91  add	x3, x3, #0x35f
0xfffffff00879e91c: 0552ee97  bl	#0xfffffff008333130
0xfffffff00879e920: 69d251f9  ldr	x9, [x19, #0x23a0]
0xfffffff00879e924: e8b341b9  ldr	w8, [sp, #0x1b0]
0xfffffff00879e928: 297968b8  ldr	w9, [x9, x8, lsl #2]
0xfffffff00879e92c: 3f010071  cmp	w9, #0
0xfffffff00879e930: e9079f1a  cset	w9, ne
0xfffffff00879e934: 29013a0a  bic	w9, w9, w26
0xfffffff00879e938: e9030037  tbnz	w9, #0, #0xfffffff00879e9b4
0xfffffff00879e93c: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff00879e940: 100040f9  ldr	x16, [x0]
0xfffffff00879e944: f10300aa  mov	x17, x0
0xfffffff00879e948: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff00879e94c: 301ac1da  autda	x16, x17
0xfffffff00879e950: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff00879e954: e90310aa  mov	x9, x16
0xfffffff00879e958: f10309aa  mov	x17, x9
0xfffffff00879e95c: 91a4f1f2  movk	x17, #0x8d24, lsl #48
0xfffffff00879e960: 11093fd7  blraa	x8, x17
0xfffffff00879e964: 68d251f9  ldr	x8, [x19, #0x23a0]
0xfffffff00879e968: e9b341b9  ldr	w9, [sp, #0x1b0]
0xfffffff00879e96c: 1f7929b8  str	wzr, [x8, x9, lsl #2]
0xfffffff00879e970: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff00879e974: 100040f9  ldr	x16, [x0]
0xfffffff00879e978: f10300aa  mov	x17, x0
0xfffffff00879e97c: f136f8f2  movk	x17, #0xc1b7, lsl #48
