; Candidate 725
; ADRP+ADD at VM 0xfffffff00805c860 (fileoff 0x1058860): page=0x1ff91b000 add_imm=0xdb0

0xfffffff00805c7e0: 7f0a0071  cmp	w19, #2
0xfffffff00805c7e4: 61010054  b.ne	#0xfffffff00805c810
0xfffffff00805c7e8: 1f0000a9  stp	xzr, x0, [x0]
0xfffffff00805c7ec: 1f1000b9  str	wzr, [x0, #0x10]
0xfffffff00805c7f0: 1f8000b9  str	wzr, [x0, #0x80]
0xfffffff00805c7f4: 1f3c00f9  str	xzr, [x0, #0x78]
0xfffffff00805c7f8: 1f9000b9  str	wzr, [x0, #0x90]
0xfffffff00805c7fc: 1f4400f9  str	xzr, [x0, #0x88]
0xfffffff00805c800: 1fa80039  strb	wzr, [x0, #0x2a]
0xfffffff00805c804: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00805c808: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00805c80c: ff0f5fd6  retab	
0xfffffff00805c810: 8080ffd0  adrp	x0, #0xfffffff00706e000
0xfffffff00805c814: 00781191  add	x0, x0, #0x45e
0xfffffff00805c818: 8180ffd0  adrp	x1, #0xfffffff00706e000
0xfffffff00805c81c: 21c41191  add	x1, x1, #0x471
0xfffffff00805c820: 02128052  mov	w2, #0x90
0xfffffff00805c824: fc0b1194  bl	#0xfffffff00849f814
0xfffffff00805c828: 7f2303d5  pacibsp	
0xfffffff00805c82c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00805c830: fd030091  mov	x29, sp
0xfffffff00805c834: 08a84039  ldrb	w8, [x0, #0x2a]
0xfffffff00805c838: 48020035  cbnz	w8, #0xfffffff00805c880
0xfffffff00805c83c: e10300aa  mov	x1, x0
0xfffffff00805c840: 080040f9  ldr	x8, [x0]
0xfffffff00805c844: a80200b5  cbnz	x8, #0xfffffff00805c898
0xfffffff00805c848: 28a04039  ldrb	w8, [x1, #0x28]
0xfffffff00805c84c: 89058052  mov	w9, #0x2c
0xfffffff00805c850: 1f01096a  tst	w8, w9
0xfffffff00805c854: e1020054  b.ne	#0xfffffff00805c8b0
0xfffffff00805c858: 281840b9  ldr	w8, [x1, #0x18]
0xfffffff00805c85c: 68030035  cbnz	w8, #0xfffffff00805c8c8
0xfffffff00805c860: c0c8fff0  adrp	x0, #0xfffffff007977000
0xfffffff00805c864: 00c03691  add	x0, x0, #0xdb0
0xfffffff00805c868: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00805c86c: ff2303d5  autibsp	
0xfffffff00805c870: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00805c874: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00805c87c
0xfffffff00805c878: 208e38d4  brk	#0xc471
0xfffffff00805c87c: e4b4f617  b	#0xfffffff007e09c0c
0xfffffff00805c880: 8080ffd0  adrp	x0, #0xfffffff00706e000
0xfffffff00805c884: 00f01291  add	x0, x0, #0x4bc
0xfffffff00805c888: 8180ffd0  adrp	x1, #0xfffffff00706e000
0xfffffff00805c88c: 21c41191  add	x1, x1, #0x471
0xfffffff00805c890: c2138052  mov	w2, #0x9e
0xfffffff00805c894: e00b1194  bl	#0xfffffff00849f814
0xfffffff00805c898: 8080ffd0  adrp	x0, #0xfffffff00706e000
0xfffffff00805c89c: 00381391  add	x0, x0, #0x4ce
0xfffffff00805c8a0: 8180ffd0  adrp	x1, #0xfffffff00706e000
0xfffffff00805c8a4: 21c41191  add	x1, x1, #0x471
0xfffffff00805c8a8: e2138052  mov	w2, #0x9f
0xfffffff00805c8ac: da0b1194  bl	#0xfffffff00849f814
0xfffffff00805c8b0: 8080ffd0  adrp	x0, #0xfffffff00706e000
0xfffffff00805c8b4: 00881391  add	x0, x0, #0x4e2
0xfffffff00805c8b8: 8180ffd0  adrp	x1, #0xfffffff00706e000
0xfffffff00805c8bc: 21c41191  add	x1, x1, #0x471
0xfffffff00805c8c0: 22148052  mov	w2, #0xa1
0xfffffff00805c8c4: d40b1194  bl	#0xfffffff00849f814
0xfffffff00805c8c8: 8080ffd0  adrp	x0, #0xfffffff00706e000
0xfffffff00805c8cc: 00803a91  add	x0, x0, #0xea0
0xfffffff00805c8d0: 8180ffd0  adrp	x1, #0xfffffff00706e000
0xfffffff00805c8d4: 21c41191  add	x1, x1, #0x471
0xfffffff00805c8d8: 42148052  mov	w2, #0xa2
0xfffffff00805c8dc: ce0b1194  bl	#0xfffffff00849f814
