; Candidate 5120
; ADRP+ADD at VM 0xfffffff0087d9df0 (fileoff 0x17d5df0): page=0x1fea10000 add_imm=0xe80

0xfffffff0087d9d70: 18020034  cbz	w24, #0xfffffff0087d9db0
0xfffffff0087d9d74: f5db03a9  stp	x21, x22, [sp, #0x38]
0xfffffff0087d9d78: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff0087d9d7c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087d9d80: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9d84: 09950791  add	x9, x8, #0x1e5
0xfffffff0087d9d88: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9d8c: 081d0291  add	x8, x8, #0x87
0xfffffff0087d9d90: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d9d94: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d9d98: 280a8052  mov	w8, #0x51
0xfffffff0087d9d9c: c051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087d9da0: 00c40691  add	x0, x0, #0x1b1
0xfffffff0087d9da4: f72300a9  stp	x23, x8, [sp]
0xfffffff0087d9da8: ae75d797  bl	#0xfffffff007db7460
0xfffffff0087d9dac: 19000014  b	#0xfffffff0087d9e10
0xfffffff0087d9db0: ff680394  bl	#0xfffffff0088b41ac
0xfffffff0087d9db4: f70300aa  mov	x23, x0
0xfffffff0087d9db8: 00018052  mov	w0, #8
0xfffffff0087d9dbc: a5860294  bl	#0xfffffff00887b850
0xfffffff0087d9dc0: e80316aa  mov	x8, x22
0xfffffff0087d9dc4: f5a303a9  stp	x21, x8, [sp, #0x38]
0xfffffff0087d9dc8: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff0087d9dcc: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0087d9dd0: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9dd4: 09950791  add	x9, x8, #0x1e5
0xfffffff0087d9dd8: c851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087d9ddc: 081d0291  add	x8, x8, #0x87
0xfffffff0087d9de0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d9de4: 280a8052  mov	w8, #0x51
0xfffffff0087d9de8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d9dec: f70300f9  str	x23, [sp]
0xfffffff0087d9df0: 8050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d9df4: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d9df8: 6191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d9dfc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d9e00: 0353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d9e04: 63203a91  add	x3, x3, #0xe88
0xfffffff0087d9e08: 02008052  mov	w2, #0
0xfffffff0087d9e0c: c964ed97  bl	#0xfffffff008333130
0xfffffff0087d9e10: e00316aa  mov	x0, x22
0xfffffff0087d9e14: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0087d9e18: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0087d9e1c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0087d9e20: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0087d9e24: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0087d9e28: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0087d9e2c: ffc30291  add	sp, sp, #0xb0
0xfffffff0087d9e30: ff0f5fd6  retab	
0xfffffff0087d9e34: 7f2303d5  pacibsp	
0xfffffff0087d9e38: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0087d9e3c: fc6f07a9  stp	x28, x27, [sp, #0x70]
0xfffffff0087d9e40: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff0087d9e44: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0087d9e48: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0087d9e4c: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0087d9e50: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff0087d9e54: fd030391  add	x29, sp, #0xc0
0xfffffff0087d9e58: f80305aa  mov	x24, x5
0xfffffff0087d9e5c: f70304aa  mov	x23, x4
0xfffffff0087d9e60: f60303aa  mov	x22, x3
0xfffffff0087d9e64: f50302aa  mov	x21, x2
0xfffffff0087d9e68: f40301aa  mov	x20, x1
0xfffffff0087d9e6c: f30300aa  mov	x19, x0
