; Candidate 12276
; ADRP+ADD at VM 0xfffffff009081e14 (fileoff 0x207de14): page=0x1fe3d8000 add_imm=0xe24

0xfffffff009081d94: 69000034  cbz	w9, #0xfffffff009081da0
0xfffffff009081d98: 690a4139  ldrb	w9, [x19, #0x42]
0xfffffff009081d9c: 89000034  cbz	w9, #0xfffffff009081dac
0xfffffff009081da0: 69424139  ldrb	w9, [x19, #0x50]
0xfffffff009081da4: 3f050071  cmp	w9, #1
0xfffffff009081da8: c0000054  b.eq	#0xfffffff009081dc0
0xfffffff009081dac: 02008052  mov	w2, #0
0xfffffff009081db0: 69ea5339  ldrb	w9, [x19, #0x4fa]
0xfffffff009081db4: 3f050071  cmp	w9, #1
0xfffffff009081db8: 61000054  b.ne	#0xfffffff009081dc4
0xfffffff009081dbc: 48000035  cbnz	w8, #0xfffffff009081dc4
0xfffffff009081dc0: 62865539  ldrb	w2, [x19, #0x561]
0xfffffff009081dc4: e00313aa  mov	x0, x19
0xfffffff009081dc8: e10314aa  mov	x1, x20
0xfffffff009081dcc: ed0a0094  bl	#0xfffffff009084980
0xfffffff009081dd0: 60090035  cbnz	w0, #0xfffffff009081efc
0xfffffff009081dd4: e00313aa  mov	x0, x19
0xfffffff009081dd8: f70b0094  bl	#0xfffffff009084db4
0xfffffff009081ddc: f40300aa  mov	x20, x0
0xfffffff009081de0: 000b0035  cbnz	w0, #0xfffffff009081f40
0xfffffff009081de4: 48018052  mov	w8, #0xa
0xfffffff009081de8: e9024039  ldrb	w9, [x23]
0xfffffff009081dec: 1f01096b  cmp	w8, w9
0xfffffff009081df0: 83010054  b.lo	#0xfffffff009081e20
0xfffffff009081df4: e80314aa  mov	x8, x20
0xfffffff009081df8: 087d4093  sxtw	x8, w8
0xfffffff009081dfc: c91effb0  adrp	x9, #0xfffffff00745a000
0xfffffff009081e00: 29b12791  add	x9, x9, #0x9ec
0xfffffff009081e04: ca1eff90  adrp	x10, #0xfffffff007459000
0xfffffff009081e08: 4a2d3f91  add	x10, x10, #0xfcb
0xfffffff009081e0c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009081e10: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009081e14: c01eff90  adrp	x0, #0xfffffff007459000
0xfffffff009081e18: 00903891  add	x0, x0, #0xe24
0xfffffff009081e1c: 8154cb97  bl	#0xfffffff008357020
0xfffffff009081e20: e00314aa  mov	x0, x20
0xfffffff009081e24: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009081e28: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009081e2c: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009081e30: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009081e34: ffc30191  add	sp, sp, #0x70
0xfffffff009081e38: ff0f5fd6  retab	
0xfffffff009081e3c: e00313aa  mov	x0, x19
0xfffffff009081e40: d7090094  bl	#0xfffffff00908459c
0xfffffff009081e44: e00313aa  mov	x0, x19
0xfffffff009081e48: 61008052  mov	w1, #3
0xfffffff009081e4c: fb090094  bl	#0xfffffff009084638
0xfffffff009081e50: b5f91737  tbnz	w21, #2, #0xfffffff009081d84
0xfffffff009081e54: ceffff17  b	#0xfffffff009081d8c
0xfffffff009081e58: 888a8052  mov	w8, #0x454
0xfffffff009081e5c: c91eff90  adrp	x9, #0xfffffff007459000
0xfffffff009081e60: 29493f91  add	x9, x9, #0xfd2
0xfffffff009081e64: e81300f9  str	x8, [sp, #0x20]
0xfffffff009081e68: c81effb0  adrp	x8, #0xfffffff00745a000
0xfffffff009081e6c: 08552591  add	x8, x8, #0x955
0xfffffff009081e70: ca1effb0  adrp	x10, #0xfffffff00745a000
0xfffffff009081e74: 4add2491  add	x10, x10, #0x937
0xfffffff009081e78: 09000014  b	#0xfffffff009081e9c
0xfffffff009081e7c: a88a8052  mov	w8, #0x455
0xfffffff009081e80: c91eff90  adrp	x9, #0xfffffff007459000
0xfffffff009081e84: 29493f91  add	x9, x9, #0xfd2
0xfffffff009081e88: e81300f9  str	x8, [sp, #0x20]
0xfffffff009081e8c: c81effb0  adrp	x8, #0xfffffff00745a000
0xfffffff009081e90: 08312691  add	x8, x8, #0x98c
