; Candidate 3833
; ADRP+ADD at VM 0xfffffff008768c04 (fileoff 0x1764c04): page=0x1fe9c9000 add_imm=0xd90

0xfffffff008768b84: 080140b9  ldr	w8, [x8]
0xfffffff008768b88: a9c355b8  ldur	w9, [x29, #-0xa4]
0xfffffff008768b8c: 0901090b  add	w9, w8, w9
0xfffffff008768b90: 2909c81a  udiv	w9, w9, w8
0xfffffff008768b94: eb8740b9  ldr	w11, [sp, #0x84]
0xfffffff008768b98: 5a030b0b  add	w26, w26, w11
0xfffffff008768b9c: 3f010a6b  cmp	w9, w10
0xfffffff008768ba0: 82110054  b.hs	#0xfffffff008768dd0
0xfffffff008768ba4: ea6f40b9  ldr	w10, [sp, #0x6c]
0xfffffff008768ba8: 2829081b  madd	w8, w9, w8, w10
0xfffffff008768bac: a8c315b8  stur	w8, [x29, #-0xa4]
0xfffffff008768bb0: a84355b8  ldur	w8, [x29, #-0xac]
0xfffffff008768bb4: 48320034  cbz	w8, #0xfffffff0087691fc
0xfffffff008768bb8: ff8700b9  str	wzr, [sp, #0x84]
0xfffffff008768bbc: a90302d1  sub	x9, x29, #0x80
0xfffffff008768bc0: 285977b8  ldr	w8, [x9, w23, uxtw #2]
0xfffffff008768bc4: 3f5937b8  str	wzr, [x9, w23, uxtw #2]
0xfffffff008768bc8: 1f010071  cmp	w8, #0
0xfffffff008768bcc: 08098052  mov	w8, #0x48
0xfffffff008768bd0: 09018052  mov	w9, #8
0xfffffff008768bd4: 3501881a  csel	w21, w9, w8, eq
0xfffffff008768bd8: 8d000014  b	#0xfffffff008768e0c
0xfffffff008768bdc: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff008768be0: 150940f9  ldr	x21, [x8, #0x10]
0xfffffff008768be4: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff008768be8: 0941388b  add	x9, x8, w24, uxtw
0xfffffff008768bec: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008768bf0: c90100b4  cbz	x9, #0xfffffff008768c28
0xfffffff008768bf4: 89d18052  mov	w9, #0x68c
0xfffffff008768bf8: 284ffff0  adrp	x8, #0xfffffff00714f000
0xfffffff008768bfc: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008768c00: e82700a9  stp	x8, x9, [sp]
0xfffffff008768c04: 404effb0  adrp	x0, #0xfffffff007131000
0xfffffff008768c08: 00403691  add	x0, x0, #0xd90
0xfffffff008768c0c: a194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008768c10: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008768c14: 02008052  mov	w2, #0
0xfffffff008768c18: c34effd0  adrp	x3, #0xfffffff007142000
0xfffffff008768c1c: 63342491  add	x3, x3, #0x90d
0xfffffff008768c20: 4429ef97  bl	#0xfffffff008333130
0xfffffff008768c24: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff008768c28: 0903080b  add	w9, w24, w8
0xfffffff008768c2c: aa0209ab  adds	x10, x21, x9
0xfffffff008768c30: 02360054  b.hs	#0xfffffff0087692f0
0xfffffff008768c34: eb03182a  mov	w11, w24
0xfffffff008768c38: 4aa560d3  ubfx	x10, x10, #0x20, #0xa
0xfffffff008768c3c: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff008768c40: aa8356f8  ldur	x10, [x29, #-0x98]
0xfffffff008768c44: 550940f9  ldr	x21, [x10, #0x10]
0xfffffff008768c48: 08010b8b  add	x8, x8, x11
0xfffffff008768c4c: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff008768c50: e80100b4  cbz	x8, #0xfffffff008768c8c
0xfffffff008768c54: a9d18052  mov	w9, #0x68d
0xfffffff008768c58: 284ffff0  adrp	x8, #0xfffffff00714f000
0xfffffff008768c5c: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008768c60: e82700a9  stp	x8, x9, [sp]
0xfffffff008768c64: 404effb0  adrp	x0, #0xfffffff007131000
0xfffffff008768c68: 00403691  add	x0, x0, #0xd90
0xfffffff008768c6c: a194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008768c70: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008768c74: 02008052  mov	w2, #0
0xfffffff008768c78: c34effd0  adrp	x3, #0xfffffff007142000
0xfffffff008768c7c: 63042591  add	x3, x3, #0x941
0xfffffff008768c80: 2c29ef97  bl	#0xfffffff008333130
