; Candidate 9553
; ADRP+ADD at VM 0xfffffff008a725d4 (fileoff 0x1a6e5d4): page=0x186d000 add_imm=0xd78

0xfffffff008a72554: 350d0034  cbz	w21, #0xfffffff008a726f8
0xfffffff008a72558: 28a09052  mov	w8, #0x8501
0xfffffff008a7255c: e87fbc72  movk	w8, #0xe3ff, lsl #16
0xfffffff008a72560: 37008052  mov	w23, #1
0xfffffff008a72564: 14050411  add	w20, w8, #0x101
0xfffffff008a72568: a802c05a  rbit	w8, w21
0xfffffff008a7256c: 0811c05a  clz	w8, w8
0xfffffff008a72570: e922c81a  lsl	w9, w23, w8
0xfffffff008a72574: b502290a  bic	w21, w21, w9
0xfffffff008a72578: bf831bf8  stur	xzr, [x29, #-0x48]
0xfffffff008a7257c: a8831bb8  stur	w8, [x29, #-0x48]
0xfffffff008a72580: c8024039  ldrb	w8, [x22]
0xfffffff008a72584: 3f01086a  tst	w9, w8
0xfffffff008a72588: e8079f1a  cset	w8, ne
0xfffffff008a7258c: a8c31b38  sturb	w8, [x29, #-0x44]
0xfffffff008a72590: 700240f9  ldr	x16, [x19]
0xfffffff008a72594: f10313aa  mov	x17, x19
0xfffffff008a72598: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a7259c: 301ac1da  autda	x16, x17
0xfffffff008a725a0: 118680d2  mov	x17, #0x430
0xfffffff008a725a4: 1002118b  add	x16, x16, x17
0xfffffff008a725a8: 080240f9  ldr	x8, [x16]
0xfffffff008a725ac: e90310aa  mov	x9, x16
0xfffffff008a725b0: a22301d1  sub	x2, x29, #0x48
0xfffffff008a725b4: e00313aa  mov	x0, x19
0xfffffff008a725b8: e10314aa  mov	x1, x20
0xfffffff008a725bc: 03018052  mov	w3, #8
0xfffffff008a725c0: f10309aa  mov	x17, x9
0xfffffff008a725c4: 9178ecf2  movk	x17, #0x63c4, lsl #48
0xfffffff008a725c8: 11093fd7  blraa	x8, x17
0xfffffff008a725cc: f5fcff35  cbnz	w21, #0xfffffff008a72568
0xfffffff008a725d0: 4a000014  b	#0xfffffff008a726f8
0xfffffff008a725d4: 60c300b0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a725d8: 00e03591  add	x0, x0, #0xd78
0xfffffff008a725dc: dfc8e197  bl	#0xfffffff0082e4958
0xfffffff008a725e0: f60300aa  mov	x22, x0
0xfffffff008a725e4: 700240f9  ldr	x16, [x19]
0xfffffff008a725e8: f10313aa  mov	x17, x19
0xfffffff008a725ec: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a725f0: 301ac1da  autda	x16, x17
0xfffffff008a725f4: 116e80d2  mov	x17, #0x370
0xfffffff008a725f8: 1002118b  add	x16, x16, x17
0xfffffff008a725fc: 080240f9  ldr	x8, [x16]
0xfffffff008a72600: e90310aa  mov	x9, x16
0xfffffff008a72604: e00313aa  mov	x0, x19
0xfffffff008a72608: f10309aa  mov	x17, x9
0xfffffff008a7260c: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a72610: 11093fd7  blraa	x8, x17
0xfffffff008a72614: 400300b4  cbz	x0, #0xfffffff008a7267c
0xfffffff008a72618: 700240f9  ldr	x16, [x19]
0xfffffff008a7261c: f10313aa  mov	x17, x19
0xfffffff008a72620: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a72624: 301ac1da  autda	x16, x17
0xfffffff008a72628: 116e80d2  mov	x17, #0x370
0xfffffff008a7262c: 1002118b  add	x16, x16, x17
0xfffffff008a72630: 080240f9  ldr	x8, [x16]
0xfffffff008a72634: e90310aa  mov	x9, x16
0xfffffff008a72638: e00313aa  mov	x0, x19
0xfffffff008a7263c: f10309aa  mov	x17, x9
0xfffffff008a72640: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff008a72644: 11093fd7  blraa	x8, x17
0xfffffff008a72648: 100040f9  ldr	x16, [x0]
0xfffffff008a7264c: f10300aa  mov	x17, x0
0xfffffff008a72650: 31b4f9f2  movk	x17, #0xcda1, lsl #48
