; Candidate 12145
; ADRP+ADD at VM 0xfffffff00901e894 (fileoff 0x201a894): page=0x1feb1e000 add_imm=0xe40

0xfffffff00901e814: 10a20391  add	x16, x16, #0xe8
0xfffffff00901e818: 10420091  add	x16, x16, #0x10
0xfffffff00901e81c: f10300aa  mov	x17, x0
0xfffffff00901e820: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00901e824: 300ac1da  pacda	x16, x17
0xfffffff00901e828: 100000f9  str	x16, [x0]
0xfffffff00901e82c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00901e830: ff0f5fd6  retab	
0xfffffff00901e834: 5f2403d5  bti	c
0xfffffff00901e838: 90d6cf17  b	#0xfffffff008414278
0xfffffff00901e83c: 5f2403d5  bti	c
0xfffffff00901e840: 8ed6cf17  b	#0xfffffff008414278
0xfffffff00901e844: 7f2303d5  pacibsp	
0xfffffff00901e848: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00901e84c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00901e850: fd430091  add	x29, sp, #0x10
0xfffffff00901e854: f30300aa  mov	x19, x0
0xfffffff00901e858: 88d6cf97  bl	#0xfffffff008414278
0xfffffff00901e85c: e058ffd0  adrp	x0, #0xfffffff007b3c000
0xfffffff00901e860: 00003991  add	x0, x0, #0xe40
0xfffffff00901e864: e10313aa  mov	x1, x19
0xfffffff00901e868: 02178052  mov	w2, #0xb8
0xfffffff00901e86c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00901e870: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00901e874: ff2303d5  autibsp	
0xfffffff00901e878: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00901e87c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00901e884
0xfffffff00901e880: 208e38d4  brk	#0xc471
0xfffffff00901e884: 8623cb17  b	#0xfffffff0082e769c
0xfffffff00901e888: 5f2403d5  bti	c
0xfffffff00901e88c: e20301aa  mov	x2, x1
0xfffffff00901e890: e10300aa  mov	x1, x0
0xfffffff00901e894: e058ffd0  adrp	x0, #0xfffffff007b3c000
0xfffffff00901e898: 00003991  add	x0, x0, #0xe40
0xfffffff00901e89c: 8023cb17  b	#0xfffffff0082e769c
0xfffffff00901e8a0: 5f2403d5  bti	c
0xfffffff00901e8a4: 609700f0  adrp	x0, #0xfffffff00a30d000
0xfffffff00901e8a8: 00c03c91  add	x0, x0, #0xf30
0xfffffff00901e8ac: c0035fd6  ret	
0xfffffff00901e8b0: 7f2303d5  pacibsp	
0xfffffff00901e8b4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00901e8b8: fd030091  mov	x29, sp
0xfffffff00901e8bc: 2121ff90  adrp	x1, #0xfffffff007442000
0xfffffff00901e8c0: 21ec2b91  add	x1, x1, #0xafb
0xfffffff00901e8c4: c258ff90  adrp	x2, #0xfffffff007b36000
0xfffffff00901e8c8: 429444f9  ldr	x2, [x2, #0x928]
0xfffffff00901e8cc: 03178052  mov	w3, #0xb8
0xfffffff00901e8d0: 9a14cb97  bl	#0xfffffff0082e3b38
0xfffffff00901e8d4: f058ffd0  adrp	x16, #0xfffffff007b3c000
0xfffffff00901e8d8: 10420891  add	x16, x16, #0x210
0xfffffff00901e8dc: 10420091  add	x16, x16, #0x10
0xfffffff00901e8e0: f10300aa  mov	x17, x0
0xfffffff00901e8e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00901e8e8: 300ac1da  pacda	x16, x17
0xfffffff00901e8ec: 100000f9  str	x16, [x0]
0xfffffff00901e8f0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00901e8f4: ff0f5fd6  retab	
0xfffffff00901e8f8: 7f2303d5  pacibsp	
0xfffffff00901e8fc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00901e900: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00901e904: fd430091  add	x29, sp, #0x10
0xfffffff00901e908: e058ffd0  adrp	x0, #0xfffffff007b3c000
0xfffffff00901e90c: 00003991  add	x0, x0, #0xe40
0xfffffff00901e910: 01178052  mov	w1, #0xb8
