; Candidate 14299
; ADRP+ADD at VM 0xfffffff009760070 (fileoff 0x275c070): page=0xc2b000 add_imm=0xea8

0xfffffff00975fff0: c00100b5  cbnz	x0, #0xfffffff009760028
0xfffffff00975fff4: 700240f9  ldr	x16, [x19]
0xfffffff00975fff8: f10313aa  mov	x17, x19
0xfffffff00975fffc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009760000: 301ac1da  autda	x16, x17
0xfffffff009760004: 113d80d2  mov	x17, #0x1e8
0xfffffff009760008: 1002118b  add	x16, x16, x17
0xfffffff00976000c: 080240f9  ldr	x8, [x16]
0xfffffff009760010: e90310aa  mov	x9, x16
0xfffffff009760014: e00313aa  mov	x0, x19
0xfffffff009760018: 010080d2  mov	x1, #0
0xfffffff00976001c: f10309aa  mov	x17, x9
0xfffffff009760020: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009760024: 11093fd7  blraa	x8, x17
0xfffffff009760028: e00313aa  mov	x0, x19
0xfffffff00976002c: 8c22fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760030: e00313aa  mov	x0, x19
0xfffffff009760034: 8a22fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760038: c00100b5  cbnz	x0, #0xfffffff009760070
0xfffffff00976003c: 700240f9  ldr	x16, [x19]
0xfffffff009760040: f10313aa  mov	x17, x19
0xfffffff009760044: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009760048: 301ac1da  autda	x16, x17
0xfffffff00976004c: 114380d2  mov	x17, #0x218
0xfffffff009760050: 1002118b  add	x16, x16, x17
0xfffffff009760054: 080240f9  ldr	x8, [x16]
0xfffffff009760058: e90310aa  mov	x9, x16
0xfffffff00976005c: e00313aa  mov	x0, x19
0xfffffff009760060: 010080d2  mov	x1, #0
0xfffffff009760064: f10309aa  mov	x17, x9
0xfffffff009760068: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff00976006c: 11093fd7  blraa	x8, x17
0xfffffff009760070: 406100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff009760074: 00a03a91  add	x0, x0, #0xea8
0xfffffff009760078: 3812ae97  bl	#0xfffffff0082e4958
0xfffffff00976007c: f60300aa  mov	x22, x0
0xfffffff009760080: e00313aa  mov	x0, x19
0xfffffff009760084: 7622fd97  bl	#0xfffffff0096a8a5c
0xfffffff009760088: f70300aa  mov	x23, x0
0xfffffff00976008c: e00100b5  cbnz	x0, #0xfffffff0097600c8
0xfffffff009760090: 700240f9  ldr	x16, [x19]
0xfffffff009760094: f10313aa  mov	x17, x19
0xfffffff009760098: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00976009c: 301ac1da  autda	x16, x17
0xfffffff0097600a0: 113d80d2  mov	x17, #0x1e8
0xfffffff0097600a4: 1002118b  add	x16, x16, x17
0xfffffff0097600a8: 080240f9  ldr	x8, [x16]
0xfffffff0097600ac: e90310aa  mov	x9, x16
0xfffffff0097600b0: e00313aa  mov	x0, x19
0xfffffff0097600b4: 010080d2  mov	x1, #0
0xfffffff0097600b8: f10309aa  mov	x17, x9
0xfffffff0097600bc: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097600c0: 11093fd7  blraa	x8, x17
0xfffffff0097600c4: f70300aa  mov	x23, x0
0xfffffff0097600c8: e00313aa  mov	x0, x19
0xfffffff0097600cc: 6422fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097600d0: 78f1feb0  adrp	x24, #0xfffffff00758d000
0xfffffff0097600d4: 18c73491  add	x24, x24, #0xd31
0xfffffff0097600d8: 68f1feb0  adrp	x8, #0xfffffff00758d000
0xfffffff0097600dc: 08c93491  add	x8, x8, #0xd32
0xfffffff0097600e0: 1f0000f1  cmp	x0, #0
0xfffffff0097600e4: 1901989a  csel	x25, x8, x24, eq
0xfffffff0097600e8: e00313aa  mov	x0, x19
0xfffffff0097600ec: 5c22fd97  bl	#0xfffffff0096a8a5c
