; Candidate 10607
; ADRP+ADD at VM 0xfffffff008ddf6d0 (fileoff 0x1ddb6d0): page=0x1fe5e5000 add_imm=0xe15

0xfffffff008ddf650: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008ddf654: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf658: 00503591  add	x0, x0, #0xd54
0xfffffff008ddf65c: 71ded597  bl	#0xfffffff008357020
0xfffffff008ddf660: e00313aa  mov	x0, x19
0xfffffff008ddf664: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008ddf668: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008ddf66c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff008ddf670: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008ddf674: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff008ddf678: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff008ddf67c: ff430291  add	sp, sp, #0x90
0xfffffff008ddf680: ff0f5fd6  retab	
0xfffffff008ddf684: 48178052  mov	w8, #0xba
0xfffffff008ddf688: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf68c: 29490d91  add	x9, x9, #0x352
0xfffffff008ddf690: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ddf694: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf698: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf69c: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf6a0: 4aad1a91  add	x10, x10, #0x6ab
0xfffffff008ddf6a4: 09000014  b	#0xfffffff008ddf6c8
0xfffffff008ddf6a8: 68178052  mov	w8, #0xbb
0xfffffff008ddf6ac: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf6b0: 29490d91  add	x9, x9, #0x352
0xfffffff008ddf6b4: e81300f9  str	x8, [sp, #0x20]
0xfffffff008ddf6b8: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf6bc: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf6c0: 2a2fffb0  adrp	x10, #0xfffffff0073c4000
0xfffffff008ddf6c4: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008ddf6c8: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008ddf6cc: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008ddf6d0: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf6d4: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf6d8: 52ded597  bl	#0xfffffff008357020
0xfffffff008ddf6dc: c8088052  mov	w8, #0x46
0xfffffff008ddf6e0: 53008012  mov	w19, #-3
0xfffffff008ddf6e4: d5ffff17  b	#0xfffffff008ddf638
0xfffffff008ddf6e8: f40300aa  mov	x20, x0
0xfffffff008ddf6ec: 887e4093  sxtw	x8, w20
0xfffffff008ddf6f0: c9178052  mov	w9, #0xbe
0xfffffff008ddf6f4: 0a2fffd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008ddf6f8: 4a490d91  add	x10, x10, #0x352
0xfffffff008ddf6fc: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008ddf700: 292fffb0  adrp	x9, #0xfffffff0073c4000
0xfffffff008ddf704: 29493991  add	x9, x9, #0xe52
0xfffffff008ddf708: 2b2fffb0  adrp	x11, #0xfffffff0073c4000
0xfffffff008ddf70c: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008ddf710: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddf714: eb0300f9  str	x11, [sp]
0xfffffff008ddf718: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf71c: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf720: 40ded597  bl	#0xfffffff008357020
0xfffffff008ddf724: c8088052  mov	w8, #0x46
0xfffffff008ddf728: f30314aa  mov	x19, x20
0xfffffff008ddf72c: c3ffff17  b	#0xfffffff008ddf638
0xfffffff008ddf730: 28188052  mov	w8, #0xc1
0xfffffff008ddf734: f7a301a9  stp	x23, x8, [sp, #0x18]
0xfffffff008ddf738: 282fffb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008ddf73c: 08493991  add	x8, x8, #0xe52
0xfffffff008ddf740: 092fffd0  adrp	x9, #0xfffffff0073c1000
0xfffffff008ddf744: 293d1b91  add	x9, x9, #0x6cf
0xfffffff008ddf748: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008ddf74c: e90300f9  str	x9, [sp]
