; Candidate 16798
; ADRP+ADD at VM 0xfffffff009f660a8 (fileoff 0x2f620a8): page=0x1fd902000 add_imm=0xd9f

0xfffffff009f66028: 1002118b  add	x16, x16, x17
0xfffffff009f6602c: 080240f9  ldr	x8, [x16]
0xfffffff009f66030: e90310aa  mov	x9, x16
0xfffffff009f66034: e10313aa  mov	x1, x19
0xfffffff009f66038: f10309aa  mov	x17, x9
0xfffffff009f6603c: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff009f66040: 11093fd7  blraa	x8, x17
0xfffffff009f66044: e10319aa  mov	x1, x25
0xfffffff009f66048: 2bf78d97  bl	#0xfffffff0082e3cf4
0xfffffff009f6604c: c00800b4  cbz	x0, #0xfffffff009f66164
0xfffffff009f66050: fc0300aa  mov	x28, x0
0xfffffff009f66054: 100040f9  ldr	x16, [x0]
0xfffffff009f66058: f10300aa  mov	x17, x0
0xfffffff009f6605c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f66060: 301ac1da  autda	x16, x17
0xfffffff009f66064: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009f66068: e90310aa  mov	x9, x16
0xfffffff009f6606c: f10309aa  mov	x17, x9
0xfffffff009f66070: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009f66074: 11093fd7  blraa	x8, x17
0xfffffff009f66078: fa0300aa  mov	x26, x0
0xfffffff009f6607c: 900340f9  ldr	x16, [x28]
0xfffffff009f66080: f1031caa  mov	x17, x28
0xfffffff009f66084: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f66088: 301ac1da  autda	x16, x17
0xfffffff009f6608c: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff009f66090: e90310aa  mov	x9, x16
0xfffffff009f66094: e0031caa  mov	x0, x28
0xfffffff009f66098: f10309aa  mov	x17, x9
0xfffffff009f6609c: f1d8f5f2  movk	x17, #0xaec7, lsl #48
0xfffffff009f660a0: 11093fd7  blraa	x8, x17
0xfffffff009f660a4: e203002a  mov	w2, w0
0xfffffff009f660a8: 00c8fed0  adrp	x0, #0xfffffff007868000
0xfffffff009f660ac: 007c3691  add	x0, x0, #0xd9f
0xfffffff009f660b0: e1031aaa  mov	x1, x26
0xfffffff009f660b4: 77dd7797  bl	#0xfffffff007d5d690
0xfffffff009f660b8: 80050034  cbz	w0, #0xfffffff009f66168
0xfffffff009f660bc: 900340f9  ldr	x16, [x28]
0xfffffff009f660c0: f1031caa  mov	x17, x28
0xfffffff009f660c4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f660c8: 301ac1da  autda	x16, x17
0xfffffff009f660cc: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009f660d0: e90310aa  mov	x9, x16
0xfffffff009f660d4: e0031caa  mov	x0, x28
0xfffffff009f660d8: f10309aa  mov	x17, x9
0xfffffff009f660dc: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009f660e0: 11093fd7  blraa	x8, x17
0xfffffff009f660e4: fa0300aa  mov	x26, x0
0xfffffff009f660e8: 900340f9  ldr	x16, [x28]
0xfffffff009f660ec: f1031caa  mov	x17, x28
0xfffffff009f660f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f660f4: 301ac1da  autda	x16, x17
0xfffffff009f660f8: 080e49f8  ldr	x8, [x16, #0x90]!
0xfffffff009f660fc: e90310aa  mov	x9, x16
0xfffffff009f66100: e0031caa  mov	x0, x28
0xfffffff009f66104: f10309aa  mov	x17, x9
0xfffffff009f66108: f1d8f5f2  movk	x17, #0xaec7, lsl #48
0xfffffff009f6610c: 11093fd7  blraa	x8, x17
0xfffffff009f66110: e203002a  mov	w2, w0
0xfffffff009f66114: 00c8fed0  adrp	x0, #0xfffffff007868000
0xfffffff009f66118: 00940d91  add	x0, x0, #0x365
0xfffffff009f6611c: e1031aaa  mov	x1, x26
0xfffffff009f66120: 5cdd7797  bl	#0xfffffff007d5d690
0xfffffff009f66124: 20020034  cbz	w0, #0xfffffff009f66168
