; Candidate 4389
; ADRP+ADD at VM 0xfffffff0087ad3e0 (fileoff 0x17a93e0): page=0x1fe984000 add_imm=0xd90

0xfffffff0087ad360: e88700b9  str	w8, [sp, #0x84]
0xfffffff0087ad364: df3e0071  cmp	w22, #0xf
0xfffffff0087ad368: 88058052  mov	w8, #0x2c
0xfffffff0087ad36c: 090b8052  mov	w9, #0x58
0xfffffff0087ad370: 2801881a  csel	w8, w9, w8, eq
0xfffffff0087ad374: e86300b9  str	w8, [sp, #0x60]
0xfffffff0087ad378: f7030baa  mov	x23, x11
0xfffffff0087ad37c: c87d0b1b  mul	w8, w14, w11
0xfffffff0087ad380: 087d0353  lsr	w8, w8, #3
0xfffffff0087ad384: 5f010071  cmp	w10, #0
0xfffffff0087ad388: 08118e1a  csel	w8, w8, w14, ne
0xfffffff0087ad38c: e85b00b9  str	w8, [sp, #0x58]
0xfffffff0087ad390: 28070051  sub	w8, w25, #1
0xfffffff0087ad394: 7f0208eb  cmp	x19, x8
0xfffffff0087ad398: a1000054  b.ne	#0xfffffff0087ad3ac
0xfffffff0087ad39c: b6021c4b  sub	w22, w21, w28
0xfffffff0087ad3a0: eb3f40f9  ldr	x11, [sp, #0x78]
0xfffffff0087ad3a4: ae4359b8  ldur	w14, [x29, #-0x6c]
0xfffffff0087ad3a8: 08000014  b	#0xfffffff0087ad3c8
0xfffffff0087ad3ac: eb3f40f9  ldr	x11, [sp, #0x78]
0xfffffff0087ad3b0: 6909138b  add	x9, x11, x19, lsl #2
0xfffffff0087ad3b4: 2a454ab9  ldr	w10, [x9, #0xa44]
0xfffffff0087ad3b8: 29414ab9  ldr	w9, [x9, #0xa40]
0xfffffff0087ad3bc: 4901094b  sub	w9, w10, w9
0xfffffff0087ad3c0: ae4359b8  ldur	w14, [x29, #-0x6c]
0xfffffff0087ad3c4: 367d0e1b  mul	w22, w9, w14
0xfffffff0087ad3c8: df064071  cmp	w22, #1, lsl #12
0xfffffff0087ad3cc: 2d020054  b.le	#0xfffffff0087ad410
0xfffffff0087ad3d0: a9f28052  mov	w9, #0x795
0xfffffff0087ad3d4: 084dffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0087ad3d8: 083d0b91  add	x8, x8, #0x2cf
0xfffffff0087ad3dc: e82700a9  stp	x8, x9, [sp]
0xfffffff0087ad3e0: 204cff90  adrp	x0, #0xfffffff007131000
0xfffffff0087ad3e4: 00403691  add	x0, x0, #0xd90
0xfffffff0087ad3e8: 8192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087ad3ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087ad3f0: 02008052  mov	w2, #0
0xfffffff0087ad3f4: e34cffd0  adrp	x3, #0xfffffff00714b000
0xfffffff0087ad3f8: 639c0291  add	x3, x3, #0xa7
0xfffffff0087ad3fc: 4d17ee97  bl	#0xfffffff008333130
0xfffffff0087ad400: ae4359b8  ldur	w14, [x29, #-0x6c]
0xfffffff0087ad404: eb3f40f9  ldr	x11, [sp, #0x78]
0xfffffff0087ad408: 796d76b9  ldr	w25, [x11, #0x366c]
0xfffffff0087ad40c: 28070051  sub	w8, w25, #1
0xfffffff0087ad410: c93e0011  add	w9, w22, #0xf
0xfffffff0087ad414: ca7a0011  add	w10, w22, #0x1e
0xfffffff0087ad418: 3f010071  cmp	w9, #0
0xfffffff0087ad41c: 5ab1891a  csel	w26, w10, w9, lt
0xfffffff0087ad420: 5b7f0413  asr	w27, w26, #4
0xfffffff0087ad424: e98740b9  ldr	w9, [sp, #0x84]
0xfffffff0087ad428: 697f091b  mul	w9, w27, w9
0xfffffff0087ad42c: 2a7d4093  sxtw	x10, w9
0xfffffff0087ad430: ec4740f9  ldr	x12, [sp, #0x88]
0xfffffff0087ad434: 9fc129eb  cmp	x12, w9, sxtw
0xfffffff0087ad438: 8c818a9a  csel	x12, x12, x10, hi
0xfffffff0087ad43c: ec4700f9  str	x12, [sp, #0x88]
0xfffffff0087ad440: 78060091  add	x24, x19, #1
0xfffffff0087ad444: 6909138b  add	x9, x11, x19, lsl #2
0xfffffff0087ad448: 2a454ab9  ldr	w10, [x9, #0xa44]
0xfffffff0087ad44c: 27414ab9  ldr	w7, [x9, #0xa40]
0xfffffff0087ad450: 4901074b  sub	w9, w10, w7
0xfffffff0087ad454: eb0f8052  mov	w11, #0x7f
0xfffffff0087ad458: ec6340b9  ldr	w12, [sp, #0x60]
0xfffffff0087ad45c: 8c2d091b  madd	w12, w12, w9, w11
