; Candidate 11098
; ADRP+ADD at VM 0xfffffff008e622b0 (fileoff 0x1e5e2b0): page=0x1fe572000 add_imm=0xd16

0xfffffff008e62230: e90300f9  str	x9, [sp]
0xfffffff008e62234: 802bffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e62238: 00682591  add	x0, x0, #0x95a
0xfffffff008e6223c: 79d3d397  bl	#0xfffffff008357020
0xfffffff008e62240: e00314aa  mov	x0, x20
0xfffffff008e62244: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008e62248: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008e6224c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008e62250: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008e62254: ff830191  add	sp, sp, #0x60
0xfffffff008e62258: ff0f5fd6  retab	
0xfffffff008e6225c: f40301aa  mov	x20, x1
0xfffffff008e62260: 779240f9  ldr	x23, [x19, #0x120]
0xfffffff008e62264: 570300b4  cbz	x23, #0xfffffff008e622cc
0xfffffff008e62268: 08008012  mov	w8, #-1
0xfffffff008e6226c: e90240b9  ldr	w9, [x23]
0xfffffff008e62270: 3f01166b  cmp	w9, w22
0xfffffff008e62274: 81000054  b.ne	#0xfffffff008e62284
0xfffffff008e62278: e90640b9  ldr	w9, [x23, #4]
0xfffffff008e6227c: 3f01156b  cmp	w9, w21
0xfffffff008e62280: 00040054  b.eq	#0xfffffff008e62300
0xfffffff008e62284: 08050011  add	w8, w8, #1
0xfffffff008e62288: 1f310071  cmp	w8, #0xc
0xfffffff008e6228c: 82000054  b.hs	#0xfffffff008e6229c
0xfffffff008e62290: f75e42f9  ldr	x23, [x23, #0x4b8]
0xfffffff008e62294: d7feffb5  cbnz	x23, #0xfffffff008e6226c
0xfffffff008e62298: 0d000014  b	#0xfffffff008e622cc
0xfffffff008e6229c: e85e42f9  ldr	x8, [x23, #0x4b8]
0xfffffff008e622a0: 680100b4  cbz	x8, #0xfffffff008e622cc
0xfffffff008e622a4: a82bffb0  adrp	x8, #0xfffffff0073d7000
0xfffffff008e622a8: 083d3991  add	x8, x8, #0xe4f
0xfffffff008e622ac: e80300f9  str	x8, [sp]
0xfffffff008e622b0: 802bffd0  adrp	x0, #0xfffffff0073d4000
0xfffffff008e622b4: 00583491  add	x0, x0, #0xd16
0xfffffff008e622b8: 5ad3d397  bl	#0xfffffff008357020
0xfffffff008e622bc: 48588052  mov	w8, #0x2c2
0xfffffff008e622c0: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008e622c4: 14190051  sub	w20, w8, #6
0xfffffff008e622c8: deffff17  b	#0xfffffff008e62240
0xfffffff008e622cc: 4065ffd0  adrp	x0, #0xfffffff007b0c000
0xfffffff008e622d0: 00002b91  add	x0, x0, #0xac0
0xfffffff008e622d4: 88d0d397  bl	#0xfffffff0083564f4
0xfffffff008e622d8: c00000b4  cbz	x0, #0xfffffff008e622f0
0xfffffff008e622dc: f70300aa  mov	x23, x0
0xfffffff008e622e0: 01988052  mov	w1, #0x4c0
0xfffffff008e622e4: 17aabb97  bl	#0xfffffff007d4cb40
0xfffffff008e622e8: 28008052  mov	w8, #1
0xfffffff008e622ec: 06000014  b	#0xfffffff008e62304
0xfffffff008e622f0: 48588052  mov	w8, #0x2c2
0xfffffff008e622f4: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008e622f8: 14150051  sub	w20, w8, #5
0xfffffff008e622fc: d1ffff17  b	#0xfffffff008e62240
0xfffffff008e62300: 08008052  mov	w8, #0
0xfffffff008e62304: 090080d2  mov	x9, #0
0xfffffff008e62308: 8ac20091  add	x10, x20, #0x30
0xfffffff008e6230c: 4b796978  ldrh	w11, [x10, x9, lsl #1]
0xfffffff008e62310: ec0a098b  add	x12, x23, x9, lsl #2
0xfffffff008e62314: 8b3100b9  str	w11, [x12, #0x30]
0xfffffff008e62318: 29050091  add	x9, x9, #1
0xfffffff008e6231c: 3f8504f1  cmp	x9, #0x121
0xfffffff008e62320: 61ffff54  b.ne	#0xfffffff008e6230c
0xfffffff008e62324: 68030036  tbz	w8, #0, #0xfffffff008e62390
0xfffffff008e62328: f6560029  stp	w22, w21, [x23]
0xfffffff008e6232c: 08018052  mov	w8, #8
