; Candidate 663
; ADRP+ADD at VM 0xfffffff00800e2bc (fileoff 0x100a2bc): page=0x1ff967000 add_imm=0xdf0

0xfffffff00800e23c: 958b0794  bl	#0xfffffff0081f1090
0xfffffff00800e240: a0040034  cbz	w0, #0xfffffff00800e2d4
0xfffffff00800e244: 080d0190  adrp	x8, #0xfffffff00a1ae000
0xfffffff00800e248: 089541b9  ldr	w8, [x8, #0x194]
0xfffffff00800e24c: 1f0d0071  cmp	w8, #3
0xfffffff00800e250: 83010054  b.lo	#0xfffffff00800e280
0xfffffff00800e254: e882ff90  adrp	x8, #0xfffffff00706a000
0xfffffff00800e258: 08213c91  add	x8, x8, #0xf08
0xfffffff00800e25c: e80300a9  stp	x8, x0, [sp]
0xfffffff00800e260: e07fffd0  adrp	x0, #0xfffffff00700c000
0xfffffff00800e264: 00000091  add	x0, x0, #0
0xfffffff00800e268: 61100190  adrp	x1, #0xfffffff00a21a000
0xfffffff00800e26c: 21502f91  add	x1, x1, #0xbd4
0xfffffff00800e270: 4385ffb0  adrp	x3, #0xfffffff0070b7000
0xfffffff00800e274: 63e83d91  add	x3, x3, #0xf7a
0xfffffff00800e278: 02028052  mov	w2, #0x10
0xfffffff00800e27c: ad930c94  bl	#0xfffffff008333130
0xfffffff00800e280: e00316aa  mov	x0, x22
0xfffffff00800e284: cb7df697  bl	#0xfffffff007dad9b0
0xfffffff00800e288: e00316aa  mov	x0, x22
0xfffffff00800e28c: e780f697  bl	#0xfffffff007dae628
0xfffffff00800e290: 810d0190  adrp	x1, #0xfffffff00a1be000
0xfffffff00800e294: 21200f91  add	x1, x1, #0x3c8
0xfffffff00800e298: e00316aa  mov	x0, x22
0xfffffff00800e29c: dc7bf697  bl	#0xfffffff007dad20c
0xfffffff00800e2a0: a14240f9  ldr	x1, [x21, #0x80]
0xfffffff00800e2a4: 28d440b9  ldr	w8, [x1, #0xd4]
0xfffffff00800e2a8: 02610391  add	x2, x8, #0xd8
0xfffffff00800e2ac: bf4200f9  str	xzr, [x21, #0x80]
0xfffffff00800e2b0: 00cbffb0  adrp	x0, #0xfffffff00796f000
0xfffffff00800e2b4: 00201a91  add	x0, x0, #0x688
0xfffffff00800e2b8: ed61f697  bl	#0xfffffff007da6a6c
0xfffffff00800e2bc: 20cbfff0  adrp	x0, #0xfffffff007975000
0xfffffff00800e2c0: 00c03791  add	x0, x0, #0xdf0
0xfffffff00800e2c4: e10315aa  mov	x1, x21
0xfffffff00800e2c8: 51eef797  bl	#0xfffffff007e09c0c
0xfffffff00800e2cc: 37008052  mov	w23, #1
0xfffffff00800e2d0: 9cffff17  b	#0xfffffff00800e140
0xfffffff00800e2d4: a14240f9  ldr	x1, [x21, #0x80]
0xfffffff00800e2d8: e0830091  add	x0, sp, #0x20
0xfffffff00800e2dc: 02028052  mov	w2, #0x10
0xfffffff00800e2e0: acf9f497  bl	#0xfffffff007d4c990
0xfffffff00800e2e4: a84240f9  ldr	x8, [x21, #0x80]
0xfffffff00800e2e8: 18d140b9  ldr	w24, [x8, #0xd0]
0xfffffff00800e2ec: e37f0091  add	x3, sp, #0x1f
0xfffffff00800e2f0: e00314aa  mov	x0, x20
0xfffffff00800e2f4: e10315aa  mov	x1, x21
0xfffffff00800e2f8: e20317aa  mov	x2, x23
0xfffffff00800e2fc: 24008052  mov	w4, #1
0xfffffff00800e300: def9ff97  bl	#0xfffffff00800ca78
0xfffffff00800e304: 00030034  cbz	w0, #0xfffffff00800e364
0xfffffff00800e308: 1f080071  cmp	w0, #2
0xfffffff00800e30c: 88008052  mov	w8, #4
0xfffffff00800e310: 1701801a  csel	w23, w8, w0, eq
0xfffffff00800e314: e00316aa  mov	x0, x22
0xfffffff00800e318: a67df697  bl	#0xfffffff007dad9b0
0xfffffff00800e31c: e00316aa  mov	x0, x22
0xfffffff00800e320: c280f697  bl	#0xfffffff007dae628
0xfffffff00800e324: 810d0190  adrp	x1, #0xfffffff00a1be000
0xfffffff00800e328: 21200f91  add	x1, x1, #0x3c8
0xfffffff00800e32c: e00316aa  mov	x0, x22
0xfffffff00800e330: b77bf697  bl	#0xfffffff007dad20c
0xfffffff00800e334: a14240f9  ldr	x1, [x21, #0x80]
0xfffffff00800e338: 28d440b9  ldr	w8, [x1, #0xd4]
