; Candidate 15043
; ADRP+ADD at VM 0xfffffff009a62804 (fileoff 0x2a5e804): page=0x1fe254000 add_imm=0xe38

0xfffffff009a62784: 69000054  b.ls	#0xfffffff009a62790
0xfffffff009a62788: 00008052  mov	w0, #0
0xfffffff009a6278c: 10000014  b	#0xfffffff009a627cc
0xfffffff009a62790: a86200b9  str	w8, [x21, #0x60]
0xfffffff009a62794: 01f17dd3  lsl	x1, x8, #3
0xfffffff009a62798: a012ff90  adrp	x0, #0xfffffff007cb6000
0xfffffff009a6279c: 00a03791  add	x0, x0, #0xde8
0xfffffff009a627a0: 8cd1a397  bl	#0xfffffff008356dd0
0xfffffff009a627a4: a01a00f9  str	x0, [x21, #0x30]
0xfffffff009a627a8: 200100b4  cbz	x0, #0xfffffff009a627cc
0xfffffff009a627ac: 74000037  tbnz	w20, #0, #0xfffffff009a627b8
0xfffffff009a627b0: 20008052  mov	w0, #1
0xfffffff009a627b4: 06000014  b	#0xfffffff009a627cc
0xfffffff009a627b8: a86240b9  ldr	w8, [x21, #0x60]
0xfffffff009a627bc: 20008052  mov	w0, #1
0xfffffff009a627c0: 1f050071  cmp	w8, #1
0xfffffff009a627c4: 41000054  b.ne	#0xfffffff009a627cc
0xfffffff009a627c8: 60120039  strb	w0, [x19, #4]
0xfffffff009a627cc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009a627d0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009a627d4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff009a627d8: ff0f5fd6  retab	
0xfffffff009a627dc: 7f2303d5  pacibsp	
0xfffffff009a627e0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009a627e4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009a627e8: fd430091  add	x29, sp, #0x10
0xfffffff009a627ec: f30300aa  mov	x19, x0
0xfffffff009a627f0: 1f6400b9  str	wzr, [x0, #0x64]
0xfffffff009a627f4: 086040b9  ldr	w8, [x0, #0x60]
0xfffffff009a627f8: 02f17dd3  lsl	x2, x8, #3
0xfffffff009a627fc: 011840f9  ldr	x1, [x0, #0x30]
0xfffffff009a62800: 1f1800f9  str	xzr, [x0, #0x30]
0xfffffff009a62804: a012ff90  adrp	x0, #0xfffffff007cb6000
0xfffffff009a62808: 00e03891  add	x0, x0, #0xe38
0xfffffff009a6280c: 77d1a397  bl	#0xfffffff008356de8
0xfffffff009a62810: 7f1600f9  str	xzr, [x19, #0x28]
0xfffffff009a62814: 7ffe03a9  stp	xzr, xzr, [x19, #0x38]
0xfffffff009a62818: 4112ffd0  adrp	x1, #0xfffffff007cac000
0xfffffff009a6281c: 219c43f9  ldr	x1, [x1, #0x738]
0xfffffff009a62820: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff009a62824: e00313aa  mov	x0, x19
0xfffffff009a62828: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a6282c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a62830: ff2303d5  autibsp	
0xfffffff009a62834: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009a62838: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009a62840
0xfffffff009a6283c: 208e38d4  brk	#0xc471
0xfffffff009a62840: f10301aa  mov	x17, x1
0xfffffff009a62844: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009a62848: 110a1fd7  braa	x16, x17
0xfffffff009a6284c: 5f2403d5  bti	c
0xfffffff009a62850: 002040f9  ldr	x0, [x0, #0x40]
0xfffffff009a62854: c0035fd6  ret	
0xfffffff009a62858: 5f2403d5  bti	c
0xfffffff009a6285c: 082040f9  ldr	x8, [x0, #0x40]
0xfffffff009a62860: 003140b9  ldr	w0, [x8, #0x30]
0xfffffff009a62864: c0035fd6  ret	
0xfffffff009a62868: 5f2403d5  bti	c
0xfffffff009a6286c: e80300aa  mov	x8, x0
0xfffffff009a62870: 00008052  mov	w0, #0
0xfffffff009a62874: c10100b4  cbz	x1, #0xfffffff009a628ac
0xfffffff009a62878: a2010034  cbz	w2, #0xfffffff009a628ac
0xfffffff009a6287c: 096540b9  ldr	w9, [x8, #0x64]
0xfffffff009a62880: 3f01026b  cmp	w9, w2
