; Candidate 15577
; ADRP+ADD at VM 0xfffffff009c3ee84 (fileoff 0x2c3ae84): page=0x1fda07000 add_imm=0xce6

0xfffffff009c3ee04: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009c3ee08: e02b00a9  stp	x0, x10, [sp]
0xfffffff009c3ee0c: 20d0fef0  adrp	x0, #0xfffffff007645000
0xfffffff009c3ee10: 00383491  add	x0, x0, #0xd0e
0xfffffff009c3ee14: 83609c97  bl	#0xfffffff008357020
0xfffffff009c3ee18: 74000014  b	#0xfffffff009c3efe8
0xfffffff009c3ee1c: 54588052  mov	w20, #0x2c2
0xfffffff009c3ee20: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff009c3ee24: 3a0e0034  cbz	w26, #0xfffffff009c3efe8
0xfffffff009c3ee28: 683240b9  ldr	w8, [x19, #0x30]
0xfffffff009c3ee2c: 7f03286a  bics	wzr, w27, w8
0xfffffff009c3ee30: 61080054  b.ne	#0xfffffff009c3ef3c
0xfffffff009c3ee34: 1a3c8a97  bl	#0xfffffff007ecde9c
0xfffffff009c3ee38: 1f040071  cmp	w0, #1
0xfffffff009c3ee3c: 01080054  b.ne	#0xfffffff009c3ef3c
0xfffffff009c3ee40: 700240f9  ldr	x16, [x19]
0xfffffff009c3ee44: f10313aa  mov	x17, x19
0xfffffff009c3ee48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c3ee4c: 301ac1da  autda	x16, x17
0xfffffff009c3ee50: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c3ee54: e90310aa  mov	x9, x16
0xfffffff009c3ee58: e00313aa  mov	x0, x19
0xfffffff009c3ee5c: f10309aa  mov	x17, x9
0xfffffff009c3ee60: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c3ee64: 11093fd7  blraa	x8, x17
0xfffffff009c3ee68: bc969a97  bl	#0xfffffff0082e4958
0xfffffff009c3ee6c: 28d0fef0  adrp	x8, #0xfffffff007645000
0xfffffff009c3ee70: 08713091  add	x8, x8, #0xc1c
0xfffffff009c3ee74: 29d0fef0  adrp	x9, #0xfffffff007645000
0xfffffff009c3ee78: 29cd2c91  add	x9, x9, #0xb33
0xfffffff009c3ee7c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009c3ee80: e00300f9  str	x0, [sp]
0xfffffff009c3ee84: 20d0fef0  adrp	x0, #0xfffffff007645000
0xfffffff009c3ee88: 00983391  add	x0, x0, #0xce6
0xfffffff009c3ee8c: 65609c97  bl	#0xfffffff008357020
0xfffffff009c3ee90: 51000014  b	#0xfffffff009c3efd4
0xfffffff009c3ee94: 700240f9  ldr	x16, [x19]
0xfffffff009c3ee98: f10313aa  mov	x17, x19
0xfffffff009c3ee9c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c3eea0: 301ac1da  autda	x16, x17
0xfffffff009c3eea4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c3eea8: e90310aa  mov	x9, x16
0xfffffff009c3eeac: e00313aa  mov	x0, x19
0xfffffff009c3eeb0: f10309aa  mov	x17, x9
0xfffffff009c3eeb4: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c3eeb8: 11093fd7  blraa	x8, x17
0xfffffff009c3eebc: a7969a97  bl	#0xfffffff0082e4958
0xfffffff009c3eec0: 0805ffd0  adrp	x8, #0xfffffff007ce0000
0xfffffff009c3eec4: 085146f9  ldr	x8, [x8, #0xca0]
0xfffffff009c3eec8: 150140f9  ldr	x21, [x8]
0xfffffff009c3eecc: 700240f9  ldr	x16, [x19]
0xfffffff009c3eed0: f10313aa  mov	x17, x19
0xfffffff009c3eed4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c3eed8: 301ac1da  autda	x16, x17
0xfffffff009c3eedc: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff009c3eee0: e90310aa  mov	x9, x16
0xfffffff009c3eee4: e00313aa  mov	x0, x19
0xfffffff009c3eee8: f10309aa  mov	x17, x9
0xfffffff009c3eeec: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff009c3eef0: 11093fd7  blraa	x8, x17
0xfffffff009c3eef4: 99969a97  bl	#0xfffffff0082e4958
0xfffffff009c3eef8: 28d0fef0  adrp	x8, #0xfffffff007645000
0xfffffff009c3eefc: 08713091  add	x8, x8, #0xc1c
0xfffffff009c3ef00: e85301a9  stp	x8, x20, [sp, #0x10]
