; Candidate 16717
; ADRP+ADD at VM 0xfffffff009f33ae0 (fileoff 0x2f2fae0): page=0x1fd92a000 add_imm=0xcf4

0xfffffff009f33a60: 88000014  b	#0xfffffff009f33c80
0xfffffff009f33a64: 093e8452  mov	w9, #0x21f0
0xfffffff009f33a68: 8902098b  add	x9, x20, x9
0xfffffff009f33a6c: aa620091  add	x10, x21, #0x18
0xfffffff009f33a70: ab0640f9  ldr	x11, [x21, #8]
0xfffffff009f33a74: e81b00f9  str	x8, [sp, #0x30]
0xfffffff009f33a78: 08068052  mov	w8, #0x30
0xfffffff009f33a7c: eb2302a9  stp	x11, x8, [sp, #0x20]
0xfffffff009f33a80: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff009f33a84: 48c9fed0  adrp	x8, #0xfffffff00785d000
0xfffffff009f33a88: 084d2f91  add	x8, x8, #0xbd3
0xfffffff009f33a8c: c97f8052  mov	w9, #0x3fe
0xfffffff009f33a90: 40c9fed0  adrp	x0, #0xfffffff00785d000
0xfffffff009f33a94: 00e03491  add	x0, x0, #0xd38
0xfffffff009f33a98: e82700a9  stp	x8, x9, [sp]
0xfffffff009f33a9c: 8a2ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f33aa0: da028052  mov	w26, #0x16
0xfffffff009f33aa4: df000014  b	#0xfffffff009f33e20
0xfffffff009f33aa8: a8124179  ldrh	w8, [x21, #0x88]
0xfffffff009f33aac: 080d1412  and	w8, w8, #0xf000
0xfffffff009f33ab0: 1f214071  cmp	w8, #8, lsl #12
0xfffffff009f33ab4: 411b0054  b.ne	#0xfffffff009f33e1c
0xfffffff009f33ab8: 083e8452  mov	w8, #0x21f0
0xfffffff009f33abc: 8802088b  add	x8, x20, x8
0xfffffff009f33ac0: a90640f9  ldr	x9, [x21, #8]
0xfffffff009f33ac4: aa2240f9  ldr	x10, [x21, #0x40]
0xfffffff009f33ac8: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f33acc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f33ad0: 48c9fed0  adrp	x8, #0xfffffff00785d000
0xfffffff009f33ad4: 084d2f91  add	x8, x8, #0xbd3
0xfffffff009f33ad8: 097e8052  mov	w9, #0x3f0
0xfffffff009f33adc: e82700a9  stp	x8, x9, [sp]
0xfffffff009f33ae0: 40c9fed0  adrp	x0, #0xfffffff00785d000
0xfffffff009f33ae4: 00d03391  add	x0, x0, #0xcf4
0xfffffff009f33ae8: 772ffd97  bl	#0xfffffff009e7f8c4
0xfffffff009f33aec: cc000014  b	#0xfffffff009f33e1c
0xfffffff009f33af0: e03740f9  ldr	x0, [sp, #0x68]
0xfffffff009f33af4: c6198097  bl	#0xfffffff007f3a20c
0xfffffff009f33af8: f50300aa  mov	x21, x0
0xfffffff009f33afc: 4921fd97  bl	#0xfffffff009e7c020
0xfffffff009f33b00: 80040034  cbz	w0, #0xfffffff009f33b90
0xfffffff009f33b04: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff009f33b08: a10640f9  ldr	x1, [x21, #8]
0xfffffff009f33b0c: a3e20291  add	x3, x21, #0xb8
0xfffffff009f33b10: 827e40f9  ldr	x2, [x20, #0xf8]
0xfffffff009f33b14: 84c9fef0  adrp	x4, #0xfffffff007866000
0xfffffff009f33b18: 84900a91  add	x4, x4, #0x2a4
0xfffffff009f33b1c: e5830191  add	x5, sp, #0x60
0xfffffff009f33b20: e00314aa  mov	x0, x20
0xfffffff009f33b24: 41bcfe97  bl	#0xfffffff009ee2c28
0xfffffff009f33b28: a0060034  cbz	w0, #0xfffffff009f33bfc
0xfffffff009f33b2c: 1f080071  cmp	w0, #2
0xfffffff009f33b30: fa03801a  csel	w26, wzr, w0, eq
0xfffffff009f33b34: fe000014  b	#0xfffffff009f33f2c
0xfffffff009f33b38: aac8fef0  adrp	x10, #0xfffffff00784a000
0xfffffff009f33b3c: 4a9d0691  add	x10, x10, #0x1a7
0xfffffff009f33b40: eb031aaa  mov	x11, x26
0xfffffff009f33b44: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff009f33b48: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009f33b4c: 48c9fed0  adrp	x8, #0xfffffff00785d000
0xfffffff009f33b50: 084d2f91  add	x8, x8, #0xbd3
0xfffffff009f33b54: 69788052  mov	w9, #0x3c3
0xfffffff009f33b58: e82700a9  stp	x8, x9, [sp]
0xfffffff009f33b5c: 40c9fed0  adrp	x0, #0xfffffff00785d000
