; Candidate 16834
; ADRP+ADD at VM 0xfffffff009f7eaec (fileoff 0x2f7aaec): page=0x456000 add_imm=0xd48

0xfffffff009f7ea6c: fd030191  add	x29, sp, #0x40
0xfffffff009f7ea70: 820200b4  cbz	x2, #0xfffffff009f7eac0
0xfffffff009f7ea74: f30301aa  mov	x19, x1
0xfffffff009f7ea78: 410200b4  cbz	x1, #0xfffffff009f7eac0
0xfffffff009f7ea7c: f70300aa  mov	x23, x0
0xfffffff009f7ea80: 000200b4  cbz	x0, #0xfffffff009f7eac0
0xfffffff009f7ea84: f60303aa  mov	x22, x3
0xfffffff009f7ea88: c30100b4  cbz	x3, #0xfffffff009f7eac0
0xfffffff009f7ea8c: c80240b9  ldr	w8, [x22]
0xfffffff009f7ea90: c8020034  cbz	w8, #0xfffffff009f7eae8
0xfffffff009f7ea94: e80300f9  str	x8, [sp]
0xfffffff009f7ea98: 40c7fe90  adrp	x0, #0xfffffff007866000
0xfffffff009f7ea9c: 00802b91  add	x0, x0, #0xae0
0xfffffff009f7eaa0: e1edfed0  adrp	x1, #0xfffffff007d3c000
0xfffffff009f7eaa4: 217842f9  ldr	x1, [x1, #0x4f0]
0xfffffff009f7eaa8: 63c7feb0  adrp	x3, #0xfffffff00786b000
0xfffffff009f7eaac: 63842e91  add	x3, x3, #0xba1
0xfffffff009f7eab0: 02008052  mov	w2, #0
0xfffffff009f7eab4: 9fd18e97  bl	#0xfffffff008333130
0xfffffff009f7eab8: 150080d2  mov	x21, #0
0xfffffff009f7eabc: 3e000014  b	#0xfffffff009f7ebb4
0xfffffff009f7eac0: 40c7fe90  adrp	x0, #0xfffffff007866000
0xfffffff009f7eac4: 00802b91  add	x0, x0, #0xae0
0xfffffff009f7eac8: e1edfed0  adrp	x1, #0xfffffff007d3c000
0xfffffff009f7eacc: 217842f9  ldr	x1, [x1, #0x4f0]
0xfffffff009f7ead0: 63c7feb0  adrp	x3, #0xfffffff00786b000
0xfffffff009f7ead4: 633c2e91  add	x3, x3, #0xb8f
0xfffffff009f7ead8: 02008052  mov	w2, #0
0xfffffff009f7eadc: 95d18e97  bl	#0xfffffff008333130
0xfffffff009f7eae0: 150080d2  mov	x21, #0
0xfffffff009f7eae4: 34000014  b	#0xfffffff009f7ebb4
0xfffffff009f7eae8: f40302aa  mov	x20, x2
0xfffffff009f7eaec: a02200d0  adrp	x0, #0xfffffff00a3d4000
0xfffffff009f7eaf0: 00203591  add	x0, x0, #0xd48
0xfffffff009f7eaf4: 100040f9  ldr	x16, [x0]
0xfffffff009f7eaf8: f10300aa  mov	x17, x0
0xfffffff009f7eafc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f7eb00: 301ac1da  autda	x16, x17
0xfffffff009f7eb04: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff009f7eb08: e90310aa  mov	x9, x16
0xfffffff009f7eb0c: f10309aa  mov	x17, x9
0xfffffff009f7eb10: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff009f7eb14: 11093fd7  blraa	x8, x17
0xfffffff009f7eb18: f50300aa  mov	x21, x0
0xfffffff009f7eb1c: a00300b4  cbz	x0, #0xfffffff009f7eb90
0xfffffff009f7eb20: b00240f9  ldr	x16, [x21]
0xfffffff009f7eb24: f10315aa  mov	x17, x21
0xfffffff009f7eb28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009f7eb2c: 301ac1da  autda	x16, x17
0xfffffff009f7eb30: 11b780d2  mov	x17, #0x5b8
0xfffffff009f7eb34: 1002118b  add	x16, x16, x17
0xfffffff009f7eb38: 080240f9  ldr	x8, [x16]
0xfffffff009f7eb3c: e90310aa  mov	x9, x16
0xfffffff009f7eb40: e00315aa  mov	x0, x21
0xfffffff009f7eb44: e10317aa  mov	x1, x23
0xfffffff009f7eb48: e20313aa  mov	x2, x19
0xfffffff009f7eb4c: e30314aa  mov	x3, x20
0xfffffff009f7eb50: e40316aa  mov	x4, x22
0xfffffff009f7eb54: f10309aa  mov	x17, x9
0xfffffff009f7eb58: d1f1eaf2  movk	x17, #0x578e, lsl #48
0xfffffff009f7eb5c: 11093fd7  blraa	x8, x17
0xfffffff009f7eb60: 80010037  tbnz	w0, #0, #0xfffffff009f7eb90
0xfffffff009f7eb64: b00240f9  ldr	x16, [x21]
0xfffffff009f7eb68: f10315aa  mov	x17, x21
