; Candidate 791
; ADRP+ADD at VM 0xfffffff0080acc98 (fileoff 0x10a8c98): page=0x1fefc7000 add_imm=0xed3

0xfffffff0080acc18: e20313aa  mov	x2, x19
0xfffffff0080acc1c: d55d0094  bl	#0xfffffff0080c4370
0xfffffff0080acc20: 14008052  mov	w20, #0
0xfffffff0080acc24: 7cffff17  b	#0xfffffff0080aca14
0xfffffff0080acc28: a98352f8  ldur	x9, [x29, #-0xd8]
0xfffffff0080acc2c: 29014039  ldrb	w9, [x9]
0xfffffff0080acc30: 89012836  tbz	w9, #5, #0xfffffff0080acc60
0xfffffff0080acc34: 690e40b9  ldr	w9, [x19, #0xc]
0xfffffff0080acc38: 3f110071  cmp	w9, #4
0xfffffff0080acc3c: 2b010054  b.lt	#0xfffffff0080acc60
0xfffffff0080acc40: 696a40b9  ldr	w9, [x19, #0x68]
0xfffffff0080acc44: 2801084b  sub	w8, w9, w8
0xfffffff0080acc48: 1f050071  cmp	w8, #1
0xfffffff0080acc4c: ab000054  b.lt	#0xfffffff0080acc60
0xfffffff0080acc50: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0080acc54: 68000035  cbnz	w8, #0xfffffff0080acc60
0xfffffff0080acc58: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff0080acc5c: a80d0034  cbz	w8, #0xfffffff0080ace10
0xfffffff0080acc60: 480340b9  ldr	w8, [x26]
0xfffffff0080acc64: f74f40f9  ldr	x23, [sp, #0x98]
0xfffffff0080acc68: 480e0034  cbz	w8, #0xfffffff0080ace30
0xfffffff0080acc6c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0080acc70: 080e0035  cbnz	w8, #0xfffffff0080ace30
0xfffffff0080acc74: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff0080acc78: c80d0035  cbnz	w8, #0xfffffff0080ace30
0xfffffff0080acc7c: 7fe20179  strh	wzr, [x19, #0xf0]
0xfffffff0080acc80: 7f0a01b9  str	wzr, [x19, #0x108]
0xfffffff0080acc84: e00313aa  mov	x0, x19
0xfffffff0080acc88: dfdd0094  bl	#0xfffffff0080e4404
0xfffffff0080acc8c: e00313aa  mov	x0, x19
0xfffffff0080acc90: 60030094  bl	#0xfffffff0080ada10
0xfffffff0080acc94: 67000014  b	#0xfffffff0080ace30
0xfffffff0080acc98: 207efff0  adrp	x0, #0xfffffff007073000
0xfffffff0080acc9c: 004c3b91  add	x0, x0, #0xed3
0xfffffff0080acca0: 217efff0  adrp	x1, #0xfffffff007073000
0xfffffff0080acca4: 21443591  add	x1, x1, #0xd51
0xfffffff0080acca8: 22208152  mov	w2, #0x901
0xfffffff0080accac: daca0f94  bl	#0xfffffff00849f814
0xfffffff0080accb0: e07effd0  adrp	x0, #0xfffffff00708a000
0xfffffff0080accb4: 00cc1d91  add	x0, x0, #0x773
0xfffffff0080accb8: e17effb0  adrp	x1, #0xfffffff007089000
0xfffffff0080accbc: 210c3991  add	x1, x1, #0xe43
0xfffffff0080accc0: a2b38452  mov	w2, #0x259d
0xfffffff0080accc4: d4ca0f94  bl	#0xfffffff00849f814
0xfffffff0080accc8: 09d540b9  ldr	w9, [x8, #0xd4]
0xfffffff0080acccc: 29010035  cbnz	w9, #0xfffffff0080accf0
0xfffffff0080accd0: 09d940b9  ldr	w9, [x8, #0xd8]
0xfffffff0080accd4: e9000035  cbnz	w9, #0xfffffff0080accf0
0xfffffff0080accd8: 09dd40b9  ldr	w9, [x8, #0xdc]
0xfffffff0080accdc: a9000035  cbnz	w9, #0xfffffff0080accf0
0xfffffff0080acce0: 09e140b9  ldr	w9, [x8, #0xe0]
0xfffffff0080acce4: 0a20a052  mov	w10, #0x1000000
0xfffffff0080acce8: 3f010a6b  cmp	w9, w10
0xfffffff0080accec: 20bfff54  b.eq	#0xfffffff0080ac4d0
0xfffffff0080accf0: 09c540b9  ldr	w9, [x8, #0xc4]
0xfffffff0080accf4: 29010035  cbnz	w9, #0xfffffff0080acd18
0xfffffff0080accf8: 09c940b9  ldr	w9, [x8, #0xc8]
0xfffffff0080accfc: e9000035  cbnz	w9, #0xfffffff0080acd18
0xfffffff0080acd00: 09cd40b9  ldr	w9, [x8, #0xcc]
0xfffffff0080acd04: a9000035  cbnz	w9, #0xfffffff0080acd18
0xfffffff0080acd08: 09d140b9  ldr	w9, [x8, #0xd0]
0xfffffff0080acd0c: 0a20a052  mov	w10, #0x1000000
0xfffffff0080acd10: 3f010a6b  cmp	w9, w10
0xfffffff0080acd14: e0bdff54  b.eq	#0xfffffff0080ac4d0
